FAIL ABERDEEN STD - NORTH AMERICAN SMALLER COMP | - | no good candidate
FAIL ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOL | - | no good candidate
FAIL ALLIANCEBERNSTEIN AMERICAN INCOME USD | - | no good candidate
FAIL AMUNDI BD GLOBAL AGG AUC 3D USD | - | no share rows
FAIL ARBROOK G10 AMERICAN EQUITIES A1 USD ACC U | - | no share rows
FAIL ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I U | - | no good candidate
OK   BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 US | LU3069870890 | 
FAIL BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP | CH1556483589 | 
FAIL BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP | CH1556483589 | 
FAIL CAPITAL CITIGROUP GLOBAL MARKETS FUNDING M | - | no good candidate
FAIL CAUSEWAY BBVA GLOBAL QUAD INCOME USD | - | no good candidate
FAIL CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN | - | no good candidate
FAIL ABERDEEN STD - NORTH AMERICAN SMALLER COMP | - | no good candidate
FAIL ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOL | - | no good candidate
FAIL ALLIANCEBERNSTEIN AMERICAN INCOME USD | - | no good candidate
FAIL AMUNDI BD GLOBAL AGG AUC 3D USD | - | no share rows
FAIL ARBROOK G10 AMERICAN EQUITIES A1 USD ACC U | - | no share rows
FAIL ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I U | - | no good candidate
