Date,Open,High,Low,Close,Volume,Adj Close
1996-01-02,0.287946,0.287946,0.283482,0.286830,139294400.000000,0.240211
1996-01-03,0.285714,0.293527,0.284598,0.286830,429833600.000000,0.240211
1996-01-04,0.289063,0.289063,0.280134,0.281808,300182400.000000,0.236006
1996-01-05,0.282366,0.305804,0.280134,0.305804,445928000.000000,0.256102
1996-01-08,0.308036,0.316964,0.303571,0.309152,121340800.000000,0.258905
1996-01-09,0.309152,0.309152,0.292411,0.292411,251216000.000000,0.244885
1996-01-10,0.290179,0.310268,0.287946,0.305804,365433600.000000,0.256102
1996-01-11,0.291295,0.312500,0.289063,0.312500,756739200.000000,0.261709
1996-01-12,0.310268,0.310268,0.296875,0.302455,401856000.000000,0.253297
1996-01-15,0.301339,0.308036,0.297991,0.304688,363081600.000000,0.255167
1996-01-16,0.306920,0.310268,0.300223,0.308594,352912000.000000,0.258438
1996-01-17,0.306920,0.306920,0.301339,0.303571,236409600.000000,0.254232
1996-01-18,0.293527,0.297991,0.271205,0.285156,698387200.000000,0.238809
1996-01-19,0.276786,0.283482,0.262277,0.266741,829225600.000000,0.223387
1996-01-22,0.265625,0.276786,0.261161,0.272321,499744000.000000,0.228061
1996-01-23,0.301339,0.303571,0.276786,0.282366,988288000.000000,0.236473
1996-01-24,0.286830,0.287946,0.283482,0.287946,655894400.000000,0.241146
1996-01-25,0.283482,0.285714,0.268973,0.270089,445200000.000000,0.226191
1996-01-26,0.271205,0.279018,0.255580,0.273438,735750400.000000,0.228996
1996-01-29,0.258929,0.265625,0.256696,0.260045,332595200.000000,0.217780
1996-01-30,0.241071,0.251116,0.239816,0.243862,622843200.000000,0.204227
1996-01-31,0.247768,0.250000,0.244420,0.246652,328059200.000000,0.206564
1996-02-01,0.245536,0.253348,0.245536,0.253348,333043200.000000,0.212171
1996-02-02,0.257813,0.264509,0.256696,0.261161,555979200.000000,0.218714
1996-02-05,0.265067,0.265625,0.258929,0.261161,318729600.000000,0.218714
1996-02-06,0.261161,0.267857,0.261161,0.264509,226217600.000000,0.221518
1996-02-07,0.265625,0.265625,0.247768,0.252232,360326400.000000,0.211237
1996-02-08,0.245536,0.251116,0.245536,0.248884,263166400.000000,0.208433
1996-02-09,0.248884,0.254464,0.246652,0.247768,205688000.000000,0.207498
1996-02-12,0.251116,0.254464,0.250000,0.253348,194275200.000000,0.212171
1996-02-13,0.250000,0.257813,0.248884,0.251116,228502400.000000,0.210302
1996-02-14,0.252232,0.252232,0.244978,0.246652,163184000.000000,0.206564
1996-02-15,0.246652,0.251116,0.244420,0.250000,122080000.000000,0.209367
1996-02-16,0.251116,0.253348,0.245536,0.245536,156441600.000000,0.205629
1996-02-20,0.250000,0.263393,0.250000,0.258929,376913600.000000,0.216845
1996-02-21,0.262277,0.265625,0.260045,0.264509,221838400.000000,0.221518
1996-02-22,0.267857,0.268973,0.264509,0.266741,184184000.000000,0.223387
1996-02-23,0.266741,0.270089,0.264509,0.266741,173286400.000000,0.223387
1996-02-26,0.267857,0.268973,0.263393,0.263393,118283200.000000,0.220584
1996-02-27,0.266741,0.266741,0.254464,0.255580,149161600.000000,0.214041
1996-02-28,0.257813,0.257813,0.246652,0.247768,187913600.000000,0.207498
1996-02-29,0.245536,0.247768,0.243304,0.245536,112884800.000000,0.205629
1996-03-01,0.246652,0.246652,0.237723,0.239955,231134400.000000,0.200955
1996-03-04,0.243304,0.244420,0.234375,0.234375,187555200.000000,0.196282
1996-03-05,0.236607,0.238839,0.234375,0.237723,118440000.000000,0.199086
1996-03-06,0.238839,0.239955,0.233259,0.233817,99052800.000000,0.195815
1996-03-07,0.234375,0.235491,0.226563,0.230469,260064000.000000,0.193011
1996-03-08,0.229911,0.234375,0.223214,0.232143,149004800.000000,0.194413
1996-03-11,0.234375,0.235491,0.229911,0.231027,127008000.000000,0.193478
1996-03-12,0.232143,0.235491,0.228795,0.230469,96152000.000000,0.193011
1996-03-13,0.231027,0.233259,0.228795,0.229911,99680000.000000,0.192544
1996-03-14,0.231027,0.231027,0.227679,0.228795,93363200.000000,0.191609
1996-03-15,0.232143,0.232143,0.227679,0.231027,101382400.000000,0.193478
1996-03-18,0.231585,0.233259,0.229911,0.233259,109132800.000000,0.195347
1996-03-19,0.235491,0.236607,0.228795,0.229911,124364800.000000,0.192544
1996-03-20,0.229911,0.229911,0.224330,0.225446,115987200.000000,0.188804
1996-03-21,0.227679,0.227679,0.223214,0.224330,109984000.000000,0.187870
1996-03-22,0.225446,0.226563,0.222098,0.226563,107564800.000000,0.189740
1996-03-25,0.227679,0.229911,0.214286,0.214286,164371200.000000,0.179458
1996-03-26,0.214286,0.218750,0.210938,0.213170,160798400.000000,0.178523
1996-03-27,0.207589,0.225446,0.205357,0.225446,429296000.000000,0.188804
1996-03-28,0.220982,0.228795,0.215402,0.215960,295892800.000000,0.180860
1996-03-29,0.216518,0.220982,0.212054,0.219308,166521600.000000,0.183664
1996-04-01,0.224330,0.231027,0.218890,0.227679,158636800.000000,0.190674
1996-04-02,0.228795,0.228795,0.222098,0.223214,101438400.000000,0.186935
1996-04-03,0.224330,0.224330,0.217215,0.219308,72240000.000000,0.183664
