Date,Open,High,Low,Close,Adjusted_close
2025-08-18,23.98,23.98,23.98,23.98,23.98
2025-08-19,24,24,24,24,24
2025-08-20,24.01,24.01,24.01,24.01,24.01
2025-08-21,23.96,23.96,23.96,23.96,23.96
2025-08-22,24.09,24.09,24.09,24.09,24.09
2025-08-25,24.08,24.08,24.08,24.08,24.08
2025-08-26,24.12,24.12,24.12,24.12,24.12
2025-08-27,24.15,24.15,24.15,24.15,24.15
2025-08-28,24.17,24.17,24.17,24.17,24.17
2025-08-29,24.17,24.17,24.17,24.17,24.17
2025-09-02,24.12,24.12,24.12,24.12,24.12
2025-09-03,24.19,24.19,24.19,24.19,24.19
2025-09-04,24.24,24.24,24.24,24.24,24.24
2025-09-05,24.35,24.35,24.35,24.35,24.35
2025-09-08,24.38,24.38,24.38,24.38,24.38
2025-09-09,24.33,24.33,24.33,24.33,24.33
2025-09-10,24.37,24.37,24.37,24.37,24.37
2025-09-11,24.42,24.42,24.42,24.42,24.42
2025-09-12,24.39,24.39,24.39,24.39,24.39
2025-09-15,24.44,24.44,24.44,24.44,24.44
2025-09-16,24.46,24.46,24.46,24.46,24.46
2025-09-17,24.42,24.42,24.42,24.42,24.42
2025-09-18,24.4,24.4,24.4,24.4,24.4
2025-09-19,24.39,24.39,24.39,24.39,24.39
2025-09-22,24.37,24.37,24.37,24.37,24.37
2025-09-23,24.38,24.38,24.38,24.38,24.38
2025-09-24,24.35,24.35,24.35,24.35,24.35
2025-09-25,24.28,24.28,24.28,24.28,24.28
2025-09-26,24.28,24.28,24.28,24.28,24.28
2025-09-29,24.3,24.3,24.3,24.3,24.3
2025-09-30,24.31,24.31,24.31,24.31,24.31
2025-10-01,24.36,24.36,24.36,24.36,24.36
2025-10-02,24.38,24.38,24.38,24.38,24.38
2025-10-03,24.37,24.37,24.37,24.37,24.37
2025-10-06,24.34,24.34,24.34,24.34,24.34
2025-10-07,24.36,24.36,24.36,24.36,24.36
2025-10-08,24.34,24.34,24.34,24.34,24.34
2025-10-09,24.29,24.29,24.29,24.29,24.29
2025-10-10,24.32,24.32,24.32,24.32,24.32
2025-10-13,24.33,24.33,24.33,24.33,24.33
2025-10-14,24.38,24.38,24.38,24.38,24.38
2025-10-15,24.41,24.41,24.41,24.41,24.41
2025-10-16,24.47,24.47,24.47,24.47,24.47
2025-10-17,24.44,24.44,24.44,24.44,24.44
2025-10-20,24.47,24.47,24.47,24.47,24.47
2025-10-21,24.5,24.5,24.5,24.5,24.5
2025-10-22,24.5,24.5,24.5,24.5,24.5
2025-10-23,24.46,24.46,24.46,24.46,24.46
2025-10-24,24.49,24.49,24.49,24.49,24.49
2025-10-27,24.51,24.51,24.51,24.51,24.51
2025-10-28,24.53,24.53,24.53,24.53,24.53
2025-10-29,24.44,24.44,24.44,24.44,24.44
2025-10-30,24.4,24.4,24.4,24.4,24.4
2025-10-31,24.4,24.4,24.4,24.4,24.4
2025-11-03,24.38,24.38,24.38,24.38,24.38
2025-11-04,24.38,24.38,24.38,24.38,24.38
2025-11-05,24.33,24.33,24.33,24.33,24.33
2025-11-06,24.4,24.4,24.4,24.4,24.4
2025-11-07,24.4,24.4,24.4,24.4,24.4
2025-11-10,24.39,24.39,24.39,24.39,24.39
2025-11-11,24.42,24.42,24.42,24.42,24.42
2025-11-12,24.44,24.44,24.44,24.44,24.44
2025-11-13,24.38,24.38,24.38,24.38,24.38
2025-11-14,24.36,24.36,24.36,24.36,24.36
2025-11-17,24.35,24.35,24.35,24.35,24.35
2025-11-18,24.37,24.37,24.37,24.37,24.37
2025-11-19,24.37,24.37,24.37,24.37,24.37
2025-11-20,24.41,24.41,24.41,24.41,24.41
2025-11-21,24.46,24.46,24.46,24.46,24.46
2025-11-24,24.49,24.49,24.49,24.49,24.49
2025-11-25,24.55,24.55,24.55,24.55,24.55
2025-11-26,24.56,24.56,24.56,24.56,24.56
2025-11-28,24.55,24.55,24.55,24.55,24.55
2025-12-01,24.48,24.48,24.48,24.48,24.48
2025-12-02,24.51,24.51,24.51,24.51,24.51
2025-12-03,24.55,24.55,24.55,24.55,24.55
2025-12-04,24.51,24.51,24.51,24.51,24.51
2025-12-05,24.49,24.49,24.49,24.49,24.49
2025-12-08,24.44,24.44,24.44,24.44,24.44
2025-12-09,24.42,24.42,24.42,24.42,24.42
2025-12-10,24.46,24.46,24.46,24.46,24.46
2025-12-11,24.5,24.5,24.5,24.5,24.5
2025-12-12,24.46,24.46,24.46,24.46,24.46
2025-12-15,24.48,24.48,24.48,24.48,24.48
2025-12-16,24.51,24.51,24.51,24.51,24.51
2025-12-17,24.51,24.51,24.51,24.51,24.51
2025-12-18,24.56,24.56,24.56,24.56,24.56
2025-12-19,24.54,24.54,24.54,24.54,24.54
2025-12-22,24.53,24.53,24.53,24.53,24.53
2025-12-23,24.53,24.53,24.53,24.53,24.53
2025-12-24,24.58,24.58,24.58,24.58,24.58
2025-12-29,24.61,24.61,24.61,24.61,24.61
2025-12-30,24.62,24.62,24.62,24.62,24.62
2025-12-31,24.59,24.59,24.59,24.59,24.59
2026-01-02,24.57,24.57,24.57,24.57,24.57
2026-01-05,24.61,24.61,24.61,24.61,24.61
2026-01-06,24.61,24.61,24.61,24.61,24.61
2026-01-07,24.63,24.63,24.63,24.63,24.63
2026-01-08,24.62,24.62,24.62,24.62,24.62
2026-01-09,24.64,24.64,24.64,24.64,24.64
2026-01-12,24.62,24.62,24.62,24.62,24.62
2026-01-13,24.64,24.64,24.64,24.64,24.64
2026-01-14,24.67,24.67,24.67,24.67,24.67
2026-01-15,24.65,24.65,24.65,24.65,24.65
2026-01-16,24.62,24.62,24.62,24.62,24.62
2026-01-20,24.56,24.56,24.56,24.56,24.56
2026-01-21,24.62,24.62,24.62,24.62,24.62
2026-01-22,24.63,24.63,24.63,24.63,24.63
2026-01-23,24.65,24.65,24.65,24.65,24.65
2026-01-26,24.68,24.68,24.68,24.68,24.68
2026-01-27,24.68,24.68,24.68,24.68,24.68
2026-01-28,24.68,24.68,24.68,24.68,24.68
2026-01-29,24.7,24.7,24.7,24.7,24.7
2026-01-30,24.72,24.72,24.72,24.72,24.72
2026-02-02,24.69,24.69,24.69,24.69,24.69
2026-02-03,24.68,24.68,24.68,24.68,24.68
2026-02-04,24.69,24.69,24.69,24.69,24.69
2026-02-05,24.74,24.74,24.74,24.74,24.74
2026-02-06,24.74,24.74,24.74,24.74,24.74
2026-02-09,24.75,24.75,24.75,24.75,24.75
2026-02-10,24.78,24.78,24.78,24.78,24.78
2026-02-11,24.76,24.76,24.76,24.76,24.76
2026-02-12,24.84,24.84,24.84,24.84,24.84
2026-02-13,24.89,24.89,24.89,24.89,24.89
2026-02-17,24.9,24.9,24.9,24.9,24.9
2026-02-18,24.88,24.88,24.88,24.88,24.88
2026-02-19,24.88,24.88,24.88,24.88,24.88
2026-02-20,24.89,24.89,24.89,24.89,24.89
2026-02-23,24.94,24.94,24.94,24.94,24.94
2026-02-24,24.92,24.92,24.92,24.92,24.92
2026-02-25,24.91,24.91,24.91,24.91,24.91
2026-02-26,24.94,24.94,24.94,24.94,24.94
2026-02-27,24.98,24.98,24.98,24.98,24.98
2026-03-02,24.86,24.86,24.86,24.86,24.86
2026-03-03,24.83,24.83,24.83,24.83,24.83
2026-03-04,24.8,24.8,24.8,24.8,24.8
2026-03-05,24.75,24.75,24.75,24.75,24.75
2026-03-06,24.72,24.72,24.72,24.72,24.72
2026-03-09,24.7,24.7,24.7,24.7,24.7
2026-03-10,24.71,24.71,24.71,24.71,24.71
2026-03-11,24.63,24.63,24.63,24.63,24.63
2026-03-12,24.5,24.5,24.5,24.5,24.5
2026-03-13,24.47,24.47,24.47,24.47,24.47
2026-03-16,24.54,24.54,24.54,24.54,24.54
2026-03-17,24.58,24.58,24.58,24.58,24.58
2026-03-18,24.5,24.5,24.5,24.5,24.5
2026-03-19,24.46,24.46,24.46,24.46,24.46
2026-03-20,24.28,24.28,24.28,24.28,24.28
2026-03-23,24.37,24.37,24.37,24.37,24.37
2026-03-24,24.27,24.27,24.27,24.27,24.27
2026-03-25,24.4,24.4,24.4,24.4,24.4
2026-03-26,24.23,24.23,24.23,24.23,24.23
2026-03-27,24.21,24.21,24.21,24.21,24.21
2026-03-30,24.31,24.31,24.31,24.31,24.31
2026-03-31,24.4,24.4,24.4,24.4,24.4
2026-04-01,24.45,24.45,24.45,24.45,24.45
2026-04-02,24.51,24.51,24.51,24.51,24.51
2026-04-07,24.49,24.49,24.49,24.49,24.49
2026-04-08,24.69,24.69,24.69,24.69,24.69
2026-04-09,24.69,24.69,24.69,24.69,24.69
2026-04-10,24.68,24.68,24.68,24.68,24.68
2026-04-13,24.7,24.7,24.7,24.7,24.7
2026-04-14,24.81,24.81,24.81,24.81,24.81
2026-04-15,24.8,24.8,24.8,24.8,24.8
2026-04-16,24.78,24.78,24.78,24.78,24.78
2026-04-17,24.91,24.91,24.91,24.91,24.91
2026-04-20,24.87,24.87,24.87,24.87,24.87
2026-04-21,24.8,24.8,24.8,24.8,24.8
2026-04-22,24.81,24.81,24.81,24.81,24.81
2026-04-23,24.77,24.77,24.77,24.77,24.77
2026-04-24,24.81,24.81,24.81,24.81,24.81
2026-04-27,24.78,24.78,24.78,24.78,24.78
2026-04-28,24.73,24.73,24.73,24.73,24.73
2026-04-29,24.63,24.63,24.63,24.63,24.63
2026-04-30,24.7,24.7,24.7,24.7,24.7
2026-05-04,24.65,24.65,24.65,24.65,24.65
2026-05-05,24.65,24.65,24.65,24.65,24.65
2026-05-06,24.81,24.81,24.81,24.81,24.81
2026-05-07,24.76,24.76,24.76,24.76,24.76
2026-05-08,24.8,24.8,24.8,24.8,24.8
2026-05-11,24.73,24.73,24.73,24.73,24.73
2026-05-12,24.63,24.63,24.63,24.63,24.63
2026-05-13,24.64,24.64,24.64,24.64,24.64
2026-05-15,24.48,24.48,24.48,24.48,24.48
2026-05-18,24.47,24.47,24.47,24.47,24.47
2026-05-19,24.4,24.4,24.4,24.4,24.4
2026-05-20,24.55,24.55,24.55,24.55,24.55
2026-05-21,24.56,24.56,24.56,24.56,24.56
2026-05-22,24.59,24.59,24.59,24.59,24.59
2026-05-26,24.7,24.7,24.7,24.7,24.7
2026-05-27,24.72,24.72,24.72,24.72,24.72
2026-05-28,24.77,24.77,24.77,24.77,24.77
2026-05-29,24.82,24.82,24.82,24.82,24.82
2026-06-01,24.76,24.76,24.76,24.76,24.76
2026-06-02,24.77,24.77,24.77,24.77,24.77
2026-06-03,24.72,24.72,24.72,24.72,24.72
2026-06-04,24.74,24.74,24.74,24.74,24.74
2026-06-05,24.63,24.63,24.63,24.63,24.63
2026-06-08,24.62,24.62,24.62,24.62,24.62
2026-06-09,24.65,24.65,24.65,24.65,24.65
2026-06-10,24.64,24.64,24.64,24.64,24.64
2026-06-11,24.74,24.74,24.74,24.74,24.74
2026-06-12,24.78,24.78,24.78,24.78,24.78
2026-06-15,24.84,24.84,24.84,24.84,24.84
2026-06-16,24.87,24.87,24.87,24.87,24.87
2026-06-17,24.76,24.76,24.76,24.76,24.76
2026-06-18,24.81,24.81,24.81,24.81,24.81
2026-06-22,24.74,24.74,24.74,24.74,24.74
2026-06-24,24.84,24.84,24.84,24.84,24.84
2026-06-25,24.88,24.88,24.88,24.88,24.88
2026-06-26,24.91,24.91,24.91,24.91,24.91
2026-06-29,24.91,24.91,24.91,24.91,24.91
2026-06-30,24.85,24.85,24.85,24.85,24.85
2026-07-01,24.81,24.81,24.81,24.81,24.81
2026-07-02,24.84,24.84,24.84,24.84,24.84
2026-07-06,24.86,24.86,24.86,24.86,24.86
2026-07-07,24.8,24.8,24.8,24.8,24.8
2026-07-08,24.72,24.72,24.72,24.72,24.72
2026-07-09,24.76,24.76,24.76,24.76,24.76
2026-07-10,24.75,24.75,24.75,24.75,24.75
2026-07-13,24.66,24.66,24.66,24.66,24.66
2026-07-14,24.72,24.72,24.72,24.72,24.72
2026-07-15,24.79,24.79,24.79,24.79,24.79
2026-07-16,24.76,24.76,24.76,24.76,24.76
2026-07-17,24.77,24.77,24.77,24.77,24.77
2026-07-20,24.7,24.7,24.7,24.7,24.7
2026-07-21,24.65,24.65,24.65,24.65,24.65
2026-07-22,24.61,24.61,24.61,24.61,24.61
2026-07-23,24.5,24.5,24.5,24.5,24.5
2026-07-24,24.54,24.54,24.54,24.54,24.54
2026-07-27,24.59,24.59,24.59,24.59,24.59
2026-07-28,24.64,24.64,24.64,24.64,24.64
2026-07-29,24.62,24.62,24.62,24.62,24.62
2026-07-30,24.62,24.62,24.62,24.62,24.62
2026-07-31,24.58,24.58,24.58,24.58,24.58
2026-08-03,24.66,24.66,24.66,24.66,24.66
2026-08-04,24.76,24.76,24.76,24.76,24.76
2026-08-05,24.79,24.79,24.79,24.79,24.79
2026-08-06,24.72,24.72,24.72,24.72,24.72
2026-08-07,24.79,24.79,24.79,24.79,24.79
2026-08-10,24.72,24.72,24.72,24.72,24.72
2026-08-11,24.73,24.73,24.73,24.73,24.73
2026-08-12,24.76,24.76,24.76,24.76,24.76
2026-08-13,24.85,24.85,24.85,24.85,24.85
