Date,Open,High,Low,Close,Adjusted_close
2025-08-18,2.3711,2.3711,2.3711,2.3711,2.3711
2025-08-19,2.3556,2.3556,2.3556,2.3556,2.3556
2025-08-20,2.3523,2.3523,2.3523,2.3523,2.3523
2025-08-21,2.3427,2.3427,2.3427,2.3427,2.3427
2025-08-22,2.3823,2.3823,2.3823,2.3823,2.3823
2025-08-26,2.3666,2.3666,2.3666,2.3666,2.3666
2025-08-27,2.373,2.373,2.373,2.373,2.373
2025-08-28,2.3767,2.3767,2.3767,2.3767,2.3767
2025-08-29,2.3664,2.3664,2.3664,2.3664,2.3664
2025-09-01,2.3662,2.3662,2.3662,2.3662,2.3662
2025-09-02,2.3474,2.3474,2.3474,2.3474,2.3474
2025-09-03,2.3411,2.3411,2.3411,2.3411,2.3411
2025-09-04,2.3592,2.3592,2.3592,2.3592,2.3592
2025-09-05,2.3633,2.3633,2.3633,2.3633,2.3633
2025-09-08,2.3701,2.3701,2.3701,2.3701,2.3701
2025-09-09,2.3806,2.3806,2.3806,2.3806,2.3806
2025-09-10,2.4034,2.4034,2.4034,2.4034,2.4034
2025-09-11,2.4296,2.4296,2.4296,2.4296,2.4296
2025-09-12,2.4103,2.4103,2.4103,2.4103,2.4103
2025-09-15,2.4217,2.4217,2.4217,2.4217,2.4217
2025-09-16,2.4178,2.4178,2.4178,2.4178,2.4178
2025-09-17,2.4187,2.4187,2.4187,2.4187,2.4187
2025-09-18,2.4285,2.4285,2.4285,2.4285,2.4285
2025-09-19,2.4394,2.4394,2.4394,2.4394,2.4394
2025-09-22,2.4492,2.4492,2.4492,2.4492,2.4492
2025-09-23,2.4396,2.4396,2.4396,2.4396,2.4396
2025-09-24,2.4315,2.4315,2.4315,2.4315,2.4315
2025-09-25,2.3971,2.3971,2.3971,2.3971,2.3971
2025-09-26,2.4163,2.4163,2.4163,2.4163,2.4163
2025-09-29,2.4316,2.4316,2.4316,2.4316,2.4316
2025-09-30,2.4392,2.4392,2.4392,2.4392,2.4392
2025-10-01,2.4608,2.4608,2.4608,2.4608,2.4608
2025-10-02,2.4703,2.4703,2.4703,2.4703,2.4703
2025-10-03,2.4794,2.4794,2.4794,2.4794,2.4794
2025-10-06,2.4953,2.4953,2.4953,2.4953,2.4953
2025-10-07,2.4847,2.4847,2.4847,2.4847,2.4847
2025-10-08,2.5052,2.5052,2.5052,2.5052,2.5052
2025-10-09,2.4923,2.4923,2.4923,2.4923,2.4923
2025-10-10,2.4269,2.4269,2.4269,2.4269,2.4269
2025-10-13,2.466,2.466,2.466,2.466,2.466
2025-10-14,2.4718,2.4718,2.4718,2.4718,2.4718
2025-10-15,2.4893,2.4893,2.4893,2.4893,2.4893
2025-10-16,2.4675,2.4675,2.4675,2.4675,2.4675
2025-10-17,2.4668,2.4668,2.4668,2.4668,2.4668
2025-10-20,2.504,2.504,2.504,2.504,2.504
2025-10-21,2.51,2.51,2.51,2.51,2.51
2025-10-22,2.4884,2.4884,2.4884,2.4884,2.4884
2025-10-23,2.5206,2.5206,2.5206,2.5206,2.5206
2025-10-24,2.5369,2.5369,2.5369,2.5369,2.5369
2025-10-28,2.5449,2.5449,2.5449,2.5449,2.5449
2025-10-29,2.5248,2.5248,2.5248,2.5248,2.5248
2025-10-30,2.512,2.512,2.512,2.512,2.512
2025-10-31,2.5332,2.5332,2.5332,2.5332,2.5332
