Date,Open,High,Low,Close,Adjusted_close
2025-08-18,35.7,35.7,35.7,35.7,35.7
2025-08-19,35.43,35.43,35.43,35.43,35.43
2025-08-20,35.48,35.48,35.48,35.48,35.48
2025-08-21,35.32,35.32,35.32,35.32,35.32
2025-08-22,35.75,35.75,35.75,35.75,35.75
2025-08-25,35.71,35.71,35.71,35.71,35.71
2025-08-26,35.89,35.89,35.89,35.89,35.89
2025-08-27,35.9,35.9,35.9,35.9,35.9
2025-08-28,36.14,36.14,36.14,36.14,36.14
2025-08-29,35.84,35.84,35.84,35.84,35.84
2025-09-02,35.45,35.45,35.45,35.45,35.45
2025-09-03,35.6,35.6,35.6,35.6,35.6
2025-09-04,35.92,35.92,35.92,35.92,35.92
2025-09-05,36.06,36.06,36.06,36.06,36.06
2025-09-08,36.29,36.29,36.29,36.29,36.29
2025-09-09,36.25,36.25,36.25,36.25,36.25
2025-09-10,36.5,36.5,36.5,36.5,36.5
2025-09-11,36.68,36.68,36.68,36.68,36.68
2025-09-12,36.42,36.42,36.42,36.42,36.42
2025-09-15,36.59,36.59,36.59,36.59,36.59
2025-09-16,36.56,36.56,36.56,36.56,36.56
2025-09-17,36.53,36.53,36.53,36.53,36.53
2025-09-18,36.6,36.6,36.6,36.6,36.6
2025-09-19,36.69,36.69,36.69,36.69,36.69
2025-09-22,36.94,36.94,36.94,36.94,36.94
2025-09-23,36.59,36.59,36.59,36.59,36.59
2025-09-24,36.41,36.41,36.41,36.41,36.41
2025-09-25,35.98,35.98,35.98,35.98,35.98
2025-09-26,36.06,36.06,36.06,36.06,36.06
2025-09-29,36.4,36.4,36.4,36.4,36.4
2025-09-30,36.61,36.61,36.61,36.61,36.61
2025-10-01,36.97,36.97,36.97,36.97,36.97
2025-10-02,37.28,37.28,37.28,37.28,37.28
2025-10-03,37.41,37.41,37.41,37.41,37.41
2025-10-06,37.71,37.71,37.71,37.71,37.71
2025-10-07,37.54,37.54,37.54,37.54,37.54
2025-10-08,37.94,37.94,37.94,37.94,37.94
2025-10-09,37.91,37.91,37.91,37.91,37.91
2025-10-10,36.96,36.96,36.96,36.96,36.96
2025-10-13,37.27,37.27,37.27,37.27,37.27
2025-10-14,37.11,37.11,37.11,37.11,37.11
2025-10-15,37.22,37.22,37.22,37.22,37.22
2025-10-16,37.19,37.19,37.19,37.19,37.19
2025-10-17,37.05,37.05,37.05,37.05,37.05
2025-10-20,37.54,37.54,37.54,37.54,37.54
2025-10-21,37.63,37.63,37.63,37.63,37.63
2025-10-22,37.05,37.05,37.05,37.05,37.05
2025-10-23,37.52,37.52,37.52,37.52,37.52
2025-10-24,37.75,37.75,37.75,37.75,37.75
2025-10-28,37.92,37.92,37.92,37.92,37.92
2025-10-29,37.82,37.82,37.82,37.82,37.82
2025-10-30,37.56,37.56,37.56,37.56,37.56
2025-10-31,37.61,37.61,37.61,37.61,37.61
2025-11-03,37.57,37.57,37.57,37.57,37.57
2025-11-04,36.98,36.98,36.98,36.98,36.98
2025-11-05,37.17,37.17,37.17,37.17,37.17
2025-11-06,36.84,36.84,36.84,36.84,36.84
2025-11-07,36.84,36.84,36.84,36.84,36.84
2025-11-10,37.34,37.34,37.34,37.34,37.34
2025-11-11,37.37,37.37,37.37,37.37,37.37
2025-11-12,37.35,37.35,37.35,37.35,37.35
2025-11-13,36.69,36.69,36.69,36.69,36.69
2025-11-14,36.54,36.54,36.54,36.54,36.54
2025-11-17,36.33,36.33,36.33,36.33,36.33
2025-11-18,36.02,36.02,36.02,36.02,36.02
2025-11-19,35.93,35.93,35.93,35.93,35.93
2025-11-20,35.38,35.38,35.38,35.38,35.38
2025-11-21,35.45,35.45,35.45,35.45,35.45
2025-11-24,35.91,35.91,35.91,35.91,35.91
2025-11-25,36.14,36.14,36.14,36.14,36.14
2025-11-26,36.35,36.35,36.35,36.35,36.35
2025-11-28,36.54,36.54,36.54,36.54,36.54
2025-12-01,36.23,36.23,36.23,36.23,36.23
2025-12-02,36.35,36.35,36.35,36.35,36.35
2025-12-03,36.51,36.51,36.51,36.51,36.51
2025-12-04,36.45,36.45,36.45,36.45,36.45
2025-12-05,36.32,36.32,36.32,36.32,36.32
2025-12-08,36.07,36.07,36.07,36.07,36.07
2025-12-09,36.04,36.04,36.04,36.04,36.04
2025-12-10,36.38,36.38,36.38,36.38,36.38
2025-12-11,36.3,36.3,36.3,36.3,36.3
2025-12-12,35.88,35.88,35.88,35.88,35.88
2025-12-15,35.68,35.68,35.68,35.68,35.68
2025-12-16,35.63,35.63,35.63,35.63,35.63
2025-12-17,35.27,35.27,35.27,35.27,35.27
2025-12-18,35.39,35.39,35.39,35.39,35.39
2025-12-19,35.82,35.82,35.82,35.82,35.82
2025-12-22,36.06,36.06,36.06,36.06,36.06
2025-12-23,36.17,36.17,36.17,36.17,36.17
2025-12-24,36.21,36.21,36.21,36.21,36.21
2025-12-30,36.09,36.09,36.09,36.09,36.09
2025-12-31,35.94,35.94,35.94,35.94,35.94
2026-01-02,36.18,36.18,36.18,36.18,36.18
2026-01-05,36.65,36.65,36.65,36.65,36.65
2026-01-06,37.08,37.08,37.08,37.08,37.08
2026-01-07,36.91,36.91,36.91,36.91,36.91
2026-01-08,36.84,36.84,36.84,36.84,36.84
2026-01-09,37.01,37.01,37.01,37.01,37.01
2026-01-12,37.13,37.13,37.13,37.13,37.13
2026-01-13,37.1,37.1,37.1,37.1,37.1
2026-01-14,36.86,36.86,36.86,36.86,36.86
2026-01-15,36.99,36.99,36.99,36.99,36.99
2026-01-16,37.16,37.16,37.16,37.16,37.16
2026-01-20,36.53,36.53,36.53,36.53,36.53
2026-01-21,36.63,36.63,36.63,36.63,36.63
2026-01-22,36.76,36.76,36.76,36.76,36.76
2026-01-23,36.77,36.77,36.77,36.77,36.77
2026-01-26,36.94,36.94,36.94,36.94,36.94
2026-01-27,37.34,37.34,37.34,37.34,37.34
2026-01-28,37.17,37.17,37.17,37.17,37.17
2026-01-29,37.06,37.06,37.06,37.06,37.06
2026-01-30,36.55,36.55,36.55,36.55,36.55
2026-02-03,36.27,36.27,36.27,36.27,36.27
2026-02-04,35.53,35.53,35.53,35.53,35.53
2026-02-05,35.11,35.11,35.11,35.11,35.11
2026-02-06,35.55,35.55,35.55,35.55,35.55
2026-02-09,36.03,36.03,36.03,36.03,36.03
2026-02-10,36,36,36,36,36
2026-02-11,35.95,35.95,35.95,35.95,35.95
2026-02-12,35.41,35.41,35.41,35.41,35.41
2026-02-13,35.72,35.72,35.72,35.72,35.72
2026-02-17,35.86,35.86,35.86,35.86,35.86
2026-02-18,36.26,36.26,36.26,36.26,36.26
2026-02-19,36.4,36.4,36.4,36.4,36.4
2026-02-20,36.45,36.45,36.45,36.45,36.45
2026-02-23,35.92,35.92,35.92,35.92,35.92
2026-02-24,36.2,36.2,36.2,36.2,36.2
2026-02-25,36.19,36.19,36.19,36.19,36.19
2026-02-26,36.27,36.27,36.27,36.27,36.27
2026-02-27,36.29,36.29,36.29,36.29,36.29
2026-03-02,36.18,36.18,36.18,36.18,36.18
2026-03-03,35.44,35.44,35.44,35.44,35.44
2026-03-04,35.67,35.67,35.67,35.67,35.67
2026-03-05,35.37,35.37,35.37,35.37,35.37
2026-03-06,35.02,35.02,35.02,35.02,35.02
2026-03-09,35.26,35.26,35.26,35.26,35.26
2026-03-10,35.28,35.28,35.28,35.28,35.28
2026-03-11,35.13,35.13,35.13,35.13,35.13
2026-03-12,34.53,34.53,34.53,34.53,34.53
2026-03-13,34.31,34.31,34.31,34.31,34.31
2026-03-16,34.77,34.77,34.77,34.77,34.77
2026-03-18,34.55,34.55,34.55,34.55,34.55
2026-03-19,34.57,34.57,34.57,34.57,34.57
2026-03-20,33.91,33.91,33.91,33.91,33.91
2026-03-23,34.25,34.25,34.25,34.25,34.25
2026-03-24,34.22,34.22,34.22,34.22,34.22
2026-03-25,34.57,34.57,34.57,34.57,34.57
2026-03-26,33.89,33.89,33.89,33.89,33.89
2026-03-27,33.41,33.41,33.41,33.41,33.41
2026-03-30,33.31,33.31,33.31,33.31,33.31
2026-03-31,34.29,34.29,34.29,34.29,34.29
2026-04-01,34.83,34.83,34.83,34.83,34.83
2026-04-02,34.84,34.84,34.84,34.84,34.84
2026-04-07,35.06,35.06,35.06,35.06,35.06
2026-04-08,36.04,36.04,36.04,36.04,36.04
2026-04-09,36.27,36.27,36.27,36.27,36.27
2026-04-10,36.29,36.29,36.29,36.29,36.29
2026-04-13,36.64,36.64,36.64,36.64,36.64
2026-04-14,36.96,36.96,36.96,36.96,36.96
2026-04-15,37.04,37.04,37.04,37.04,37.04
2026-04-16,37.09,37.09,37.09,37.09,37.09
2026-04-17,37.5,37.5,37.5,37.5,37.5
2026-04-20,37.42,37.42,37.42,37.42,37.42
2026-04-21,36.97,36.97,36.97,36.97,36.97
2026-04-22,37.32,37.32,37.32,37.32,37.32
2026-04-23,37.29,37.29,37.29,37.29,37.29
2026-04-24,37.46,37.46,37.46,37.46,37.46
2026-04-27,37.34,37.34,37.34,37.34,37.34
2026-04-28,36.82,36.82,36.82,36.82,36.82
2026-04-29,36.68,36.68,36.68,36.68,36.68
2026-04-30,37.18,37.18,37.18,37.18,37.18
2026-05-01,37.2,37.2,37.2,37.2,37.2
2026-05-05,37.3,37.3,37.3,37.3,37.3
2026-05-06,37.83,37.83,37.83,37.83,37.83
2026-05-07,37.14,37.14,37.14,37.14,37.14
2026-05-08,37.28,37.28,37.28,37.28,37.28
2026-05-11,37.3,37.3,37.3,37.3,37.3
2026-05-12,37.28,37.28,37.28,37.28,37.28
2026-05-13,37.22,37.22,37.22,37.22,37.22
2026-05-14,37.26,37.26,37.26,37.26,37.26
2026-05-15,36.59,36.59,36.59,36.59,36.59
2026-05-18,36.53,36.53,36.53,36.53,36.53
2026-05-19,36.31,36.31,36.31,36.31,36.31
2026-05-20,36.84,36.84,36.84,36.84,36.84
2026-05-21,37.2,37.2,37.2,37.2,37.2
2026-05-22,37.44,37.44,37.44,37.44,37.44
2026-05-26,37.8,37.8,37.8,37.8,37.8
2026-05-27,37.59,37.59,37.59,37.59,37.59
2026-05-28,37.86,37.86,37.86,37.86,37.86
2026-05-29,38.02,38.02,38.02,38.02,38.02
