Date,Open,High,Low,Close,Adjusted_close
2025-08-18,10.9,10.9,10.9,10.9,10.9
2025-08-19,10.92,10.92,10.92,10.92,10.92
2025-08-20,10.91,10.91,10.91,10.91,10.91
2025-08-21,10.89,10.89,10.89,10.89,10.89
2025-08-22,10.89,10.89,10.89,10.89,10.89
2025-08-25,10.92,10.92,10.92,10.92,10.92
2025-08-26,10.92,10.92,10.92,10.92,10.92
2025-08-27,10.93,10.93,10.93,10.93,10.93
2025-08-28,10.94,10.94,10.94,10.94,10.94
2025-08-29,10.94,10.94,10.94,10.94,10.94
2025-09-01,10.95,10.95,10.95,10.95,10.95
2025-09-02,10.92,10.92,10.92,10.92,10.92
2025-09-03,10.93,10.93,10.93,10.93,10.93
2025-09-04,10.95,10.95,10.95,10.95,10.95
2025-09-05,10.99,10.99,10.99,10.99,10.99
2025-09-08,11.01,11.01,11.01,11.01,11.01
2025-09-09,11.01,11.01,11.01,11.01,11.01
2025-09-10,11.02,11.02,11.02,11.02,11.02
2025-09-11,11.04,11.04,11.04,11.04,11.04
2025-09-12,11.03,11.03,11.03,11.03,11.03
2025-09-15,11.05,11.05,11.05,11.05,11.05
2025-09-16,11.06,11.06,11.06,11.06,11.06
2025-09-17,11.07,11.07,11.07,11.07,11.07
2025-09-18,11.05,11.05,11.05,11.05,11.05
2025-09-19,11.05,11.05,11.05,11.05,11.05
2025-09-22,10.93,10.93,10.93,10.93,10.93
2025-09-23,10.93,10.93,10.93,10.93,10.93
2025-09-24,10.93,10.93,10.93,10.93,10.93
2025-09-25,10.91,10.91,10.91,10.91,10.91
2025-09-26,10.9,10.9,10.9,10.9,10.9
2025-09-29,10.92,10.92,10.92,10.92,10.92
2025-09-30,10.93,10.93,10.93,10.93,10.93
2025-10-01,10.94,10.94,10.94,10.94,10.94
2025-10-02,10.95,10.95,10.95,10.95,10.95
2025-10-03,10.96,10.96,10.96,10.96,10.96
2025-10-06,10.94,10.94,10.94,10.94,10.94
2025-10-07,10.94,10.94,10.94,10.94,10.94
2025-10-08,10.95,10.95,10.95,10.95,10.95
2025-10-09,10.95,10.95,10.95,10.95,10.95
2025-10-10,10.94,10.94,10.94,10.94,10.94
2025-10-13,10.95,10.95,10.95,10.95,10.95
2025-10-14,10.95,10.95,10.95,10.95,10.95
2025-10-15,10.98,10.98,10.98,10.98,10.98
2025-10-16,10.99,10.99,10.99,10.99,10.99
2025-10-17,10.99,10.99,10.99,10.99,10.99
2025-10-20,11,11,11,11,11
2025-10-21,11.02,11.02,11.02,11.02,11.02
2025-10-22,11.02,11.02,11.02,11.02,11.02
2025-10-23,11.01,11.01,11.01,11.01,11.01
2025-10-24,11.02,11.02,11.02,11.02,11.02
2025-10-27,11.03,11.03,11.03,11.03,11.03
2025-10-28,11.04,11.04,11.04,11.04,11.04
2025-10-29,11.05,11.05,11.05,11.05,11.05
2025-10-30,11.01,11.01,11.01,11.01,11.01
2025-10-31,11.01,11.01,11.01,11.01,11.01
2025-11-03,11,11,11,11,11
2025-11-04,11,11,11,11,11
2025-11-05,10.99,10.99,10.99,10.99,10.99
2025-11-06,11,11,11,11,11
2025-11-07,10.99,10.99,10.99,10.99,10.99
2025-11-10,11.01,11.01,11.01,11.01,11.01
2025-11-11,11.01,11.01,11.01,11.01,11.01
2025-11-12,11.02,11.02,11.02,11.02,11.02
2025-11-13,11.01,11.01,11.01,11.01,11.01
2025-11-14,10.99,10.99,10.99,10.99,10.99
2025-11-17,10.98,10.98,10.98,10.98,10.98
2025-11-18,10.98,10.98,10.98,10.98,10.98
2025-11-19,10.98,10.98,10.98,10.98,10.98
2025-11-20,10.98,10.98,10.98,10.98,10.98
2025-11-21,10.98,10.98,10.98,10.98,10.98
2025-11-24,11,11,11,11,11
2025-11-25,11.01,11.01,11.01,11.01,11.01
2025-11-26,11.03,11.03,11.03,11.03,11.03
2025-11-27,11.04,11.04,11.04,11.04,11.04
2025-11-28,11.06,11.06,11.06,11.06,11.06
2025-12-01,11.02,11.02,11.02,11.02,11.02
2025-12-02,11.03,11.03,11.03,11.03,11.03
2025-12-03,11.04,11.04,11.04,11.04,11.04
2025-12-04,11.05,11.05,11.05,11.05,11.05
2025-12-05,11.04,11.04,11.04,11.04,11.04
2025-12-08,11.02,11.02,11.02,11.02,11.02
2025-12-09,11.02,11.02,11.02,11.02,11.02
2025-12-10,11.01,11.01,11.01,11.01,11.01
2025-12-11,11.04,11.04,11.04,11.04,11.04
2025-12-12,11.03,11.03,11.03,11.03,11.03
2025-12-15,11.03,11.03,11.03,11.03,11.03
2025-12-16,11.03,11.03,11.03,11.03,11.03
2025-12-17,11.04,11.04,11.04,11.04,11.04
2025-12-18,11.05,11.05,11.05,11.05,11.05
2025-12-19,11.05,11.05,11.05,11.05,11.05
2025-12-22,10.94,10.94,10.94,10.94,10.94
2025-12-23,10.93,10.93,10.93,10.93,10.93
2025-12-29,10.97,10.97,10.97,10.97,10.97
2025-12-30,10.97,10.97,10.97,10.97,10.97
2025-12-31,10.97,10.97,10.97,10.97,10.97
2026-01-02,10.97,10.97,10.97,10.97,10.97
2026-01-05,10.98,10.98,10.98,10.98,10.98
2026-01-06,10.99,10.99,10.99,10.99,10.99
2026-01-07,11,11,11,11,11
2026-01-08,10.99,10.99,10.99,10.99,10.99
2026-01-09,11,11,11,11,11
2026-01-12,11.01,11.01,11.01,11.01,11.01
2026-01-13,11.02,11.02,11.02,11.02,11.02
2026-01-14,11.02,11.02,11.02,11.02,11.02
2026-01-15,11.03,11.03,11.03,11.03,11.03
2026-01-16,11.02,11.02,11.02,11.02,11.02
2026-01-19,11.02,11.02,11.02,11.02,11.02
2026-01-20,10.99,10.99,10.99,10.99,10.99
2026-01-21,11,11,11,11,11
2026-01-22,11.02,11.02,11.02,11.02,11.02
2026-01-23,11.02,11.02,11.02,11.02,11.02
2026-01-26,11.04,11.04,11.04,11.04,11.04
2026-01-27,11.05,11.05,11.05,11.05,11.05
2026-01-28,11.05,11.05,11.05,11.05,11.05
2026-01-29,11.06,11.06,11.06,11.06,11.06
2026-01-30,11.05,11.05,11.05,11.05,11.05
2026-02-02,11.05,11.05,11.05,11.05,11.05
2026-02-03,11.05,11.05,11.05,11.05,11.05
2026-02-04,11.05,11.05,11.05,11.05,11.05
2026-02-05,11.04,11.04,11.04,11.04,11.04
2026-02-06,11.05,11.05,11.05,11.05,11.05
2026-02-09,11.07,11.07,11.07,11.07,11.07
2026-02-10,11.09,11.09,11.09,11.09,11.09
2026-02-11,11.08,11.08,11.08,11.08,11.08
2026-02-12,11.09,11.09,11.09,11.09,11.09
2026-02-13,11.1,11.1,11.1,11.1,11.1
2026-02-16,11.11,11.11,11.11,11.11,11.11
2026-02-17,11.11,11.11,11.11,11.11,11.11
2026-02-18,11.11,11.11,11.11,11.11,11.11
2026-02-19,11.1,11.1,11.1,11.1,11.1
2026-02-20,11.11,11.11,11.11,11.11,11.11
2026-02-23,11.11,11.11,11.11,11.11,11.11
2026-02-24,11.12,11.12,11.12,11.12,11.12
2026-02-25,11.12,11.12,11.12,11.12,11.12
2026-02-26,11.12,11.12,11.12,11.12,11.12
2026-02-27,11.13,11.13,11.13,11.13,11.13
2026-03-02,11.1,11.1,11.1,11.1,11.1
2026-03-03,11.04,11.04,11.04,11.04,11.04
2026-03-04,11.06,11.06,11.06,11.06,11.06
2026-03-05,11.05,11.05,11.05,11.05,11.05
2026-03-06,10.99,10.99,10.99,10.99,10.99
2026-03-09,10.98,10.98,10.98,10.98,10.98
2026-03-10,11.02,11.02,11.02,11.02,11.02
2026-03-11,11,11,11,11,11
2026-03-12,10.97,10.97,10.97,10.97,10.97
2026-03-13,10.94,10.94,10.94,10.94,10.94
2026-03-16,10.95,10.95,10.95,10.95,10.95
2026-03-17,10.97,10.97,10.97,10.97,10.97
2026-03-18,10.96,10.96,10.96,10.96,10.96
2026-03-19,10.92,10.92,10.92,10.92,10.92
