Date,Open,High,Low,Close,Adjusted_close
2025-08-18,133.6378,133.6378,133.6378,133.6378,133.6378
2025-08-19,132.869,132.869,132.869,132.869,132.869
2025-08-20,132.7779,132.7779,132.7779,132.7779,132.7779
2025-08-21,132.7756,132.7756,132.7756,132.7756,132.7756
2025-08-22,133.7369,133.7369,133.7369,133.7369,133.7369
2025-08-25,133.4987,133.4987,133.4987,133.4987,133.4987
2025-08-26,134.4891,134.4891,134.4891,134.4891,134.4891
2025-08-27,135.5271,135.5271,135.5271,135.5271,135.5271
2025-08-28,135.1427,135.1427,135.1427,135.1427,135.1427
2025-08-29,133.783,133.783,133.783,133.783,133.783
2025-09-02,133.7057,133.7057,133.7057,133.7057,133.7057
2025-09-03,134.3627,134.3627,134.3627,134.3627,134.3627
2025-09-04,136.0032,136.0032,136.0032,136.0032,136.0032
2025-09-05,134.2483,134.2483,134.2483,134.2483,134.2483
2025-09-08,134.873,134.873,134.873,134.873,134.873
2025-09-09,135.6018,135.6018,135.6018,135.6018,135.6018
2025-09-10,135.2838,135.2838,135.2838,135.2838,135.2838
2025-09-11,136.4211,136.4211,136.4211,136.4211,136.4211
2025-09-12,136.1395,136.1395,136.1395,136.1395,136.1395
2025-09-15,136.3228,136.3228,136.3228,136.3228,136.3228
2025-09-16,135.0064,135.0064,135.0064,135.0064,135.0064
2025-09-17,134.6111,134.6111,134.6111,134.6111,134.6111
2025-09-18,136.4487,136.4487,136.4487,136.4487,136.4487
2025-09-19,136.9243,136.9243,136.9243,136.9243,136.9243
2025-09-22,137.0771,137.0771,137.0771,137.0771,137.0771
2025-09-23,135.8408,135.8408,135.8408,135.8408,135.8408
2025-09-24,135.875,135.875,135.875,135.875,135.875
2025-09-25,136.2011,136.2011,136.2011,136.2011,136.2011
2025-09-26,136.8453,136.8453,136.8453,136.8453,136.8453
2025-09-29,136.786,136.786,136.786,136.786,136.786
2025-09-30,136.9548,136.9548,136.9548,136.9548,136.9548
2025-10-01,137.3643,137.3643,137.3643,137.3643,137.3643
2025-10-02,137.6117,137.6117,137.6117,137.6117,137.6117
2025-10-03,137.5141,137.5141,137.5141,137.5141,137.5141
2025-10-06,138.2771,138.2771,138.2771,138.2771,138.2771
2025-10-07,138.2023,138.2023,138.2023,138.2023,138.2023
2025-10-08,139.5287,139.5287,139.5287,139.5287,139.5287
2025-10-09,139.6174,139.6174,139.6174,139.6174,139.6174
2025-10-10,135.9306,135.9306,135.9306,135.9306,135.9306
2025-10-13,138.239,138.239,138.239,138.239,138.239
2025-10-14,137.5731,137.5731,137.5731,137.5731,137.5731
2025-10-15,137.9392,137.9392,137.9392,137.9392,137.9392
2025-10-16,136.5623,136.5623,136.5623,136.5623,136.5623
2025-10-17,137.3194,137.3194,137.3194,137.3194,137.3194
2025-10-20,138.8972,138.8972,138.8972,138.8972,138.8972
2025-10-21,139.9044,139.9044,139.9044,139.9044,139.9044
2025-10-22,139.5517,139.5517,139.5517,139.5517,139.5517
2025-10-23,140.7097,140.7097,140.7097,140.7097,140.7097
2025-10-24,141.6614,141.6614,141.6614,141.6614,141.6614
2025-10-27,143.2213,143.2213,143.2213,143.2213,143.2213
2025-10-28,143.4027,143.4027,143.4027,143.4027,143.4027
2025-10-29,143.453,143.453,143.453,143.453,143.453
2025-10-30,143.5659,143.5659,143.5659,143.5659,143.5659
2025-10-31,144.3814,144.3814,144.3814,144.3814,144.3814
2025-11-03,145.1638,145.1638,145.1638,145.1638,145.1638
2025-11-04,143.8885,143.8885,143.8885,143.8885,143.8885
2025-11-05,144.345,144.345,144.345,144.345,144.345
2025-11-06,142.3757,142.3757,142.3757,142.3757,142.3757
2025-11-07,142.002,142.002,142.002,142.002,142.002
2025-11-10,144.7764,144.7764,144.7764,144.7764,144.7764
2025-11-11,144.5829,144.5829,144.5829,144.5829,144.5829
2025-11-12,144.676,144.676,144.676,144.676,144.676
2025-11-13,141.5822,141.5822,141.5822,141.5822,141.5822
2025-11-14,141.8012,141.8012,141.8012,141.8012,141.8012
2025-11-17,140.8304,140.8304,140.8304,140.8304,140.8304
2025-11-18,140.0264,140.0264,140.0264,140.0264,140.0264
2025-11-19,141.6422,141.6422,141.6422,141.6422,141.6422
2025-11-20,139.7102,139.7102,139.7102,139.7102,139.7102
2025-11-21,141.3161,141.3161,141.3161,141.3161,141.3161
2025-11-24,143.1885,143.1885,143.1885,143.1885,143.1885
2025-11-25,144.3056,144.3056,144.3056,144.3056,144.3056
2025-11-26,144.8991,144.8991,144.8991,144.8991,144.8991
2025-11-28,145.3668,145.3668,145.3668,145.3668,145.3668
2025-12-01,144.2866,144.2866,144.2866,144.2866,144.2866
2025-12-02,144.6311,144.6311,144.6311,144.6311,144.6311
2025-12-03,144.537,144.537,144.537,144.537,144.537
2025-12-04,144.6363,144.6363,144.6363,144.6363,144.6363
2025-12-05,145.3208,145.3208,145.3208,145.3208,145.3208
2025-12-08,145.1217,145.1217,145.1217,145.1217,145.1217
2025-12-09,144.9163,144.9163,144.9163,144.9163,144.9163
2025-12-10,145.5127,145.5127,145.5127,145.5127,145.5127
2025-12-11,144.1638,144.1638,144.1638,144.1638,144.1638
2025-12-12,142.5259,142.5259,142.5259,142.5259,142.5259
2025-12-15,141.8023,141.8023,141.8023,141.8023,141.8023
2025-12-16,141.2098,141.2098,141.2098,141.2098,141.2098
2025-12-17,139.8054,139.8054,139.8054,139.8054,139.8054
2025-12-18,141.2539,141.2539,141.2539,141.2539,141.2539
2025-12-19,142.8551,142.8551,142.8551,142.8551,142.8551
2025-12-22,143.0969,143.0969,143.0969,143.0969,143.0969
2025-12-23,143.7323,143.7323,143.7323,143.7323,143.7323
2025-12-29,143.9079,143.9079,143.9079,143.9079,143.9079
2025-12-30,143.8434,143.8434,143.8434,143.8434,143.8434
2025-12-31,142.925,142.925,142.925,142.925,142.925
2026-01-02,143.2509,143.2509,143.2509,143.2509,143.2509
2026-01-05,144.8766,144.8766,144.8766,144.8766,144.8766
2026-01-06,146.1201,146.1201,146.1201,146.1201,146.1201
2026-01-07,146.2813,146.2813,146.2813,146.2813,146.2813
2026-01-08,146.1742,146.1742,146.1742,146.1742,146.1742
2026-01-09,147.3088,147.3088,147.3088,147.3088,147.3088
2026-01-12,146.8078,146.8078,146.8078,146.8078,146.8078
2026-01-13,146.6966,146.6966,146.6966,146.6966,146.6966
2026-01-14,145.509,145.509,145.509,145.509,145.509
2026-01-15,146.7114,146.7114,146.7114,146.7114,146.7114
2026-01-16,146.6167,146.6167,146.6167,146.6167,146.6167
2026-01-20,141.9842,141.9842,141.9842,141.9842,141.9842
2026-01-21,143.906,143.906,143.906,143.906,143.906
2026-01-22,144.3882,144.3882,144.3882,144.3882,144.3882
2026-01-23,144.1201,144.1201,144.1201,144.1201,144.1201
2026-01-26,143.1215,143.1215,143.1215,143.1215,143.1215
2026-01-27,143.1474,143.1474,143.1474,143.1474,143.1474
2026-01-28,143.2843,143.2843,143.2843,143.2843,143.2843
2026-01-29,143.0853,143.0853,143.0853,143.0853,143.0853
2026-01-30,142.4965,142.4965,142.4965,142.4965,142.4965
2026-02-02,143.9407,143.9407,143.9407,143.9407,143.9407
2026-02-03,141.9151,141.9151,141.9151,141.9151,141.9151
2026-02-04,140.7454,140.7454,140.7454,140.7454,140.7454
2026-02-05,138.7724,138.7724,138.7724,138.7724,138.7724
2026-02-06,141.3817,141.3817,141.3817,141.3817,141.3817
2026-02-09,141.3454,141.3454,141.3454,141.3454,141.3454
2026-02-10,140.4435,140.4435,140.4435,140.4435,140.4435
2026-02-11,140.5889,140.5889,140.5889,140.5889,140.5889
2026-02-12,138.4729,138.4729,138.4729,138.4729,138.4729
2026-02-13,139.4282,139.4282,139.4282,139.4282,139.4282
2026-02-17,139.939,139.939,139.939,139.939,139.939
2026-02-18,140.8073,140.8073,140.8073,140.8073,140.8073
2026-02-19,141.2979,141.2979,141.2979,141.2979,141.2979
2026-02-20,142.0775,142.0775,142.0775,142.0775,142.0775
2026-02-23,140.3596,140.3596,140.3596,140.3596,140.3596
2026-02-24,141.4952,141.4952,141.4952,141.4952,141.4952
2026-02-25,142.6036,142.6036,142.6036,142.6036,142.6036
2026-02-26,141.8203,141.8203,141.8203,141.8203,141.8203
2026-02-27,140.7404,140.7404,140.7404,140.7404,140.7404
2026-03-02,142.1782,142.1782,142.1782,142.1782,142.1782
2026-03-03,142.3181,142.3181,142.3181,142.3181,142.3181
2026-03-04,142.6807,142.6807,142.6807,142.6807,142.6807
2026-03-05,142.6912,142.6912,142.6912,142.6912,142.6912
2026-03-06,140.7433,140.7433,140.7433,140.7433,140.7433
2026-03-09,141.7773,141.7773,141.7773,141.7773,141.7773
2026-03-10,141.0757,141.0757,141.0757,141.0757,141.0757
2026-03-11,142.1272,142.1272,142.1272,142.1272,142.1272
2026-03-12,140.3523,140.3523,140.3523,140.3523,140.3523
2026-03-13,140.4115,140.4115,140.4115,140.4115,140.4115
2026-03-16,141.5227,141.5227,141.5227,141.5227,141.5227
2026-03-17,141.5493,141.5493,141.5493,141.5493,141.5493
2026-03-18,139.899,139.899,139.899,139.899,139.899
2026-03-19,139.6325,139.6325,139.6325,139.6325,139.6325
2026-03-20,137.2091,137.2091,137.2091,137.2091,137.2091
2026-03-23,138.0683,138.0683,138.0683,138.0683,138.0683
2026-03-24,137.407,137.407,137.407,137.407,137.407
2026-03-25,138.1918,138.1918,138.1918,138.1918,138.1918
2026-03-26,136.1214,136.1214,136.1214,136.1214,136.1214
2026-03-27,133.925,133.925,133.925,133.925,133.925
