Date,Open,High,Low,Close,Adjusted_close
2025-08-18,22.58,22.58,22.58,22.58,22.58
2025-08-19,22.56,22.56,22.56,22.56,22.56
2025-08-20,22.58,22.58,22.58,22.58,22.58
2025-08-21,22.55,22.55,22.55,22.55,22.55
2025-08-22,22.62,22.62,22.62,22.62,22.62
2025-08-25,22.75,22.75,22.75,22.75,22.75
2025-08-26,22.68,22.68,22.68,22.68,22.68
2025-08-27,22.67,22.67,22.67,22.67,22.67
2025-08-28,22.66,22.66,22.66,22.66,22.66
2025-08-29,22.59,22.59,22.59,22.59,22.59
2025-09-02,22.59,22.59,22.59,22.59,22.59
2025-09-03,22.62,22.62,22.62,22.62,22.62
2025-09-04,22.63,22.63,22.63,22.63,22.63
2025-09-05,22.68,22.68,22.68,22.68,22.68
2025-09-08,22.72,22.72,22.72,22.72,22.72
2025-09-09,22.82,22.82,22.82,22.82,22.82
2025-09-10,22.87,22.87,22.87,22.87,22.87
2025-09-11,22.91,22.91,22.91,22.91,22.91
2025-09-12,22.94,22.94,22.94,22.94,22.94
2025-09-15,22.97,22.97,22.97,22.97,22.97
2025-09-16,22.88,22.88,22.88,22.88,22.88
2025-09-17,22.93,22.93,22.93,22.93,22.93
2025-09-18,22.86,22.86,22.86,22.86,22.86
2025-09-19,22.89,22.89,22.89,22.89,22.89
2025-09-22,22.82,22.82,22.82,22.82,22.82
2025-09-23,22.86,22.86,22.86,22.86,22.86
2025-09-24,22.89,22.89,22.89,22.89,22.89
2025-09-25,22.9,22.9,22.9,22.9,22.9
2025-09-26,22.87,22.87,22.87,22.87,22.87
2025-09-29,22.89,22.89,22.89,22.89,22.89
2025-09-30,22.89,22.89,22.89,22.89,22.89
2025-10-01,23.01,23.01,23.01,23.01,23.01
2025-10-02,22.99,22.99,22.99,22.99,22.99
2025-10-03,22.97,22.97,22.97,22.97,22.97
2025-10-06,22.96,22.96,22.96,22.96,22.96
2025-10-07,22.96,22.96,22.96,22.96,22.96
2025-10-08,23.03,23.03,23.03,23.03,23.03
2025-10-09,23.11,23.11,23.11,23.11,23.11
2025-10-10,22.88,22.88,22.88,22.88,22.88
2025-10-13,23.03,23.03,23.03,23.03,23.03
2025-10-14,22.94,22.94,22.94,22.94,22.94
2025-10-15,23,23,23,23,23
2025-10-16,23.04,23.04,23.04,23.04,23.04
2025-10-17,23.11,23.11,23.11,23.11,23.11
2025-10-20,23.19,23.19,23.19,23.19,23.19
2025-10-21,23.18,23.18,23.18,23.18,23.18
2025-10-22,23.16,23.16,23.16,23.16,23.16
2025-10-23,23.16,23.16,23.16,23.16,23.16
2025-10-24,23.15,23.15,23.15,23.15,23.15
