Date,Open,High,Low,Close,Adjusted_close
2025-08-18,68.41,68.41,68.41,68.41,68.41
2025-08-19,67.14,67.14,67.14,67.14,67.14
2025-08-20,67.17,67.17,67.17,67.17,67.17
2025-08-21,67.19,67.19,67.19,67.19,67.19
2025-08-22,69.08,69.08,69.08,69.08,69.08
2025-08-25,68.62,68.62,68.62,68.62,68.62
2025-08-26,68.08,68.08,68.08,68.08,68.08
2025-08-27,68.93,68.93,68.93,68.93,68.93
2025-08-28,69.61,69.61,69.61,69.61,69.61
2025-08-29,69.52,69.52,69.52,69.52,69.52
2025-09-02,69.07,69.07,69.07,69.07,69.07
2025-09-03,69.12,69.12,69.12,69.12,69.12
2025-09-04,69.58,69.58,69.58,69.58,69.58
2025-09-05,70.48,70.48,70.48,70.48,70.48
2025-09-08,70.25,70.25,70.25,70.25,70.25
2025-09-09,70.17,70.17,70.17,70.17,70.17
2025-09-10,70.68,70.68,70.68,70.68,70.68
2025-09-11,71.71,71.71,71.71,71.71,71.71
2025-09-12,71.8,71.8,71.8,71.8,71.8
2025-09-15,73,73,73,73,73
2025-09-16,73.4,73.4,73.4,73.4,73.4
2025-09-17,73.86,73.86,73.86,73.86,73.86
2025-09-18,73.24,73.24,73.24,73.24,73.24
2025-09-19,73.29,73.29,73.29,73.29,73.29
2025-09-22,73.24,73.24,73.24,73.24,73.24
2025-09-23,74.24,74.24,74.24,74.24,74.24
2025-09-24,73.74,73.74,73.74,73.74,73.74
2025-09-25,72.99,72.99,72.99,72.99,72.99
2025-09-26,73.57,73.57,73.57,73.57,73.57
2025-09-29,74.38,74.38,74.38,74.38,74.38
2025-09-30,74.65,74.65,74.65,74.65,74.65
2025-10-01,73.78,73.78,73.78,73.78,73.78
2025-10-02,73.36,73.36,73.36,73.36,73.36
2025-10-03,73.51,73.51,73.51,73.51,73.51
2025-10-06,72.63,72.63,72.63,72.63,72.63
2025-10-07,71.58,71.58,71.58,71.58,71.58
2025-10-08,72.13,72.13,72.13,72.13,72.13
2025-10-09,71.52,71.52,71.52,71.52,71.52
2025-10-10,69.95,69.95,69.95,69.95,69.95
2025-10-13,70.68,70.68,70.68,70.68,70.68
2025-10-14,70.4,70.4,70.4,70.4,70.4
2025-10-15,71.14,71.14,71.14,71.14,71.14
2025-10-16,71.28,71.28,71.28,71.28,71.28
2025-10-17,71.6,71.6,71.6,71.6,71.6
2025-10-20,72.24,72.24,72.24,72.24,72.24
2025-10-21,71.67,71.67,71.67,71.67,71.67
2025-10-22,71.85,71.85,71.85,71.85,71.85
2025-10-23,72.36,72.36,72.36,72.36,72.36
2025-10-24,72.15,72.15,72.15,72.15,72.15
2025-10-27,72.78,72.78,72.78,72.78,72.78
2025-10-28,73.28,73.28,73.28,73.28,73.28
2025-10-29,73.82,73.82,73.82,73.82,73.82
2025-10-30,73.67,73.67,73.67,73.67,73.67
2025-10-31,73.98,73.98,73.98,73.98,73.98
2025-11-03,74.14,74.14,74.14,74.14,74.14
2025-11-04,73.69,73.69,73.69,73.69,73.69
2025-11-05,75.2,75.2,75.2,75.2,75.2
2025-11-06,75.45,75.45,75.45,75.45,75.45
2025-11-07,75.94,75.94,75.94,75.94,75.94
2025-11-10,76.55,76.55,76.55,76.55,76.55
2025-11-11,78.18,78.18,78.18,78.18,78.18
2025-11-12,77.83,77.83,77.83,77.83,77.83
2025-11-13,77.36,77.36,77.36,77.36,77.36
2025-11-14,77.8,77.8,77.8,77.8,77.8
2025-11-17,76.9,76.9,76.9,76.9,76.9
2025-11-18,76.96,76.96,76.96,76.96,76.96
2025-11-19,76.76,76.76,76.76,76.76,76.76
2025-11-20,76.23,76.23,76.23,76.23,76.23
2025-11-21,75.6,75.6,75.6,75.6,75.6
2025-11-24,76.04,76.04,76.04,76.04,76.04
2025-11-25,76.86,76.86,76.86,76.86,76.86
2025-11-26,78.37,78.37,78.37,78.37,78.37
2025-11-28,78.89,78.89,78.89,78.89,78.89
2025-12-01,78.77,78.77,78.77,78.77,78.77
2025-12-02,79.77,79.77,79.77,79.77,79.77
2025-12-03,80.13,80.13,80.13,80.13,80.13
2025-12-04,81.26,81.26,81.26,81.26,81.26
2025-12-05,77.86,77.86,77.86,77.86,77.86
2025-12-08,78.22,78.22,78.22,78.22,78.22
2025-12-09,78.28,78.28,78.28,78.28,78.28
2025-12-10,78.11,78.11,78.11,78.11,78.11
2025-12-11,79.63,79.63,79.63,79.63,79.63
2025-12-12,79.92,79.92,79.92,79.92,79.92
2025-12-15,80.27,80.27,80.27,80.27,80.27
2025-12-16,78.11,78.11,78.11,78.11,78.11
2025-12-17,76.87,76.87,76.87,76.87,76.87
2025-12-18,77.57,77.57,77.57,77.57,77.57
2025-12-19,77.87,77.87,77.87,77.87,77.87
2025-12-22,77.6,77.6,77.6,77.6,77.6
2025-12-23,79,79,79,79,79
2025-12-24,79.04,79.04,79.04,79.04,79.04
2025-12-26,79.16,79.16,79.16,79.16,79.16
2025-12-29,78.48,78.48,78.48,78.48,78.48
2025-12-30,79.04,79.04,79.04,79.04,79.04
2025-12-31,78.92,78.92,78.92,78.92,78.92
2026-01-02,79.36,79.36,79.36,79.36,79.36
