Date,Open,High,Low,Close,Adjusted_close
2025-08-18,138.68,138.68,138.68,138.68,138.68
2025-08-19,138.78,138.78,138.78,138.78,138.78
2025-08-20,138.5,138.5,138.5,138.5,138.5
2025-08-21,138.13,138.13,138.13,138.13,138.13
2025-08-22,138.38,138.38,138.38,138.38,138.38
2025-08-25,140.79,140.79,140.79,140.79,140.79
2025-08-26,139.95,139.95,139.95,139.95,139.95
2025-08-27,140.18,140.18,140.18,140.18,140.18
2025-08-28,140.64,140.64,140.64,140.64,140.64
2025-08-29,140.11,140.11,140.11,140.11,140.11
2025-09-01,139.98,139.98,139.98,139.98,139.98
2025-09-02,138.4,138.4,138.4,138.4,138.4
2025-09-03,138.89,138.89,138.89,138.89,138.89
2025-09-04,138.36,138.36,138.36,138.36,138.36
2025-09-05,139.33,139.33,139.33,139.33,139.33
2025-09-08,140.3,140.3,140.3,140.3,140.3
2025-09-09,140.78,140.78,140.78,140.78,140.78
2025-09-10,140.24,140.24,140.24,140.24,140.24
2025-09-11,139.46,139.46,139.46,139.46,139.46
2025-09-12,140.89,140.89,140.89,140.89,140.89
2025-09-15,140.49,140.49,140.49,140.49,140.49
2025-09-16,141.45,141.45,141.45,141.45,141.45
2025-09-17,140.82,140.82,140.82,140.82,140.82
2025-09-18,142.16,142.16,142.16,142.16,142.16
2025-09-19,141.17,141.17,141.17,141.17,141.17
2025-09-22,140.91,140.91,140.91,140.91,140.91
2025-09-23,141.37,141.37,141.37,141.37,141.37
2025-09-24,140.86,140.86,140.86,140.86,140.86
2025-09-25,139.84,139.84,139.84,139.84,139.84
2025-09-26,139.26,139.26,139.26,139.26,139.26
2025-09-29,140.92,140.92,140.92,140.92,140.92
2025-09-30,140.48,140.48,140.48,140.48,140.48
2025-10-01,141.28,141.28,141.28,141.28,141.28
2025-10-02,143.07,143.07,143.07,143.07,143.07
2025-10-03,143.55,143.55,143.55,143.55,143.55
2025-10-06,143.68,143.68,143.68,143.68,143.68
2025-10-07,143.56,143.56,143.56,143.56,143.56
2025-10-08,143.06,143.06,143.06,143.06,143.06
2025-10-09,143.35,143.35,143.35,143.35,143.35
2025-10-10,141.66,141.66,141.66,141.66,141.66
2025-10-13,140.02,140.02,140.02,140.02,140.02
2025-10-14,137.75,137.75,137.75,137.75,137.75
2025-10-15,141.73,141.73,141.73,141.73,141.73
2025-10-16,141.64,141.64,141.64,141.64,141.64
2025-10-17,138.96,138.96,138.96,138.96,138.96
2025-10-20,140.75,140.75,140.75,140.75,140.75
2025-10-21,141.48,141.48,141.48,141.48,141.48
2025-10-22,141.13,141.13,141.13,141.13,141.13
2025-10-23,141.14,141.14,141.14,141.14,141.14
2025-10-24,141.48,141.48,141.48,141.48,141.48
2025-10-27,142.97,142.97,142.97,142.97,142.97
2025-10-28,142.47,142.47,142.47,142.47,142.47
2025-10-29,142.56,142.56,142.56,142.56,142.56
2025-10-30,140.84,140.84,140.84,140.84,140.84
2025-10-31,141.52,141.52,141.52,141.52,141.52
2025-11-03,141.91,141.91,141.91,141.91,141.91
