name,category,source,symbol,isin,yahoo_name,currency_ok,master_status,overlap,currency
AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,INTERNATIONAL,FT-ISIN->Yahoo,0P0001P7SF,LU2485953454,AB International Tech S14 USD,True,有数据-确认,0.67,USD
AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,INTERNATIONAL,Yahoo按名称,0P00000I4D,LU0060230025,AB Intl Technology I USD,True,有数据-确认,0.67,USD
AMERICAN AIRLINES COM USD1 USD,AMERICAN,Yahoo按名称,AAL,,American Airlines Group Inc.,True,有数据-确认,0.67,USD
AMERICAN BITCOIN CORP NPV USD,AMERICAN,Yahoo按名称,ABTC,,American Bitcoin Corp,True,有数据-确认,1.0,USD
APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD,GLOBAL,Yahoo按名称,AAPL,,Apple Inc.,True,有数据-确认,1.0,USD
BLACKROCK (LUX) SA Global Long-Horizon Equity Fund A USD USD,GLOBAL,Yahoo按名称,BDMAX,LU0011850046,BlackRock Global Equity Market Neutral Fund,True,有数据-确认,0.6,USD
BLACKROCK GLOBAL UNCONSTRAINED EQUITY D ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001SS6L,LU2720917223,BGF Global Unconstrained Eq X2,True,有数据-确认,0.6,USD
BNY MELLON GLB FDS GLOBAL BD A USD USD,GLOBAL,Yahoo按名称,0P0001AGX2,,BNY Mellon Glb ShrtDtd HY Bd USD A Inc,True,有数据-确认,0.67,USD
BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD,GLOBAL,Yahoo按名称,BKGI,,Bny Mellon Global Infrastructure Income ETF,True,有数据-确认,1.0,USD
BUNGE GLOBAL LTD USD,GLOBAL,Yahoo按名称,BG,,Bunge Global SA,True,有数据-确认,1.0,USD
CAM GLOBAL EQUITY FEEDER FUND R ACC USD,GLOBAL,Yahoo按名称,0P0001HD39,,Camissa Global Equity B USD Acc,True,有数据-确认,0.67,USD
CARRIER GLOBAL COR COM USD0.01 WI USD,GLOBAL,Yahoo按名称,CARR,,Carrier Global Corporation,True,有数据-确认,1.0,USD
COINBASE GLOBAL INC USD,GLOBAL,Yahoo按名称,COIN,,"Coinbase Global, Inc.",True,有数据-确认,1.0,USD
CURATE GLOBAL SUSTAINABLE EQUITY FUND A USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001KPAS,LU2000525019,Curate Global Sust Eq A USD Acc,True,有数据-确认,0.5,USD
CURATE GLOBAL SUSTAINABLE EQUITY FUND B USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001NAGP,LU2000525100,Curate Global Sust Eq B USD Acc,True,有数据-确认,0.5,USD
DIMENSIONAL GLOBAL SHORT FIXED INCOME USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000J2A3,IE0030982627,Dimensional Global Sht Fxd Inc USD Acc,True,有数据-确认,0.5,USD
DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD,GLOBAL,Yahoo按名称,DFSB,,Dimensional Global Sustainability Fixed Income ETF,True,有数据-确认,1.0,USD
DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND ACC USD,GLOBAL,Yahoo按名称,DFSB,,Dimensional Global Sustainability Fixed Income ETF,True,有数据-确认,0.6,USD
DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME FUND ACC USD USD,GLOBAL,Yahoo按名称,0P00012MVU,,Dimensional Global UltrShrt FI USD Acc,True,有数据-确认,0.5,USD
DVAM GLOBAL EQUITY INCOME USD B2 INC USD,GLOBAL,Yahoo按名称,0P0001H41F,,dVAM Global Equity Income PCP USD A2Dist,True,有数据-确认,0.8,USD
DVAM GLOBAL EQUITY INCOME USD D2 DIS USD,GLOBAL,Yahoo按名称,0P0001H41F,,dVAM Global Equity Income PCP USD A2Dist,True,有数据-确认,0.8,USD
DVAM GLOBAL EQUITY INCOME USD E2 INC USD,GLOBAL,Yahoo按名称,0P0001H41F,,dVAM Global Equity Income PCP USD A2Dist,True,有数据-确认,0.8,USD
FIDELITY FUNDS SUSTAINABLE GLOBAL DIVIDEND PLUS FUND Y ACC USD,GLOBAL,Yahoo按名称,0P0001MNHQ,,FF - Global Dividend Pl A Acc USD,True,有数据-确认,0.5,USD
FIDELITY GLOBAL INC A MINCOME(G) DIS USD,GLOBAL,Yahoo按名称,0P0001MHNW,LU0731783048,Fidelity Global Intrinsic Value A,True,有数据-确认,0.67,USD
FIDELITY LUX GLOBAL FINL SVCS A INC USD,GLOBAL,Yahoo按名称,0P0001MHNW,,Fidelity Global Intrinsic Value A,True,有数据-确认,0.5,USD
FRANKLIN TEMP GLOBAL BAL A ACC USD USD,GLOBAL,Yahoo按名称,0P0000KAMO,,UWS Franklin Templeton Global Balanced S4,True,有数据-确认,0.5,USD
Fidelity Global Multi Asset Growth & Income Fund A USD USD,GLOBAL,Yahoo按名称,0P0001M4I2,LU0267386521,Fidelity Global Multi Asset Dyn I-AccUSD,True,有数据-确认,0.67,USD
GAM STAR GLOBAL BALANCED ACC USD USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM Star Global Rates USD Acc,True,有数据-确认,0.75,USD
GAM STAR GLOBAL BALANCED F USD ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM Star Global Rates USD Acc,True,有数据-确认,0.75,USD
GAM STAR GLOBAL BALANCED INSTL ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM Star Global Rates USD Acc,True,有数据-确认,0.75,USD
GAM STAR GLOBAL BALANCED T USD USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM Star Global Rates USD Acc,True,有数据-确认,0.75,USD
GAM STAR GLOBAL BALANCED U USD ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM Star Global Rates USD Acc,True,有数据-确认,0.75,USD
GLOBAL PAYMENTS 5.95 % NOTES 2022-15.08.52 USD,GLOBAL,Yahoo按名称,GPN,,Global Payments Inc.,True,有数据-确认,1.0,USD
GS GLOBAL CORE EQUITY BASE ACCUMULATION SNAP USD ACC SNAP USD,GLOBAL,Yahoo按名称,0P00013MGM,,GS Global CORE Eq IO Inc USD Snap,True,有数据-确认,0.67,USD
INTERNATIONAL SEAWAYS INC NPV USD,INTERNATIONAL,Yahoo按名称,INSW,,"International Seaways, Inc.",True,有数据-确认,1.0,USD
INVESCO GLOBAL INCOME A INC USD,GLOBAL,FT-ISIN->Yahoo,0P00014BDI,LU1097689100,Invesco Global Income A USDH QD-GI,True,有数据-确认,0.5,USD
JANUS HENDERSON GLOBAL LIFE SCIENCE A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00000RMR,IE0002128837,Janus Henderson Glb Life Scn B2 USD,True,有数据-确认,0.67,USD
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND I2 USD USD,GLOBAL,FT-ISIN->Yahoo,0P0000ZQ1D,LU0973119513,Janus Henderson Hrzn GlblPtyEqsG2USD,True,有数据-确认,0.5,USD
JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,AMERICAN,FT-ISIN->Yahoo,0P00000MLI,IE0031385887,Jupiter Merian NA Eq (IRL) L $ Acc,True,有数据-确认,0.5,USD
JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,AMERICAN,FT-ISIN->Yahoo,0P00000MLI,IE0031385887,Jupiter Merian NA Eq (IRL) L $ Acc,True,有数据-确认,0.5,USD
Jupiter Merian Global Equity Income Fund (IRL) L USD Inc USD,GLOBAL,Yahoo按名称,0P00016I3U,,Jupiter Merian Glb Eq Inc (IRL) L $ Inc,True,有数据-确认,0.5,USD
LIBERTY GLOBAL LTD USD,GLOBAL,Yahoo按名称,LBTYA,,Liberty Global Ltd.,True,有数据-确认,1.0,USD
LITHIUM AMERICAS CORP USD,AMERICAN,Yahoo按名称,LAC,,Lithium Americas Corp.,True,有数据-确认,1.0,USD
MOBILITY GLOBAL INC USD,GLOBAL,Yahoo按名称,MBGL,,"Mobility Global, Inc.",True,有数据-确认,1.0,USD
MORGAN STANLEY GLOBAL BRANDS C USD,GLOBAL,FT-ISIN->Yahoo,0P0000MWCC,LU0176160306,MS INVF Global Brands C,True,有数据-确认,0.5,USD
MORGAN STANLEY IF GLOBAL OPPTY FD USD CL A USD,GLOBAL,Yahoo按名称,0P0001XI1K,,Morgan Stanley IF - Global Stars A Acc,True,有数据-确认,0.8,USD
NEW CAPITAL GLOBAL VALUE CREDIT FUND USD,GLOBAL,FT-ISIN->Yahoo,0P000025ZS,IE0033116462,New Capital Glbl Val Crdt USD Ord Acc,True,有数据-确认,0.5,USD
NINETY ONE GLOBAL ENVIROMENT FUND A ACC USD,GLOBAL,Yahoo按名称,0P00000R8P,,Ninety One GSF Glb StratMgd A Inc USD,True,有数据-确认,0.5,USD
NINETY ONE GLOBAL ENVIRONMENTS A USD ACC USD,GLOBAL,Yahoo按名称,0P00000R8P,,Ninety One GSF Glb StratMgd A Inc USD,True,有数据-确认,0.5,USD
NINETY ONE GLOBAL EQUITY A ACC USD USD,GLOBAL,FT-ISIN->Yahoo,0P00013NJN,LU1078025761,Ninety One GSF European Eq A Acc USD Hdg,True,有数据-确认,0.6,USD
NINETY ONE GSF GLOBAL FRANCHISE A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001CNCE,LU1734074674,Ninety One GSF AsiaPac Franchise A Acc $,True,有数据-确认,0.5,USD
NINETY ONE GSF GLOBAL GOLD A INC GRS USD USD,GLOBAL,Yahoo按名称,0P00000R8P,,Ninety One GSF Glb StratMgd A Inc USD,True,有数据-确认,0.6,USD
NINETY ONE GSF GLOBAL NATURAL RESOURCES A ACC GRS USD USD,GLOBAL,Yahoo按名称,0P00000R8P,,Ninety One GSF Glb StratMgd A Inc USD,True,有数据-确认,0.6,USD
NINETY ONE GSF GLOBAL STRATEGIC EQUITY A GRS USD ACC USD,GLOBAL,Yahoo按名称,0P00000R8P,,Ninety One GSF Glb StratMgd A Inc USD,True,有数据-确认,0.6,USD
NINETY ONE LUX S.A GLOBAL ENVIRONMENT A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001GZNK,LU1939255532,Ninety One GSF Global Envir A Acc USD,True,有数据-确认,0.6,USD
NINETY-ONE GLOBAL ST GBL STRAT EQUITY I ACC USD,GLOBAL,Yahoo按名称,0P0001RBV0,,Ninety One GSF Glb Equity ZX Inc USD,True,有数据-确认,0.5,USD
NINETY-ONE GLOBAL ST US DOLLAR MONEY I USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000SF11,LU0439319624,Ninety One GSF US Dollar Money I Acc USD,True,有数据-确认,0.83,USD
NSF WEALTH DEFENDER GLOBAL EQUITY A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001CXPX,LU1347437607,NSF SICAV Wealth Defender Glbl Eq A USD,True,有数据-确认,0.6,USD
PGIM GLOBAL REAL SEL RE SECURITIES I ACC USD,GLOBAL,Yahoo按名称,PURGX,,PGIM Global Real Estate R4,True,有数据-确认,0.6,USD
PICTET GLOBAL ENVIRONMENTAL OPPORTUNITIES I USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001EVPJ,LU1901200318,Pictet - Global Envir Opps I dy USD,True,有数据-确认,0.6,USD
PIMCO GIS GLOBAL INVEST GRADE CREDIT HDGD E ACC USD USD,GLOBAL,Yahoo按名称,0P0000HOIQ,,PIMCO GIS Global Investment Grade Credit Fund H Institutional USD Accumulation,True,有数据-确认,0.71,USD
PIMCO GIS GLOBAL INVEST GRADE CREDIT INST ACC USD USD,GLOBAL,Yahoo按名称,0P0000HOIQ,IE0034085260,PIMCO GIS Global Investment Grade Credit Fund H Institutional USD Accumulation,True,有数据-确认,0.71,USD
POLAR CAPITAL FUND GLOBAL INSURANCE I USD DIS USD,GLOBAL,Yahoo按名称,0P0000M892,,Polar Capital Global Tech I Inc,True,有数据-确认,0.75,USD
POLAR CAPITAL FUNDS NORTH AMERICAN I INC USD,AMERICAN,Yahoo按名称,0P0000M892,,Polar Capital Global Tech I Inc,True,有数据-确认,0.5,USD
REMITLY GLOBAL INC USD,GLOBAL,Yahoo按名称,RELY,,"Remitly Global, Inc.",True,有数据-确认,1.0,USD
