name,status,symbol,rows,first,last,note,ts
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,NOT_FOUND,,,,,search 'Aberdeen American Growth' 无命中,2026-08-17 02:29
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,OK,LU0091433606.EUFUND,244,2025-08-18,2026-08-13,search->AB - American Income Portfolio J USD Inc,2026-08-17 02:29
ALLIANCEBERNSTEIN AMERICAN INCOME USD,OK,LU0231611335.EUFUND,244,2025-08-18,2026-08-13,search->AB - American Income Portfolio S USD Acc,2026-08-17 01:27
AMUNDI BD GLOBAL AGG AUC 3D USD,OK,LU1437021972.EUFUND,252,2025-08-18,2026-08-13,,2026-08-17 02:29
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,OK,IE00BZ60K206.EUFUND,245,2025-08-18,2026-08-13,,2026-08-17 02:29
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,OK,IE00B615T757.EUFUND,240,2025-08-18,2026-08-13,search->Artisan Global Opportunities I USD Acc,2026-08-17 02:29
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,OK,LU0425308086.EUFUND,250,2025-08-18,2026-08-14,,2026-08-17 02:29
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,OK,LU0278466700.EUFUND,249,2025-08-19,2026-08-14,,2026-08-17 02:29
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,OK,LU0737136415.EUFUND,250,2025-08-18,2026-08-14,,2026-08-17 02:29
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CELERITY GLOBAL BALANCED FUND IC A ACC USD,NOT_FOUND,,,,,search 'Celerity Global Balanced' 无命中,2026-08-17 02:29
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
CT MGMT AMERICAN 3U USD ACC USD,OK,LU1864949380.EUFUND,242,2025-08-18,2026-08-13,,2026-08-17 02:29
CTMGMT LUX AMERICAN AU USD ACC USD,OK,LU0757425094.EUFUND,243,2025-08-18,2026-08-13,search->CT (Lux) - American Class AE (EUR Accumulation Shares),2026-08-17 02:29
FINCREST GLOBAL EQUITY FUND CLASS A USD,NOT_FOUND,,,,,search 'FincRest Global Equity' 无命中,2026-08-17 02:29
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
FRANKLIN TEMP GLOBAL INC A ACC USD USD,OK,LU0211326755.EUFUND,249,2025-08-18,2026-08-13,search->Templeton Global Income Fund A(acc)USD,2026-08-17 02:29
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,NOT_FOUND,,,,,search 'Franklin Global Focus' 无命中,2026-08-17 02:29
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,OK,LU0211331839.EUFUND,249,2025-08-18,2026-08-13,search->FTIF - Franklin Mutual Global Discovery A Acc USD,2026-08-17 02:29
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,NOT_FOUND,,,,,search 'Franklin Global Focus' 无命中,2026-08-17 02:29
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,OK,LU0260871040.EUFUND,249,2025-08-18,2026-08-13,search->Templeton Global Total Return,2026-08-17 02:29
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,OK,LU0260871040.EUFUND,249,2025-08-18,2026-08-13,search->Templeton Global Total Return,2026-08-17 02:29
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,OK,LU0128526570.EUFUND,249,2025-08-18,2026-08-13,search->FTIF - Templeton Latin America A Acc USD,2026-08-17 02:29
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,NOT_FOUND,,,,,search 'FTGF Brandywine Global Fixed Income' 无命中,2026-08-17 02:29
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,OK,IE00B1BXHP82.EUFUND,249,2025-08-18,2026-08-13,,2026-08-17 02:29
GLOBAL X FDS GBL X FTSE ARGENT USD USD,NOT_FOUND,,,,,search 'Global X FTSE Argentina' 无命中,2026-08-17 02:29
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,NOT_FOUND,,,,,search 'Global X Robotics Artificial Intelligence' 无命中,2026-08-17 02:29
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,NOT_FOUND,,,,,search 'Guinness Global Equity Income D USD' 无命中,2026-08-17 02:29
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,OK,LU0607513230.EUFUND,250,2025-08-18,2026-08-14,,2026-08-17 02:29
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,OK,LU1075211273.EUFUND,246,2025-08-18,2026-08-14,,2026-08-17 02:29
JPM IF GLOBAL DIVIDEND C ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JPMF A JPMF AMERICA EQUITY A USD USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JPMF AM GLOBAL EQUITY A DIST USD USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
JSS EMERGINGSAR GLOBAL A DIST USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,SKIP-结构件,,,,,结构化/ETP，跳过,2026-08-17 02:30
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
PIMCOG GLOBAL ADVIS INCOME PU INC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
PROSPER FDS SICAV GLOBAL MACRO I USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
THREADNEEDLE LATIN AMERICAN NAV ACC USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,PENDING,,,,,今日额度用尽，明天续跑,2026-08-17 02:30
iShares Macquarie Global Infra USD,PENDING,,,,,额度用尽,2026-08-17 02:30
