name,category,symbol,overlap,rows_ok,reason
AMERICAN AIRLINES COM USD1 USD,AMERICAN,AAL,0.67,5252.0,非MUTUALFUND(EQUITY)
AMERICAN BITCOIN CORP NPV USD,AMERICAN,ABTC,1.0,2128.0,非MUTUALFUND(EQUITY)
APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD,GLOBAL,AAPL,1.0,7198.0,非MUTUALFUND(EQUITY)
BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD,GLOBAL,BKGI,1.0,945.0,非MUTUALFUND(ETF)
BUNGE GLOBAL LTD USD,GLOBAL,BG,1.0,6294.0,非MUTUALFUND(EQUITY)
CARRIER GLOBAL COR COM USD0.01 WI USD,GLOBAL,CARR,1.0,1609.0,非MUTUALFUND(EQUITY)
COINBASE GLOBAL INC USD,GLOBAL,COIN,1.0,1340.0,非MUTUALFUND(EQUITY)
DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD,GLOBAL,DFSB,1.0,937.0,非MUTUALFUND(ETF)
DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND ACC USD,GLOBAL,DFSB,0.6,937.0,非MUTUALFUND(ETF)
GLOBAL PAYMENTS 5.95 % NOTES 2022-15.08.52 USD,GLOBAL,GPN,1.0,6432.0,非MUTUALFUND(EQUITY)
INTERNATIONAL SEAWAYS INC NPV USD,INTERNATIONAL,INSW,1.0,2447.0,非MUTUALFUND(EQUITY)
LIBERTY GLOBAL LTD USD,GLOBAL,LBTYA,1.0,5584.0,非MUTUALFUND(EQUITY)
LITHIUM AMERICAS CORP USD,AMERICAN,LAC,1.0,719.0,非MUTUALFUND(EQUITY)
MOBILITY GLOBAL INC USD,GLOBAL,MBGL,1.0,34.0,非MUTUALFUND(EQUITY)
REMITLY GLOBAL INC USD,GLOBAL,RELY,1.0,1227.0,非MUTUALFUND(EQUITY)
S&P GLOBAL INC COM USD1 USD,GLOBAL,SPGI,1.0,7198.0,非MUTUALFUND(EQUITY)
SUMITOMO MITSUI FINANCIAL 5.766 % MEDIUM TERM NOTES 2023-13.01.33 GLOBAL USD,GLOBAL,SMFG,0.75,5168.0,非MUTUALFUND(EQUITY)
TOYOTA MOTOR CREDIT CORP 3.05 % MEDIUM TERM NOTES 2022-22.03.27 GLOBAL SER B USD,GLOBAL,TM,1.0,7198.0,非MUTUALFUND(EQUITY)
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2025-21.05.26 USD,AMERICAN,USO,0.5,5118.0,非MUTUALFUND(ETF)
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-21.07.26 USD,AMERICAN,USO,0.5,5118.0,非MUTUALFUND(ETF)
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.06.26 USD,AMERICAN,USO,0.5,5118.0,非MUTUALFUND(ETF)
UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.07.26 USD,AMERICAN,USO,0.5,5118.0,非MUTUALFUND(ETF)
UNITED STATES OF AMERICA 3.125 % TREASURY NOTES 2018-15.11.28 USD,AMERICAN,USO,0.5,5118.0,非MUTUALFUND(ETF)
UNITED STATES OF AMERICA 3.5 % TREASURY NOTES 2023-15.02.33 USD,AMERICAN,USO,0.5,5118.0,非MUTUALFUND(ETF)
UNITED STATES OF AMERICA 4.125 % TREASURY NOTES USD,AMERICAN,USO,0.5,5118.0,非MUTUALFUND(ETF)
DVAM GLOBAL EQUITY INCOME USD B2 INC USD,GLOBAL,0P0001H41F,0.8,1904.0,同symbol多条只保留最优一条
DVAM GLOBAL EQUITY INCOME USD D2 DIS USD,GLOBAL,0P0001H41F,0.8,1904.0,同symbol多条只保留最优一条
DVAM GLOBAL EQUITY INCOME USD E2 INC USD,GLOBAL,0P0001H41F,0.8,1904.0,同symbol多条只保留最优一条
FIDELITY LUX GLOBAL FINL SVCS A INC USD,GLOBAL,0P0001MHNW,0.5,1291.0,同symbol多条只保留最优一条
GAM STAR GLOBAL BALANCED ACC USD USD,GLOBAL,0P0000MXNH,0.75,1914.0,同symbol多条只保留最优一条
GAM STAR GLOBAL BALANCED F USD ACC USD,GLOBAL,0P0000MXNH,0.75,1914.0,同symbol多条只保留最优一条
GAM STAR GLOBAL BALANCED INSTL ACC USD,GLOBAL,0P0000MXNH,0.75,1914.0,同symbol多条只保留最优一条
GAM STAR GLOBAL BALANCED T USD USD,GLOBAL,0P0000MXNH,0.75,1914.0,同symbol多条只保留最优一条
GAM STAR GLOBAL BALANCED U USD ACC USD,GLOBAL,0P0000MXNH,0.75,1914.0,同symbol多条只保留最优一条
