isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
US9219467944,VANGUARD WHITEHALL INTERNATIONAL HIGH DIV YIEL USD,international,ETF,VYMI,USD,ETF,Vanguard International High Dividend Yield Index Fund ETF Shares,,,,真ETF(名称/美股ETF)
IE00B27YCK28,ISHARES MSCI EM LATIN AMERICA USD,America,ETF,DLTM.L,USD,ETF,iShares MSCI EM Latin America UCITS ETF,,,,真ETF(名称/美股ETF)
US37950E2596,GLOBAL X FDS GBL X FTSE ARGENT USD USD,global,ETF,,,,,,,,真ETF(名称/美股ETF)
US37954Y7159,GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,global,ETF,,,,,,,,真ETF(名称/美股ETF)
IE00BYWZ0440,ISHARES GLOBAL HIGH YIELD CORP BD UCITS USD ACC USD,global,ETF,HYLA.L,USD,ETF,iShares Global High Yield Corp Bond UCITS ETF,,,,真ETF(名称/美股ETF)
IE00B57X3V84,ISHARES II PLC GLOBAL SUSTAINABI UCITS USD,global,ETF,IGSG.L,GBp,ETF,iShares Dow Jones Global Leaders Screened UCITS ETF USD (Acc),,,,真ETF(名称/美股ETF)
IE00B1FZS467,iShares Macquarie Global Infra USD,global,ETF,INFR.L,GBp,ETF,iShares Global Infrastructure UCITS ETF USD (Dist),,,,真ETF(名称/美股ETF)
IE00B27YCF74,ISHARES S&P GLOBAL TIMBER & FORESTRY USD,global,ETF,WOOD.L,GBp,ETF,iShares Global Timber & Forestry UCITS ETF USD (Dist),,,,真ETF(名称/美股ETF)
IE00B1TXK627,iShares S&P Global Water USD,global,ETF,IH2O.L,GBp,ETF,iShares Global Water UCITS ETF USD (Dist),,,,真ETF(名称/美股ETF)
IE00B87G8S03,ISHARES VI PLC GLOBAL AAA-AA GOV BND UCITS USD,global,ETF,IAAA.L,USD,ETF,iShares Global AAA-AA Govt Bond UCITS ETF USD (Dist),,,,真ETF(名称/美股ETF)
IE00BZ56SW52,WISDOMTREE ISSUER GLOBAL DEV QUALITY DIV UCIT USD,global,ETF,IE00BZ56SW52.SG,EUR,MUTUALFUND,WisdomTree Global Quality Divid,,,,真ETF(名称/美股ETF)
