name,category,status,source,symbol,isin,ft_name,yahoo_name_sym,isin_sym
A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,GLOBAL,无数据,无结果,,,,,
AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,GLOBAL,有数据,Yahoo按名称,0P0000MPP7.SI,LU0154094527,AB FCP I - Global High Yield Portfolio I2 USD Acc,0P0000MPP7.SI,
AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,INTERNATIONAL,有数据,FT-ISIN->Yahoo,XAYP.F,LU0058720904,AB SICAV I - International Health Care Portfolio A Acc,0P0001DI3M,XAYP.F
AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,INTERNATIONAL,有数据,FT-ISIN->Yahoo,0P0001P7SF,LU2485953454,AB SICAV I-International Technology Portfolio Class S14 USD Acc,0P00000I4D,0P0001P7SF
AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,GLOBAL,有数据,FT-ISIN->Yahoo,XAY6.HM,LU0074935502,AB SICAV I - Global Real Estate Securities Portfolio A Acc,0P00000I3H,XAY6.HM
AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,INTERNATIONAL,有数据,FT-ISIN->Yahoo,XAYP.F,LU0058720904,AB SICAV I - International Health Care Portfolio A Acc,0P00001RTN,XAYP.F
AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,INTERNATIONAL,有数据,Yahoo按名称,0P00000I4D,LU0060230025,AB SICAV I - International Technology Portfolio A Acc,0P00000I4D,LU0060230025.SG
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,无数据,无结果,,,,,
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001M1PV,LU2329614494,abrdn SICAV I - Global Dynamic Dividend Fund X Acc USD,AGD,0P0001M1PV
ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,GLOBAL,有数据,Yahoo按名称,0P00000R9X.L,,,0P00000R9X.L,
ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,AMERICAN,有数据,FT-ISIN->Yahoo,0P0000ZNPV,LU0566484027,abrdn SICAV I - North American Smaller Companies Fund A Acc USD,0P00000R3B.L,0P0000ZNPV
ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,AEFJ.MU,LU0107464264,abrdn SICAV I - Future Global Equity Fund A Acc USD,0P0000G76Y,AEFJ.MU
AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P00009VKL.F,,,0P00009VKL.F,
AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,GLOBAL,有数据,Yahoo按名称,0P00009VKL.F,,,0P00009VKL.F,
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,无数据,无结果,,,,,
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,无数据,无结果,,,,,
ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001UAGR,LU2929389422,Allianz Global Investors Fund - Allianz Best Styles US Equity CT2 (USD) Accumulation,0P0001KN5E.F,0P0001UAGR
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001KQC9,LU2231172441,Allianz Global Investors Fund - Allianz Global Artificial Intelligence W2 (USD),ZZRF.F,0P0001KQC9
ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,GLOBAL,有数据,FT-ISIN->Yahoo,AZHI.F,LU0348744763,Allianz Global Investors Fund - Allianz Asia Pacific Income A USD,0P000148G1.BE,AZHI.F
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001LPJK,LU2289118288,Allianz Global Investors Fund - Allianz Cyber Security IT USD Acc,,0P0001LPJK
ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,GLOBAL,有数据,Yahoo按名称,0P000148G1.BE,LU0820561818,Allianz Global Investors Fund - Allianz Income and Growth AM USD,0P000148G1.BE,LU0820561818.SG
ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001OZ17,LU1997245177,Allianz Global Investors Fund - Allianz China A Shares AT USD,0P0001OZ17,
ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,GLOBAL,有数据,FT-ISIN->Yahoo,UQ24.F,LU0348825331,Allianz Global Investors Fund - Allianz China Equity A USD,0P0001QX4J.F,UQ24.F
ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,GLOBAL,有数据,FT-ISIN->Yahoo,DJET.MU,LU0342679015,Allianz Global Investors Fund - Allianz Global Equity Unconstrained AT USD,0P0001OZ17,DJET.MU
ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,GLOBAL,有数据,FT-ISIN->Yahoo,ZZRZ.F,LU0348723411,Allianz Global Investors Fund - Allianz Global HiTech Growth A USD,0P0001FF96,ZZRZ.F
ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,GLOBAL,有数据,FT-ISIN->Yahoo,UQ2K.F,LU0158827948,Allianz Global Investors Fund - Allianz Global Sustainability A USD,0P0001OZ17,UQ2K.F
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P000148G2.HK,LU0880094791,Allianz Global Investors Fund - Allianz HKD Income AT HKD,0P0001J16I,0P000148G2.HK
ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,UQ2G.F,LU0348735423,Allianz Global Investors Fund - Allianz Hong Kong Equity A USD,0P0001QX4J.F,UQ2G.F
ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,GLOBAL,有数据,Yahoo按名称,0P000148G1.BE,LU0820561818,Allianz Global Investors Fund - Allianz Income and Growth AM USD,0P000148G1.BE,LU0820561818.SG
ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,GLOBAL,有数据,FT-ISIN->Yahoo,UQ26.F,LU0348766576,Allianz Global Investors Fund - Allianz Little Dragons A USD,0P0001OZ17,UQ26.F
ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,GLOBAL,有数据,Yahoo按名称,0P000148G1.BE,LU0348783233,Allianz Global Investors Fund - Allianz Oriental Income A USD,0P000148G1.BE,LU0348783233.SG
