isin,name,rows,first,last,nonzero_pct,verdict,reason
LU0100122521,AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,1116,2022-03-07,2026-08-17,95.9,PASS,
LU1481181599,CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD,1116,2022-03-07,2026-08-17,95.7,PASS,
IE000IU42BF0,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,342,2025-04-07,2026-08-17,95.6,FAIL,rows=342 first=2025-04-07 nz=95.6
IE000W41MTZ0,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,342,2025-04-07,2026-08-17,95.6,FAIL,rows=342 first=2025-04-07 nz=95.6
LU1586378470,SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,1116,2022-03-07,2026-08-17,94.1,PASS,
IE0001HL2054,TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD,257,2025-08-08,2026-08-17,95.3,FAIL,rows=257 first=2025-08-08 nz=95.3
LU0566484704,ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,1115,2022-03-08,2026-08-17,93.9,PASS,
LU0566484027,ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,1115,2022-03-08,2026-08-17,93.9,PASS,
LU1008671684,ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,1116,2022-03-07,2026-08-17,95.5,PASS,
LU0157308031,ALLIANCEBERNSTEIN AMERICAN INCOME USD,1116,2022-03-07,2026-08-17,95.7,PASS,
IE00BZ60K206,ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,1916,2019-01-02,2026-08-17,95.7,PASS,
LU1378997875,CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,1116,2022-03-07,2026-08-17,95.5,PASS,
LU0112528004,CT AMERICAN SELECT AU USD ACC USD,1116,2022-03-07,2026-08-17,95.3,PASS,
LU1868836914,CT MGMT AMERICAN 3U USD ACC USD,1116,2022-03-07,2026-08-17,95.3,PASS,
LU0050427557,FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,1116,2022-03-07,2026-08-17,98.7,PASS,
LU0210528500,JPMORGAN AMERICA EQUITY A USD USD,1116,2022-03-07,2026-08-17,90.1,PASS,
LU0129459060,JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,1116,2022-03-07,2026-08-17,90.1,PASS,
IE00B42HQF39,JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,1916,2019-01-02,2026-08-17,95.8,PASS,
IE0031385887,JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,1916,2019-01-02,2026-08-17,95.8,PASS,
IE000NXTFTQ8,PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,757,2023-08-10,2026-08-17,94.2,PASS,
IE00B531PK96,POLAR CAPITAL FUNDS NORTH AMERICAN I INC USD,1916,2019-01-02,2026-08-17,95.4,PASS,
GB00B4X7J424,VT DE LISLE AMERICA B ACC USD,1916,2019-01-02,2026-08-17,97.7,PASS,
IE00025NOBE1,A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,227,2025-09-22,2026-08-17,96.0,FAIL,rows=227 first=2025-09-22 nz=96.0
LU0083181239,AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,1116,2022-03-07,2026-08-17,95.7,PASS,
LU2329614577,ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,1115,2022-03-08,2026-08-17,93.7,PASS,
LU0094547139,ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,1115,2022-03-08,2026-08-17,93.9,PASS,
IE00B296YR77,AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,1916,2019-01-02,2026-08-17,95.8,PASS,
IE00B296YP53,AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,1916,2019-01-02,2026-08-17,95.8,PASS,
LU1698898050,ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,1115,2022-03-08,2026-08-17,94.3,PASS,
LU2286300806,ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,1115,2022-03-08,2026-08-17,90.4,PASS,
LU0815945463,ALLIANZ GLOBAL INV HKD INCOME AM USD USD,1115,2022-03-08,2026-08-17,88.4,PASS,
LU2089283258,ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,1115,2022-03-08,2026-08-17,93.3,PASS,
LU3076206690,ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,304,2025-06-02,2026-08-17,96.4,FAIL,rows=304 first=2025-06-02 nz=96.4
LU1730018279,ALQUITY GLOBAL IMPACT R ACC USD,427,2024-12-02,2026-08-17,94.1,PASS,
LU1691799990,AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,1117,2022-03-04,2026-08-17,95.5,PASS,
LU1846577242,ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,1115,2022-03-08,2026-08-17,90.0,PASS,
IE00B75GXZ78,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,1916,2019-01-02,2026-08-17,96.2,PASS,
IE00B615T757,ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,1916,2019-01-02,2026-08-17,96.2,PASS,
LU0266012318,AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,1116,2022-03-07,2026-08-17,95.0,PASS,
IE00B912KW96,BAILLIE GIFFORD WO GLOBAL ALPHA B ACC USD,1916,2019-01-02,2026-08-17,95.6,PASS,
IE00BYQG5606,BAILLIE GIFFORD WO LONG TERM GLOBAL GROWTH B ACC USD,1916,2019-01-02,2026-08-17,95.6,PASS,
IE00B0XXHG05,BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,1916,2019-01-02,2026-08-17,95.0,PASS,
IE0000931182,BARING GLOBAL RESOURCES A USD DIS USD,1916,2019-01-02,2026-08-17,95.8,PASS,
GB00B3B9VC56,BARING GLOBAL AGRIC USD ACC NAV USD,1916,2019-01-02,2026-08-17,98.1,PASS,
IE00B3YV8M70,BARING GLOBAL EMG MKTS A USD ACC NAV USD,1916,2019-01-02,2026-08-17,95.8,PASS,
IE0030016244,BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,1916,2019-01-02,2026-08-17,94.7,PASS,
LU0737136415,BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,1116,2022-03-07,2026-08-17,87.9,PASS,
LU1251621188,BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,1115,2022-03-08,2026-08-17,89.1,PASS,
