name,symbol,rows,first,last,currency
AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,XAYP.F,1,1786600959,1786600959,EUR
AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,0P0001P7SF,1035,1656509400,1786627800,USD
AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,XAY6.HM,1,1786601089,1786601089,EUR
AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,XAYP.F,1,1786600959,1786600959,EUR
AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,LU0060230025.SG,0,,,EUR
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,0P0001M1PV,1113,1646749800,1786627800,USD
ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,0P0000ZNPV,1113,1646749800,1786627800,USD
ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,AEFJ.MU,1,1786601705,1786601705,EUR
ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,0P0001UAGR,425,1733149800,1786627800,USD
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,0P0001KQC9,1113,1646749800,1786627800,USD
ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,AZHI.F,3224,1385967600,1786687200,EUR
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,0P0001LPJK,1113,1646749800,1786627800,USD
ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,LU0820561818.SG,0,,,EUR
ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,UQ24.F,1,1786642624,1786642624,EUR
ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,DJET.MU,1,1786600935,1786600935,EUR
ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,ZZRZ.F,1,1786642195,1786642195,EUR
ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,UQ2K.F,1,1786600959,1786600959,EUR
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,0P000148G2.HK,1089,1646703000,1786671000,HKD
ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,UQ2G.F,1,1786642665,1786642665,EUR
ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,LU0820561818.SG,0,,,EUR
ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,UQ26.F,1,1786642354,1786642354,EUR
ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,LU0348783233.SG,0,,,EUR
ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,DJEU.HM,1,1786601089,1786601089,EUR
ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,0P0001J2E3,1113,1646749800,1786627800,USD
ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,0P0001VF82,302,1748871000,1786627800,USD
ALQUITY GLOBAL IMPACT R ACC USD,0P0001CQMG,425,1733149800,1786627800,USD
AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,0P0001F9VL,1115,1646404200,1786627800,USD
ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,0P0001YIQ8,148,1768228200,1786627800,USD
AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,0P0000SR16,1114,1646663400,1786627800,USD
BARING GLOBAL RESOURCES A USD DIS USD,BYQN.F,7323,883551600,1786687200,EUR
BARING LATIN AMERICA A USD DIS USD,BYQU.F,7323,883551600,1786687200,EUR
BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,BYQX.SG,2912,1425279600,1786687200,EUR
