name,category,isin,ft_name,yahoo_symbol
AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,GLOBAL,LU0154094527,AB FCP I - Global High Yield Portfolio I2 USD Acc,0P0000MPP7.SI
AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,INTERNATIONAL,LU0058720904,AB SICAV I - International Health Care Portfolio A Acc,XAYP.F
AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,INTERNATIONAL,LU2485953454,AB SICAV I-International Technology Portfolio Class S14 USD Acc,0P0001P7SF
AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,GLOBAL,LU0074935502,AB SICAV I - Global Real Estate Securities Portfolio A Acc,XAY6.HM
AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,INTERNATIONAL,LU0058720904,AB SICAV I - International Health Care Portfolio A Acc,XAYP.F
AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,INTERNATIONAL,LU0060230025,AB SICAV I - International Technology Portfolio A Acc,0P00000I4D
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,GLOBAL,LU2329614494,abrdn SICAV I - Global Dynamic Dividend Fund X Acc USD,0P0001M1PV
ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,AMERICAN,LU0566484027,abrdn SICAV I - North American Smaller Companies Fund A Acc USD,0P0000ZNPV
ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,GLOBAL,LU0107464264,abrdn SICAV I - Future Global Equity Fund A Acc USD,AEFJ.MU
ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,GLOBAL,LU2929389422,Allianz Global Investors Fund - Allianz Best Styles US Equity CT2 (USD) Accumulation,0P0001UAGR
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,GLOBAL,LU2231172441,Allianz Global Investors Fund - Allianz Global Artificial Intelligence W2 (USD),0P0001KQC9
ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,GLOBAL,LU0348744763,Allianz Global Investors Fund - Allianz Asia Pacific Income A USD,AZHI.F
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,GLOBAL,LU2289118288,Allianz Global Investors Fund - Allianz Cyber Security IT USD Acc,0P0001LPJK
ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,GLOBAL,LU0820561818,Allianz Global Investors Fund - Allianz Income and Growth AM USD,0P000148G1.BE
ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,GLOBAL,LU1997245177,Allianz Global Investors Fund - Allianz China A Shares AT USD,0P0001OZ17
ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,GLOBAL,LU0348825331,Allianz Global Investors Fund - Allianz China Equity A USD,UQ24.F
ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,GLOBAL,LU0342679015,Allianz Global Investors Fund - Allianz Global Equity Unconstrained AT USD,DJET.MU
ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,GLOBAL,LU0348723411,Allianz Global Investors Fund - Allianz Global HiTech Growth A USD,ZZRZ.F
ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,GLOBAL,LU0158827948,Allianz Global Investors Fund - Allianz Global Sustainability A USD,UQ2K.F
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,GLOBAL,LU0880094791,Allianz Global Investors Fund - Allianz HKD Income AT HKD,0P000148G2.HK
ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,GLOBAL,LU0348735423,Allianz Global Investors Fund - Allianz Hong Kong Equity A USD,UQ2G.F
ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,GLOBAL,LU0820561818,Allianz Global Investors Fund - Allianz Income and Growth AM USD,0P000148G1.BE
ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,GLOBAL,LU0348766576,Allianz Global Investors Fund - Allianz Little Dragons A USD,UQ26.F
ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,GLOBAL,LU0348783233,Allianz Global Investors Fund - Allianz Oriental Income A USD,0P000148G1.BE
ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,GLOBAL,LU0256863811,Allianz Global Investors Fund - Allianz US Equity Fund A USD,DJEU.HM
ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,GLOBAL,LU2089283258,Allianz Global Investors Fund - Allianz Global Sustainability AM H2 USD,0P0001J2E3
ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,GLOBAL,LU3076206690,Allspring (Lux) Worldwide Fund - Global Equity Enhanced Income Fund Class A USD Acc,0P0001VF82
ALQUITY GLOBAL IMPACT R ACC USD,GLOBAL,LU1730018279,Alquity SICAV - Alquity Global Impact Fund USD R Class,0P0001CQMG
AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,GLOBAL,LU1691799644,Amundi Funds - Polen Capital Global Growth A2 USD (C),0P0001F9VL
