name,category,kind,cand_isin,isin_confident,ft_hist_url,ft_search_url,fundinfo_url,wallstreet_url,note
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=ABERDEEN%20STD%20-%20NORTH%20AMERICAN%20SMALLER%20COMPANIES%20FUND%20I%20ACC%20USD%20USD,https://www.fundinfo.com/en/search?query=ABERDEEN%20STD%20-%20NORTH%20AMERICAN%20SMALLER%20COMPANIES%20FUND%20I%20ACC%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ABERDEEN%20STD%20-%20NORTH%20AMERICAN%20SMALLER%20COMPANIES%20FUND%20I%20ACC%20USD%20USD,人工搜索确认份额/币种后下载
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=ALLIANCE%20BERNSTEIN%20AMERICAN%20INCOME%20PORTFOLIO%20INC%20USD,https://www.fundinfo.com/en/search?query=ALLIANCE%20BERNSTEIN%20AMERICAN%20INCOME%20PORTFOLIO%20INC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ALLIANCE%20BERNSTEIN%20AMERICAN%20INCOME%20PORTFOLIO%20INC%20USD,人工搜索确认份额/币种后下载
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,基金,IT0005630238:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=IT0005630238:EUR,https://markets.ft.com/data/search?query=ALLIANCEBERNSTEIN%20AMERICAN%20INCOME%20USD,https://www.fundinfo.com/en/search?query=ALLIANCEBERNSTEIN%20AMERICAN%20INCOME%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ALLIANCEBERNSTEIN%20AMERICAN%20INCOME%20USD,人工搜索确认份额/币种后下载
AMUNDI BD GLOBAL AGG AUC 3D USD,GLOBAL,基金,LU1437021972:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU1437021972:USD,https://markets.ft.com/data/search?query=AMUNDI%20BD%20GLOBAL%20AGG%20AUC%203D%20USD,https://www.fundinfo.com/en/search?query=AMUNDI%20BD%20GLOBAL%20AGG%20AUC%203D%20USD,https://www.wallstreet-online.de/suche?suchbegriff=AMUNDI%20BD%20GLOBAL%20AGG%20AUC%203D%20USD,人工搜索确认份额/币种后下载
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=ARBROOK%20G10%20AMERICAN%20EQUITIES%20A1%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=ARBROOK%20G10%20AMERICAN%20EQUITIES%20A1%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ARBROOK%20G10%20AMERICAN%20EQUITIES%20A1%20USD%20ACC%20USD,人工搜索确认份额/币种后下载
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=ARTISAN%20PTNRS%20GBL%20GLOBAL%20OPPORTUNITIES%20I%20USD,https://www.fundinfo.com/en/search?query=ARTISAN%20PTNRS%20GBL%20GLOBAL%20OPPORTUNITIES%20I%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ARTISAN%20PTNRS%20GBL%20GLOBAL%20OPPORTUNITIES%20I%20USD,人工搜索确认份额/币种后下载
BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,GLOBAL,债券/票据,,,,https://markets.ft.com/data/search?query=BBVA%2011.00%25%20P.A.%20GLOBAL%20RECOVERY%20SAFE%20HAVEN%20MEMORY%20AUTOCALL%20USD,https://www.fundinfo.com/en/search?query=BBVA%2011.00%25%20P.A.%20GLOBAL%20RECOVERY%20SAFE%20HAVEN%20MEMORY%20AUTOCALL%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%2011.00%25%20P.A.%20GLOBAL%20RECOVERY%20SAFE%20HAVEN%20MEMORY%20AUTOCALL%20USD,免费源无解
BBVA BOLT GLOBAL RECOVERY NOTE USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20BOLT%20GLOBAL%20RECOVERY%20NOTE%20USD,https://www.fundinfo.com/en/search?query=BBVA%20BOLT%20GLOBAL%20RECOVERY%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20BOLT%20GLOBAL%20RECOVERY%20NOTE%20USD,免费源无解
BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,GLOBAL,债券/票据,,,,https://markets.ft.com/data/search?query=BBVA%20BOLT%20MARKETS%207.00%25%20P.A.%20GLOBAL%20RECOVERY%20INCOME%20MEMORY%20AUTOCALL%20USD,https://www.fundinfo.com/en/search?query=BBVA%20BOLT%20MARKETS%207.00%25%20P.A.%20GLOBAL%20RECOVERY%20INCOME%20MEMORY%20AUTOCALL%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20BOLT%20MARKETS%207.00%25%20P.A.%20GLOBAL%20RECOVERY%20INCOME%20MEMORY%20AUTOCALL%20USD,免费源无解
BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20IDAD%20GLOBAL%20BANKS%20DEFENSIVE%20AUTOCALL%20JULY%202022%20USD,https://www.fundinfo.com/en/search?query=BBVA%20IDAD%20GLOBAL%20BANKS%20DEFENSIVE%20AUTOCALL%20JULY%202022%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20IDAD%20GLOBAL%20BANKS%20DEFENSIVE%20AUTOCALL%20JULY%202022%20USD,免费源无解
BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20IDAD%20GLOBAL%20MARKETS%20CLASSIC%20AUTOCALL%20JULY%202021%20USD%20USD,https://www.fundinfo.com/en/search?query=BBVA%20IDAD%20GLOBAL%20MARKETS%20CLASSIC%20AUTOCALL%20JULY%202021%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20IDAD%20GLOBAL%20MARKETS%20CLASSIC%20AUTOCALL%20JULY%202021%20USD%20USD,免费源无解
BBVA KYTE GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,https://www.fundinfo.com/en/search?query=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,免费源无解
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,基金,LU0425308086:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU0425308086:USD,https://markets.ft.com/data/search?query=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,https://www.fundinfo.com/en/search?query=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,人工搜索确认份额/币种后下载
