isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
LU0037065595,AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,international,NODATA,LU0037065595-USD.LU,USD,MUTUALFUND,AB SICAV ITP I,,,,chart空; Yahoo名称搜索无USD份额
LU0261946288,FIDELITY INTERNATIONAL BD A ACC \$ USD,international,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0068578508,FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,international,NODATA,LU0068578508-USD.LU,USD,MUTUALFUND,Firs Eag FEAIF AU,,,,chart空; Yahoo名称搜索无USD份额
LU0072463663,BLACKROCK (LUX) SA LATIN AMERICAN A2 USD USD,America,NODATA,LU0072463663-USD.LU,USD,MUTUALFUND,Blac Glo LAF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0251131958,FIDELITY FDS AMERICA A ACC USD USD,America,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0048573561,FIDELITY FUNDS FID AMERICA A DIS USD USD,America,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
GB0002769866,THREADNEEDLE LATIN AMERICAN NAV ACC USD,America,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
LU2920409039,ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
LU1997245177,ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 231行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0319688015,AMUNDI BD GLOBAL AGG AUC 3D USD,global,NODATA,LU0319688015-USD.LU,USD,MUTUALFUND,Amun Fun GAB A USD,,,,chart空; Yahoo名称搜索无USD份额
LU0425308086,BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,global,NODATA,LU0425308086-USD.LU,USD,MUTUALFUND,Blac Glo GILBF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0278466700,BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,global,NODATA,LU0278466700-USD.LU,USD,MUTUALFUND,Blac Glo FIGOF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0072462426,BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,global,NODATA,LU0072462426-USD.LU,USD,MUTUALFUND,Blac Glo GAF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0006061385,BLACKROCK (LUX) SA GLOBAL GOVERNMENT BD A2 USD USD,global,NODATA,LU0006061385-USD.LU,USD,MUTUALFUND,Blac Glo GGBF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0011850046,BLACKROCK (LUX) SA Global Long-Horizon Equity Fund A USD USD,global,NODATA,LU0011850046-USD.LU,USD,MUTUALFUND,Blac Glo GLHEF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0784385840,BLACKROCK (LUX) SA GLOBAL MULTI-ASSET INCOME A2 USD ACC USD,global,NODATA,LU0784385840-USD.LU,USD,MUTUALFUND,Blac Glo BGMAIF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0124384867,BLACKROCK (LUX) SA GLOBAL SUSTAINABLE ENERGY A2 USD ACC USD,global,NODATA,LU0124384867-USD.LU,USD,MUTUALFUND,Blac Glo SEF A2,,,,chart空; Yahoo名称搜索无USD份额
LU0359201612,BLACKROCK GLOBAL FUNDS CHINA A2 USD USD,global,NODATA,LU0359201612-USD.LU,USD,MUTUALFUND,Blac Glo CF A2,,,,chart空; Yahoo名称搜索无USD份额
LU1861217088,BLACKROCK GLOBAL FUNDS FINTECH A2 ACC USD,global,NODATA,LU1861217088-USD.LU,USD,MUTUALFUND,Blac Glo BFF A2,,,,chart空; Yahoo名称搜索无USD份额
GG00BN6SRB82,CAM GLOBAL EQUITY FEEDER FUND R ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
GG00B89FYD29,CAM GLOBAL GREATS FUND CLASS R ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
GG00BMBVGT61,CAM GLOBAL GROWTH FUND CLASS R ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
GG00BLH0L409,CAM GLOBAL HIGH EQUITY FUND CLASS R ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
GG00B3FKLD54,CELERITY GLOBAL BALANCED FUND IC A ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
IE00BK723B01,EVELYN GLOBAL BALANCED PORTFOLIO RETAIL USD ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 50行 2025-10-28->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU2242646235,FF GLOBAL DIVIDEND PLUS FUND A ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0882574055,FF GLOBAL HEALTHCARE FUND A ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0772969993,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0731783048,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0605515963,FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND Y ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0267386521,Fidelity Global Multi Asset Growth & Income Fund A USD USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU1046421795,FIDELITY GLOBAL TECHNOLOGY A USD ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 257行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
GG00BH0WMZ32,FINCREST GLOBAL EQUITY FUND CLASS A USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
LU0170475585,FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 250行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0170475312,FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 250行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
IE00BYQ0F843,GAM STAR GLOBAL BALANCED U USD ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
LU0214494824,GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 248行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0234570751,GS GLOBAL CORE EQUITY BASE ACCUMULATION SNAP USD ACC SNAP USD,global,NODATA,LU0234570751-USD.LU,USD,MUTUALFUND,Gold Sac GSGCEP Ba,,,,chart空; Yahoo名称搜索无USD份额
LU0054450605,HSBC INV FD LUX SA GLOBAL EMG MKTS EQUITY A USD,global,NODATA,LU0054450605-USD.LU,USD,MUTUALFUND,HSBC Glo HGIFGEME,,,,chart空; Yahoo名称搜索无USD份额
GG00B4N6N924,IIF GLOBAL EQUITY B ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
GG00B4LD8Z60,IIF GLOBAL EQUITY FUND CLASS A USD USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
IE0009355771,JANUS HENDERSON GLOBAL LIFE SCIENCE A ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 249行 2026-08-14->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0957039414,JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 249行 2026-08-17->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0762807625,JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 247行 2026-08-17->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0997683551,JPMORGAN IF GLOBAL INCOME C DIS HDG USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 247行 2026-08-17->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
GG00B39TZF88,MOMENTUM GLOBAL GROWTH FUND CLASS A USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
LU0119620416,MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 251行 2026-08-17->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
LU0552385295,MORGAN STANLEY IF GLOBAL OPPTY FD USD CL A USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 251行 2026-08-17->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
GB00BMXZ8672,NINETY ONE GLOBAL ENVIRONMENTS A USD ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 250行 2026-08-17->2025-08-18 (非全历史-弃); Yahoo名称搜索无USD份额
GB00B0MDF670,NINETY ONE PIF GLOBAL MACRO ALLOCATION FUND A ACC USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
IE0034085260,PIMCO GIS GLOBAL INVEST GRADE CREDIT INST ACC USD USD,global,NODATA,IE0034085260-USD.LU,USD,MUTUALFUND,PIMC Fun GIGCF INS,,,,chart空; Yahoo名称搜索无USD份额
IE00B503VV16,POLAR CAPITAL FUND GLOBAL INSURANCE I USD DIS USD,global,NOSYMBOL,,,,,,,,Yahoo 无搜索结果; EODHD 无数据; Yahoo名称搜索无USD份额
