name,category,cand_isin,ft_name,score
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,,,
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,,,
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,IT0005630238:EUR,Mediobanca AllianceBernstein American Growth Portfolio IE,1.0
AMUNDI BD GLOBAL AGG AUC 3D USD,GLOBAL,LU1437021972:USD,Amundi Index Solutions - Amundi Core Global Aggregate Bond IU-C,1.175
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,AMERICAN,,,
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,GLOBAL,,,
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,LU0425308086:USD,BlackRock Global Funds - Global Inflation Linked Bond Fund A2 USD,1.55
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,LU0278466700:USD,BlackRock Global Funds - Fixed Income Global Opportunities Fund A2,2.0
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,GLOBAL,LU0737136415:USD,BlackRock Global Funds - Fixed Income Global Opportunities Fund D5,2.0
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,GLOBAL,,,
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,,,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,,,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,,,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,,,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,,,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,,,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,,,
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,,,
CELERITY GLOBAL BALANCED FUND IC A ACC USD,GLOBAL,,,
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,GLOBAL,,,
CT MGMT AMERICAN 3U USD ACC USD,AMERICAN,LU1864949380:USD,CT (Lux) - American Extended Alpha 3U (USD Accumulation),2.7
CTMGMT LUX AMERICAN AU USD ACC USD,AMERICAN,,,
DELL INTERNATIONAL LLC USD,INTERNATIONAL,,,
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,,,
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,,,
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,LU3037667402:EUR,LUX IM - Franklin Templeton Clearbridge Infrastructure DXL EUR Accumulated,0.75
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,,,
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,,,
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,LU3037667402:EUR,LUX IM - Franklin Templeton Clearbridge Infrastructure DXL EUR Accumulated,1.0
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,,,
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,,,
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,LU3037667402:EUR,LUX IM - Franklin Templeton Clearbridge Infrastructure DXL EUR Accumulated,0.75
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,,,
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,,,
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,,,
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,GLOBAL,,,
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,GLOBAL,,,
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,GLOBAL,,,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,GLOBAL,,,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,GLOBAL,,,
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,GLOBAL,LU0607513230:USD,Invesco Funds - Invesco Global Equity Income Fund A Accumulation USD,3.1
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,GLOBAL,LU1075211273:USD,Invesco Funds - Invesco Nippon Small/Mid Cap Equity Fund A (USD Hedged) Accumulation USD,2.7
iShares Macquarie Global Infra USD,GLOBAL,,,
JPM IF GLOBAL DIVIDEND C ACC USD,GLOBAL,,,
JPMF A JPMF AMERICA EQUITY A USD USD,AMERICAN,,,
JPMF AM GLOBAL EQUITY A DIST USD USD,GLOBAL,,,
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,GLOBAL,,,
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,GLOBAL,,,
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,GLOBAL,,,
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,GLOBAL,,,
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,GLOBAL,,,
JSS EMERGINGSAR GLOBAL A DIST USD,GLOBAL,,,
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,GLOBAL,,,
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,GLOBAL,,,
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,GLOBAL,,,
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,GLOBAL,,,
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,INTERNATIONAL,LU2495477510:USD,Montlake UCITS Platform-Velox Fund USD Institutional A,2.033
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,INTERNATIONAL,LU2495477510:USD,Montlake UCITS Platform-Velox Fund USD Institutional A,2.033
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,GLOBAL,,,
NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,GLOBAL,,,
NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,GLOBAL,,,
NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,GLOBAL,,,
PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,GLOBAL,LU2518694729:USD,Pictet-USD Short Mid-Term Bonds I dy USD,1.7
PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,GLOBAL,LU0175074193:USD,Pictet-USD Short Mid-Term Bonds P dy,1.575
PIMCOG GLOBAL ADVIS INCOME PU INC USD,GLOBAL,,,
PROSPER FDS SICAV GLOBAL MACRO I USD,GLOBAL,,,
RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,GLOBAL,,,
RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,GLOBAL,,,
SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,GLOBAL,,,
THREADNEEDLE LATIN AMERICAN NAV ACC USD,AMERICAN,GB0002977949:USD,ZIL Threadneedle Latin Am Grth,1.8
VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,GLOBAL,,,
VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,GLOBAL,,,
