name,category,cand_isin,ft_name,yahoo_sym,yahoo_name,yahoo_rows,yahoo_cur,ft_confirmed,ft_page_name
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,,,,,0,,False,
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,IT0005630238:EUR,Mediobanca AllianceBernstein American Growth Portfolio IE,0P0001UMDK.F,Mediobanca AllianceBnst Am Grth Port IE,389,EUR,True,Mediobanca AllianceBernstein American Growth Portfolio IE
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,IT0005630238:EUR,Mediobanca AllianceBernstein American Growth Portfolio IE,0P0001UMDK.F,Mediobanca AllianceBnst Am Grth Port IE,389,EUR,True,Mediobanca AllianceBernstein American Growth Portfolio IE
AMUNDI BD GLOBAL AGG AUC 3D USD,GLOBAL,LU1437021626:EUR,Amundi Index Solutions - Amundi Core Global Aggregate Bond IE-C,0P000195AZ.F,Amundi IS-Amundi Cr Glb Agg Bd IE-C,1132,EUR,True,Amundi Index Solutions - Amundi Core Global Aggregate Bond IE-C
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,AMERICAN,,,,,0,,False,
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,GLOBAL,,,,,0,,False,
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,LU0425308243:USD,BlackRock Global Funds - Global Inflation Linked Bond Fund A3 USD,0P0000KDA9,BlackRock Global Funds - Global Inflation Linked Bond Fund A3 USD,1114,USD,True,BlackRock Global Funds - Global Inflation Linked Bond Fund A3 USD
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,LU0278466700:USD,BlackRock Global Funds - Fixed Income Global Opportunities Fund A2,LU0278466700-USD.LU,Blac Glo FIGOF A2,0,USD,True,BlackRock Global Funds - Fixed Income Global Opportunities Fund A2
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,GLOBAL,GB0033157560:EUR,BlackRock Fixed Income Dublin Funds Euro Credit Enhanced Index Flexible Accumulating EUR,0P0000X3TW.F,BlackRock Euro Credit Enh Idx Flex Acc €,2189,EUR,True,BlackRock Fixed Income Dublin Funds Euro Credit Enhanced Index Flexible Accumulating EUR
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,GLOBAL,,,,,0,,False,
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,,,,,0,,False,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,,,,,0,,False,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,,,,,0,,False,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,,,,,0,,False,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,,,,,0,,False,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,,,,,0,,False,
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,,,,,0,,False,
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,,,,,0,,False,
CELERITY GLOBAL BALANCED FUND IC A ACC USD,GLOBAL,,,,,0,,False,
