name,category,reason,query,symbol,hit_name,hit_type,rows,first,last,currency,yahoo_name,status
A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,GLOBAL,no-data,A.I MACHINES,0P0001E1YR.F,0P0001E1YR.F,Fund,2189,1514876400,1786687200,EUR,A.I. Machines Glb Mgd Risk I2 EUR H Acc,recovered
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,no-data,,,,,0,,,,,no-data
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,no-data,,,,,0,,,,,no-data
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,no-data,,,,,0,,,,,no-data
AMUNDI BD GLOBAL AGG AUC 3D USD,GLOBAL,no-data,,,,,0,,,,,no-data
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,AMERICAN,no-data,,,,,0,,,,,no-data
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,GLOBAL,no-data,,,,,0,,,,,no-data
BANK OF AMERICA 5.015% 2022-22.07.33 USD,AMERICAN,no-data,BANK AMERICA,BOAC34.SA,BANK AMERICADRN,Equity,3940,1286283600,1786626000,BRL,Bank of America Corporation,recovered
BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,GLOBAL,no-data,BARCLAYS MULTI,0P0001BVAZ.L,0P0001BVAZ.L,Fund,3189,1388649600,1786690800,GBP,Barclays Multi-Asset Defensive R Acc GBP,recovered
BARING GLOBAL EMG MKTS A USD ACC NAV USD,GLOBAL,no-data,BARING GLOBAL,0P0000J1C4.F,0P0000J1C4.F,Fund,2189,1514876400,1786687200,EUR,Barings Global Agriculture A EUR,recovered
BARING INTL (IRE) GLOBAL EMG MARK USD,GLOBAL,no-data,BARING INTL,BYQ5.MU,Barings Intl-Barings Global BdR,ETF,1,1786687296,1786687296,EUR,Baring International Umbrella Fund - Baring International Bond Fund,recovered
BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,GLOBAL,no-data,,,,,0,,,,,no-data
BBVA BOLT GLOBAL RECOVERY NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,GLOBAL,no-data,,,,,0,,,,,no-data
BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,GLOBAL,no-data,,,,,0,,,,,no-data
BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
BBVA KYTE GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
BK OF AMERICA CORP COM USD0.01 USD,AMERICAN,no-data,,,,,0,,,,,no-data
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,no-data,,,,,0,,,,,no-data
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,GLOBAL,no-data,,,,,0,,,,,no-data
BLACKROCK (LUX) SA GLOBAL GOVERNMENT BD A2 USD USD,GLOBAL,no-data,BLACKROCK GLOBAL,0P0000XKPC,BlackRock Global Funds - Europe,Fund,1114,1646663400,1786627800,USD,BGF European D2 USD Hedged,recovered
BLACKROCK (LUX) SA GLOBAL JAPAN FLXB EQUITY HGD A2 USD,GLOBAL,no-data,BLACKROCK GLOBAL,BDMAX,BlackRock Global Long/Short Equ,Fund,3429,1356359400,1786627800,USD,BlackRock Global Equity Market Neutral Fund,recovered
BLACKROCK (LUX) SA GLOBAL SUSTAINABLE ENERGY A2 USD ACC USD,GLOBAL,no-data,BLACKROCK GLOBAL,H2Z6.F,BGF - World Energy Fund       A,ETF,1,1786600959,1786600959,EUR,BlackRock Global Funds - World Energy Fund,recovered
BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,GLOBAL,no-data,BLACKROCK GLOBAL,0P0000XKPC,BlackRock Global Funds - Europe,Fund,1114,1646663400,1786627800,USD,BGF European D2 USD Hedged,recovered
BROWN ADVISORY FDS GLOBAL LEADERS B USD USD,GLOBAL,no-data,BROWN ADVISORY,0P0001D60L.L,0P0001D60L.L,Fund,2093,1525330800,1786690800,GBP,Brown Advisory Global Leaders B GBP Inc,recovered
BROWN ADVISORY FDS GLOBAL LEADERS C USD USD,GLOBAL,no-data,BROWN ADVISORY,0P0001JBVZ.L,0P0001JBVZ.L,Fund,1630,1583136000,1786690800,GBP,Brown Advisory Global Leaders Fund,recovered
CAM GLOBAL GREATS FUND CLASS R ACC USD,GLOBAL,no-data,CAM GLOBAL,GEW,Cambria Global EW ETF,ETF,223,1758720600,1786627800,USD,Cambria Global EW ETF,recovered
CAM GLOBAL GROWTH FUND CLASS R ACC USD,GLOBAL,no-data,CAM GLOBAL,GEW,Cambria Global EW ETF,ETF,223,1758720600,1786627800,USD,Cambria Global EW ETF,recovered
CAM GLOBAL HIGH EQUITY FUND CLASS R ACC USD,GLOBAL,no-data,CAM GLOBAL,GEW,Cambria Global EW ETF,ETF,223,1758720600,1786627800,USD,Cambria Global EW ETF,recovered
CANACCORD GEN INV SELECT GLOBAL DIVERSITY R USD ACC USD,GLOBAL,no-data,CANACCORD GEN,0P0001FEBI,Canaccord Genuity Cautious Fund,Fund,1914,1546439400,1786627800,USD,Canaccord Genuity Cautious A USD Acc,recovered
CANACCORD GENUITY CGWM SELECT GLOBAL OPP ACC USD USD,GLOBAL,no-data,CANACCORD GENUITY,0P0001FEBQ,Canaccord Genuity Opportunity F,Fund,1914,1546439400,1786627800,USD,Canaccord Genuity Opp X USD Acc,recovered
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD,INTERNATIONAL,no-data,CAPITAL INTERNATIONAL,Y560.MU,CIF CG New Perspective Fd (L) R,ETF,1,1786687296,1786687296,EUR,Capital International Fund - Capital Group New Perspective Fund (Lux),recovered
CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,AMERICAN,no-data,CAPITAL INTL,0P0001H35G,Polen Capital Investment Funds ,Fund,1914,1546439400,1786627800,USD,Polen Capital Intl Gr USD Instl,recovered
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BBVA GLOBAL QUAD PHOENIX NOTE 2 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY NATIXIS GLOBAL MARKETS INCOME AUTOCALL NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
