name,category,source,symbol,isin,ref_name,yahoo_name,overlap,currency_ok,yahoo_currency,yahoo_type,verdict,recommendation
ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,GLOBAL,Yahoo按名称,0P0001OZ17,LU1997245177,ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,Allianz Emerging Mkts Sov Bd AT USD,0.2,True,USD,MUTUALFUND,疑似误配,剔除
ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001YIQ8,LU3248622857,Artemis Funds (Lux) - SmartGARP Global Emerging Markets Ex China Equity I USD ACC,ArtemisFdsLuxSmartGARPGEMExChinaEqI$Acc,0.0,True,USD,MUTUALFUND,疑似误配,剔除
AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000SR16,LU0266012318,AXA World Funds - Global Real Estate A Capitalisation USD,AXAWF Global Rl Est A Cap USD,0.2,True,USD,MUTUALFUND,疑似误配,剔除
CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,GLOBAL,Yahoo按名称,0P0001CBI5,,CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,UBS Lux Dgtl Hlth Eq Fd I B acc,0.0,True,USD,MUTUALFUND,疑似误配,剔除
FIDELITY GLOBAL INCOME Y MINCOME INC USD,GLOBAL,FT-ISIN->Yahoo,0P0001AMU4,LU1622746433,Fidelity Funds - Global Multi Asset Income Fund Y-MINCOME(G)-USD,Fidelity Glb Mlt Ast Inc Y-MInc(G)-$,0.17,True,USD,MUTUALFUND,疑似误配,剔除
GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,GLOBAL,Yahoo按名称,0P0000Y642,,GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,GS Glb Sctsd Inc Bd P USD MDist,0.0,True,USD,MUTUALFUND,疑似误配,剔除
GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,GLOBAL,Yahoo按名称,0P0000Y642,,GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,GS Glb Sctsd Inc Bd P USD MDist,0.0,True,USD,MUTUALFUND,疑似误配,剔除
HSBC INV FD LUX SA GLOBAL EQUITY CLIMATE SOLUTIONS A INC USD,GLOBAL,Yahoo按名称,0P0001BFG3,,HSBC INV FD LUX SA GLOBAL EQUITY CLIMATE SOLUTIONS A INC USD,HIFT - HSBC Asian Bond IC USD,0.2,True,USD,MUTUALFUND,疑似误配,剔除
JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,AMERICAN,Yahoo按名称,00989A.TW,,JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,JPMorgan (Taiwan) U.S. Tech Leaders Active ETF,0.2,False,TWD,ETF,疑似误配,剔除
JPMORGAN ASSET MGM GLOBAL HEALTHCARE A ACC USD USD,GLOBAL,Yahoo按名称,00401A.TW,,JPMORGAN ASSET MGM GLOBAL HEALTHCARE A ACC USD USD,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,0.2,False,TWD,ETF,疑似误配,剔除
