name,category,status,n_hits,best_symbol,best_name,best_type,best_exch,best_score
A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,GLOBAL,none,0,,,,,
AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,GLOBAL,match,1,0P0000MPP7.SI,0P0000MPP7.SI,Fund,,0.8
AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,INTERNATIONAL,match,7,0P0001DI3M,AB - International Health Care ,Fund,,0.8
AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,INTERNATIONAL,match,5,0P00000I4D,AB - International Technology P,Fund,,1.0
AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,GLOBAL,match,7,0P00000I3H,AB - Global Real Estate Securit,Fund,,0.71
AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,INTERNATIONAL,match,7,0P00001RTN,AB - International Health Care ,Fund,,0.83
AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,INTERNATIONAL,match,5,0P00000I4D,AB - International Technology P,Fund,,0.8
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,none,0,,,,,
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,GLOBAL,match,2,AGD,"""abrdn Global Dynamic Dividend ",Equity,,0.67
ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,GLOBAL,match,7,0P00000R9X.L,0P00000R9X.L,Fund,,0.62
ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,AMERICAN,candidate,4,0P00000R3B.L,0P00000R3B.L,Fund,,0.57
ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,GLOBAL,match,6,0P0000G76Y,abrdn SICAV I - Global Innovati,Fund,,0.83
AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,GLOBAL,match,7,0P00009VKL.F,0P00009VKL.F,Fund,,0.6
AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,GLOBAL,match,7,0P00009VKL.F,0P00009VKL.F,Fund,,0.8
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,none,0,,,,,
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,none,0,,,,,
ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,GLOBAL,match,6,0P0001KN5E.F,0P0001KN5E.F,Fund,,0.83
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,GLOBAL,match,7,ZZRF.F,AGIF-All.Gl.Artif.IntelligenceI,ETF,,0.8
ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,GLOBAL,candidate,7,0P000148G1.BE,0P000148G1.BE,Fund,,0.5
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,GLOBAL,none,0,,,,,
ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,GLOBAL,match,7,0P000148G1.BE,0P000148G1.BE,Fund,,0.6
ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,GLOBAL,candidate,7,0P0001OZ17,Allianz Global Investors Fund -,Fund,,0.43
ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,GLOBAL,candidate,7,0P0001QX4J.F,0P0001QX4J.F,Fund,,0.5
ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,GLOBAL,candidate,7,0P0001OZ17,Allianz Global Investors Fund -,Fund,,0.5
ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,GLOBAL,candidate,7,0P0001FF96,Allianz Global Investors Fund -,Fund,,0.43
ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,GLOBAL,candidate,7,0P0001OZ17,Allianz Global Investors Fund -,Fund,,0.4
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,GLOBAL,match,4,0P0001J16I,Allianz Global Investors Income,Fund,,0.6
ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,GLOBAL,candidate,7,0P0001QX4J.F,0P0001QX4J.F,Fund,,0.43
