ETF,Fund,N,Same,Lead1,DirAgree
AGG,AFBIX,2483,-0.4767,-0.0152,0.4722
AGG,AFBSX,2483,-0.2904,-0.0009,0.4726
AGG,BIPIX,2509,0.1473,0.0197,0.5092
AGG,BIPSX,2509,0.1423,0.0193,0.5108
AGG,BITIX,1028,-0.0791,0.0066,0.5054
AGG,BKPIX,2509,-0.0116,-0.0093,0.5076
AGG,BKPSX,2509,-0.0114,-0.0089,0.5068
AGG,BLPIX,2509,0.1321,0.0243,0.5108
AGG,BLPSX,2509,0.1316,0.0254,0.5084
AGG,BMPIX,2509,0.1116,0.0322,0.5096
AGG,BMPSX,2509,0.1114,0.0328,0.51
AGG,BRPIX,2509,-0.1314,-0.0254,0.4486
AGG,BRPSX,2509,-0.1308,-0.0249,0.451
AGG,BTCFX,1254,0.0917,0.0069,0.4828
AGG,CNPIX,2509,0.1698,0.0476,0.5124
AGG,CNPSX,2509,0.1702,0.0487,0.5136
AGG,CYPIX,2509,0.186,0.023,0.5036
AGG,CYPSX,2509,0.1859,0.0233,0.5032
AGG,ENPIX,2509,-0.0112,-0.0119,0.4805
AGG,ENPSX,2509,-0.0106,-0.0117,0.4805
AGG,ETHFX,356,0.1533,-0.0714,0.4648
AGG,FDPIX,2509,0.3289,0.0842,0.4589
AGG,FDPSX,2509,0.338,0.0913,0.4561
AGG,FNPIX,2509,0.0663,0.0146,0.5088
AGG,FNPSX,2509,0.0662,0.015,0.5084
AGG,FYAIX,2483,0.4765,0.0258,0.4617
AGG,FYASX,2483,0.4832,0.0251,0.4597
AGG,GVPIX,2477,0.798,0.0554,0.4725
AGG,GVPSX,2477,0.798,0.0552,0.4729
AGG,HCPIX,2509,0.1221,0.0522,0.5255
AGG,HCPSX,2509,0.1222,0.0526,0.5243
AGG,IDPIX,2509,0.1178,0.0205,0.512
AGG,IDPSX,2509,0.1183,0.0206,0.5096
AGG,INPIX,2509,0.1578,0.0149,0.5084
AGG,INPSX,2509,0.1562,0.0158,0.508
AGG,LGPIX,2509,0.1452,0.0138,0.5084
AGG,LGPSX,2509,0.1453,0.0146,0.5076
AGG,LVPIX,2509,0.1047,0.0265,0.5044
AGG,LVPSX,2509,0.1051,0.0269,0.5048
AGG,MDPIX,2509,0.1479,0.0239,0.5064
AGG,MDPSX,2509,0.1476,0.0246,0.5072
AGG,MGPIX,2509,0.1632,0.0272,0.5152
AGG,MGPSX,2509,0.1608,0.0275,0.5148
AGG,MLPIX,2509,0.1279,0.0201,0.5068
AGG,MLPSX,2509,0.1279,0.0208,0.506
AGG,MPIXX,2509,,,0.0
AGG,MPSXX,2509,,,0.0
AGG,OEPIX,2509,-0.0113,-0.0278,0.4789
AGG,OEPSX,2509,-0.011,-0.0276,0.4765
AGG,OTPIX,2509,0.1474,0.0108,0.5088
AGG,OTPSX,2509,0.1479,0.0109,0.5064
AGG,PHPIX,2509,0.1228,0.0452,0.5024
AGG,PHPSX,2509,0.1231,0.0459,0.5028
AGG,PMPIX,2509,0.2931,0.0844,0.4801
AGG,PMPSX,2509,0.2931,0.0847,0.4797
AGG,RDPIX,2509,-0.3189,-0.1059,0.4633
AGG,RDPSX,2509,-0.3232,-0.1039,0.4637
AGG,REPIX,2509,0.2902,0.0443,0.5148
AGG,REPSX,2509,0.2896,0.0445,0.5148
AGG,RRPIX,2477,-0.792,-0.0602,0.5008
AGG,RRPSX,2477,-0.7972,-0.056,0.5004
AGG,RTPIX,2477,-0.8025,-0.0551,0.4673
AGG,RTPSX,2477,-0.8411,-0.051,0.4677
AGG,SGPIX,2509,0.1498,0.0249,0.5024
AGG,SGPSX,2509,0.1499,0.0257,0.5036
AGG,SHPIX,2509,-0.1434,-0.0242,0.4721
AGG,SHPSX,2509,-0.1428,-0.025,0.4713
AGG,SLPIX,2509,0.156,0.0159,0.5012
AGG,SLPSX,2509,0.1564,0.0158,0.5016
AGG,SMPIX,2509,0.1014,0.0086,0.502
AGG,SMPSX,2509,0.1019,0.0085,0.5008
AGG,SNPIX,2509,0.0105,0.009,0.4964
AGG,SNPSX,2509,0.011,0.0097,0.4944
AGG,SOPIX,2509,-0.143,-0.018,0.4541
AGG,SOPSX,2509,-0.1435,-0.0173,0.4526
AGG,SPPIX,2509,-0.2872,-0.0908,0.4956
AGG,SPPSX,2509,-0.2891,-0.0896,0.4972
AGG,SRPIX,2509,-0.2885,-0.0481,0.4438
AGG,SRPSX,2509,-0.2884,-0.0487,0.4414
AGG,SVPIX,2509,0.1249,0.0126,0.5012
AGG,SVPSX,2509,0.1244,0.0128,0.502
AGG,TEPIX,2509,0.1329,0.0054,0.5136
AGG,TEPSX,2509,0.1324,0.0062,0.514
AGG,UAPIX,2509,0.154,0.0188,0.5028
AGG,UAPSX,2509,0.1543,0.019,0.5032
AGG,UBPIX,2509,0.1329,-0.0111,0.4769
AGG,UBPSX,2509,0.1334,-0.0112,0.4769
AGG,UCPIX,2509,-0.1566,-0.0172,0.4765
AGG,UCPSX,2509,-0.1567,-0.017,0.4757
AGG,UDPIX,2509,0.1147,0.0259,0.51
AGG,UDPSX,2509,0.1153,0.0262,0.5096
AGG,UEPIX,2509,0.1273,0.0497,0.4888
AGG,UEPSX,2509,0.1305,0.0485,0.4872
AGG,UFPIX,2509,-0.1359,0.0087,0.4976
AGG,UFPSX,2509,-0.1359,0.0095,0.4976
AGG,UGPIX,2509,0.0853,0.0365,0.5044
AGG,UGPSX,2509,0.0853,0.037,0.5024
AGG,UHPIX,2509,-0.085,-0.0385,0.4681
AGG,UHPSX,2509,-0.0856,-0.0385,0.4669
AGG,UIPIX,2509,-0.1488,-0.0241,0.4705
AGG,UIPSX,2509,-0.1482,-0.0236,0.4689
AGG,UJPIX,2509,0.0141,0.0195,0.5124
AGG,UJPSX,2509,0.0151,0.0189,0.5116
AGG,UKPIX,2509,-0.0099,-0.0209,0.4597
AGG,UKPSX,2509,-0.0107,-0.0187,0.4605
AGG,ULPIX,2509,0.1369,0.0237,0.5128
AGG,ULPSX,2509,0.1377,0.024,0.5132
AGG,UMPIX,2509,0.1501,0.0229,0.5068
AGG,UMPSX,2509,0.1505,0.0233,0.5072
AGG,UNPIX,2509,0.198,0.0449,0.5
AGG,UNPSX,2509,0.1981,0.0448,0.4992
AGG,UOPIX,2509,0.1483,0.0137,0.5167
AGG,UOPSX,2509,0.1488,0.0139,0.5167
AGG,URPIX,2509,-0.1349,-0.021,0.4585
AGG,URPSX,2509,-0.1339,-0.0198,0.4601
AGG,USPIX,2509,-0.1464,-0.0133,0.4605
AGG,USPSX,2509,-0.1468,-0.0128,0.4617
AGG,UTPIX,2509,0.2235,0.0569,0.5032
AGG,UTPSX,2509,0.2239,0.0579,0.5052
AGG,UUPIX,2509,0.121,0.0448,0.5064
AGG,UUPSX,2509,0.121,0.0453,0.506
AGG,UVPIX,2509,-0.1197,-0.0479,0.4757
AGG,UVPSX,2509,-0.1199,-0.0472,0.4741
AGG,UWPIX,2509,-0.1133,-0.0273,0.4625
AGG,UWPSX,2509,-0.1134,-0.0267,0.4629
AGG,UXPIX,2509,-0.1976,-0.0471,0.4701
AGG,UXPSX,2509,-0.1978,-0.0458,0.4709
AGG,WCPIX,2509,0.1545,0.0021,0.5028
AGG,WCPSX,2509,0.1547,0.0021,0.5012
BIL,AFBIX,2483,-0.004,0.0042,0.3284
BIL,AFBSX,2483,-0.0056,-0.004,0.3235
BIL,BIPIX,2509,-0.0305,0.0168,0.3565
BIL,BIPSX,2509,-0.0312,0.0162,0.3549
BIL,BITIX,1028,-0.0133,0.0247,0.4197
BIL,BKPIX,2509,0.0162,-0.0,0.3445
BIL,BKPSX,2509,0.0166,0.0002,0.3445
BIL,BLPIX,2509,-0.0009,0.0122,0.3541
BIL,BLPSX,2509,-0.0007,0.0136,0.3509
BIL,BMPIX,2509,-0.0009,0.0029,0.3469
BIL,BMPSX,2509,-0.0005,0.0028,0.3453
BIL,BRPIX,2509,-0.0052,-0.0008,0.3278
BIL,BRPSX,2509,-0.0044,-0.0016,0.3281
BIL,BTCFX,1254,0.107,-0.0302,0.3496
BIL,CNPIX,2509,0.0046,-0.0038,0.3501
BIL,CNPSX,2509,0.0055,-0.0037,0.3497
BIL,CYPIX,2509,0.0019,0.0099,0.3656
BIL,CYPSX,2509,0.0022,0.0096,0.3644
BIL,ENPIX,2509,0.0082,-0.0062,0.3577
BIL,ENPSX,2509,0.0089,-0.006,0.3581
BIL,ETHFX,356,0.1231,-0.0865,0.3718
BIL,FDPIX,2509,-0.0045,-0.0127,0.3154
BIL,FDPSX,2509,-0.0026,-0.012,0.315
BIL,FNPIX,2509,0.0095,0.0094,0.3585
BIL,FNPSX,2509,0.0103,0.0091,0.3573
BIL,FYAIX,2483,0.0726,-0.0058,0.34
BIL,FYASX,2483,0.0559,-0.0069,0.338
BIL,GVPIX,2477,0.0065,0.0066,0.3481
BIL,GVPSX,2477,0.0063,0.0064,0.3473
BIL,HCPIX,2509,-0.0143,0.0169,0.3608
BIL,HCPSX,2509,-0.014,0.0175,0.3604
BIL,IDPIX,2509,0.013,0.0072,0.3501
BIL,IDPSX,2509,0.013,0.008,0.3497
BIL,INPIX,2509,-0.0102,0.0028,0.3549
BIL,INPSX,2509,-0.0099,0.0034,0.3549
BIL,LGPIX,2509,-0.004,0.0108,0.3608
BIL,LGPSX,2509,-0.0047,0.0131,0.3589
BIL,LVPIX,2509,0.0047,0.0146,0.3589
BIL,LVPSX,2509,0.0051,0.0165,0.3593
BIL,MDPIX,2509,0.0048,0.0069,0.3445
BIL,MDPSX,2509,0.005,0.0082,0.3445
BIL,MGPIX,2509,0.0005,0.0135,0.3513
BIL,MGPSX,2509,0.0003,0.0173,0.3509
BIL,MLPIX,2509,0.0081,0.0039,0.3469
BIL,MLPSX,2509,0.0084,0.0047,0.3453
BIL,MPIXX,2509,,,0.0
BIL,MPSXX,2509,,,0.0
BIL,OEPIX,2509,-0.0052,-0.0033,0.3449
BIL,OEPSX,2509,-0.005,-0.0033,0.3445
BIL,OTPIX,2509,-0.0002,0.0056,0.3628
BIL,OTPSX,2509,0.0,0.0066,0.3604
BIL,PHPIX,2509,-0.0188,0.0224,0.3541
BIL,PHPSX,2509,-0.0189,0.0226,0.3549
BIL,PMPIX,2509,-0.012,0.0038,0.3497
BIL,PMPSX,2509,-0.0118,0.0037,0.3493
BIL,RDPIX,2509,-0.0109,0.0279,0.3473
BIL,RDPSX,2509,-0.009,0.0283,0.3433
BIL,REPIX,2509,0.0306,-0.0202,0.3493
BIL,REPSX,2509,0.0285,-0.0201,0.3485
BIL,RRPIX,2477,-0.0096,-0.0061,0.3461
BIL,RRPSX,2477,-0.007,-0.0061,0.3445
BIL,RTPIX,2477,-0.0138,-0.0061,0.3235
BIL,RTPSX,2477,-0.0074,-0.0073,0.3223
BIL,SGPIX,2509,0.0062,0.0105,0.3541
BIL,SGPSX,2509,0.0061,0.0119,0.3529
BIL,SHPIX,2509,0.0108,-0.0011,0.3349
BIL,SHPSX,2509,0.0122,-0.0006,0.3337
BIL,SLPIX,2509,0.0095,-0.001,0.3573
BIL,SLPSX,2509,0.0097,-0.0012,0.3569
BIL,SMPIX,2509,0.0089,0.0118,0.36
BIL,SMPSX,2509,0.0073,0.0176,0.3561
BIL,SNPIX,2509,-0.0106,0.0062,0.3365
BIL,SNPSX,2509,-0.0108,0.0065,0.3353
BIL,SOPIX,2509,-0.0044,-0.002,0.3246
BIL,SOPSX,2509,-0.0031,-0.0027,0.3226
BIL,SPPIX,2509,0.0071,-0.0037,0.3401
BIL,SPPSX,2509,0.0064,-0.0031,0.3409
BIL,SRPIX,2509,-0.0316,0.0217,0.3325
BIL,SRPSX,2509,-0.0306,0.0215,0.3285
BIL,SVPIX,2509,0.0074,0.0003,0.3465
