ticker,fund_group,condition,n,up_n,down_n,p_up,p_down,avg_up,avg_down,expected,decision,predicted_return
UVPIX,ultra_long,SPY_bin_lt-2,214,77,133,0.3598130841121495,0.6214953271028038,4.40433795533584,-4.60853163599388,-1.2794424533940483,predict_down,-4.60853163599388
UVPSX,inverse,SPY_bin_lt-2,214,77,134,0.3598130841121495,0.6261682242990654,4.435035068228946,-4.588502184145813,-1.2773906187939728,predict_down,-4.588502184145813
UUPIX,ultra_long,SPY_bin_lt-2,214,134,79,0.6261682242990654,0.3691588785046729,4.569120024789719,-4.331758935860586,1.2619305018169908,predict_up,4.569120024789719
UUPSX,inverse,SPY_bin_lt-2,214,133,80,0.6214953271028038,0.37383177570093457,4.592504605838634,-4.273712711822061,1.2565705403307175,predict_up,4.592504605838634
UHPSX,inverse,SPY_bin_lt-2,200,82,118,0.41,0.59,4.593033837905352,-5.245081371121891,-1.2114541354207207,predict_down,-5.245081371121891
UHPIX,ultra_long,SPY_bin_lt-2,200,82,118,0.41,0.59,4.598731108030873,-5.2476229513739,-1.2106177870179442,predict_down,-5.2476229513739
SMPIX,long,XLV_bin_lt-2,213,118,88,0.5539906103286385,0.4131455399061033,4.851545670141814,-3.6288176716826723,1.1884809106509817,predict_up,4.851545670141814
SMPSX,inverse,XLV_bin_lt-2,213,119,91,0.5586854460093896,0.4272300469483568,4.821313198265607,-3.5392084271959954,1.1815413320130126,predict_up,4.821313198265607
UGPSX,inverse,SPY_bin_lt-2,200,118,82,0.59,0.41,5.178916220788196,-4.591414536422586,1.1730806103317755,predict_up,5.178916220788196
UGPIX,ultra_long,SPY_bin_lt-2,200,117,82,0.585,0.41,5.223832783222808,-4.594473544729832,1.1722080248461118,predict_up,5.223832783222808
USPSX,inverse,XLV_bin_lt-2,233,103,127,0.44206008583690987,0.5450643776824035,3.812678756932622,-5.145088109069663,-1.1189711497329915,no_trade,
USPIX,ultra_long,XLV_bin_lt-2,233,103,127,0.44206008583690987,0.5450643776824035,3.8194118483554447,-5.142451464465165,-1.1145575777101508,no_trade,
UOPIX,ultra_long,XLV_bin_lt-2,233,127,103,0.5450643776824035,0.44206008583690987,5.093353801440148,-3.803627998344016,1.0947736006586477,no_trade,
UOPSX,inverse,XLV_bin_lt-2,233,127,101,0.5450643776824035,0.4334763948497854,5.087418026332468,-3.8789917656139927,1.091518974322791,no_trade,
UCPIX,ultra_long,XLU_bin_lt-2,200,86,112,0.43,0.56,3.4072642497766656,-4.503986081723391,-1.0571085783611327,predict_down,-4.503986081723391
UCPSX,inverse,XLU_bin_lt-2,200,87,112,0.435,0.56,3.3691331298528917,-4.5030893191472465,-1.0561571072364497,predict_down,-4.5030893191472465
USPSX,inverse,SPY_bin_lt-2,317,135,177,0.42586750788643535,0.5583596214511041,3.7622908456581943,-4.70931136407562,-1.027251884156241,predict_down,-4.70931136407562
USPIX,ultra_long,SPY_bin_lt-2,317,135,178,0.42586750788643535,0.5615141955835962,3.7592313767505354,-4.675899232577387,-1.0246492982254023,predict_down,-4.675899232577387
UFPSX,inverse,SPY_bin_lt-2,214,85,120,0.397196261682243,0.5607476635514018,5.111447308177338,-5.443578902998656,-1.0222263886203964,predict_down,-5.443578902998656
SMPSX,inverse,SPY_bin_gt2,215,83,121,0.386046511627907,0.5627906976744186,3.4136741241716138,-4.14849369446107,-1.01689667313277,predict_down,-4.14849369446107
UFPIX,ultra_long,SPY_bin_lt-2,214,83,120,0.3878504672897196,0.5607476635514018,5.232395744069035,-5.428108406859498,-1.014411972268271,predict_down,-5.428108406859498
SMPIX,long,SPY_bin_gt2,215,82,120,0.3813953488372093,0.5581395348837209,3.376076439523294,-4.121036068981852,-1.0124933034274983,predict_down,-4.121036068981852
UOPIX,ultra_long,SPY_bin_lt-2,319,177,135,0.554858934169279,0.4231974921630094,4.690966594702819,-3.8093577621971964,0.9907140732469508,predict_up,4.690966594702819
UAPSX,inverse,XLV_bin_gt2,202,88,113,0.43564356435643564,0.5594059405940595,2.5865025030085387,-3.7840410104432136,-0.9900218510659982,predict_down,-3.7840410104432136
