ticker,fund_group,condition,n,up_n,down_n,p_up,p_down,avg_up,avg_down,expected,decision,predicted_return
BITIX,long,majority_down,347,150,194,0.4322766570605187,0.5590778097982709,2.2833870109444416,-2.5898244874382876,-0.46085849833245407,predict_down,-2.5898244874382876
BITIX,long,SPY_down_QQQ_down,403,181,218,0.4491315136476427,0.5409429280397022,2.2257724276526747,-2.6637332805962597,-0.4412631408557084,no_trade,
UCPSX,inverse,majority_down,1550,686,832,0.4425806451612903,0.5367741935483871,2.475317581808461,-2.60605133052691,-0.3033334489534097,no_trade,
UKPIX,ultra_long,SPY_down_QQQ_down,1912,817,1064,0.4273012552301255,0.5564853556485355,2.4467161195206972,-2.417398337329882,-0.2997619044302223,predict_down,-2.417398337329882
UCPIX,ultra_long,majority_down,1550,690,835,0.44516129032258067,0.5387096774193548,2.466377390367966,-2.5936344686554094,-0.2992802464344326,no_trade,
UKPSX,inverse,SPY_down_QQQ_down,1912,815,1062,0.426255230125523,0.555439330543933,2.4504195739438135,-2.416813330864816,-0.29788901914969973,predict_down,-2.416813330864816
USPSX,inverse,majority_down,1550,685,843,0.44193548387096776,0.5438709677419354,2.2402866753754402,-2.3526434595184686,-0.28947229918831796,no_trade,
UJPIX,ultra_long,SPY_down_QQQ_down,2511,1401,1080,0.5579450418160096,0.43010752688172044,2.4210181788875564,-2.4737548156585514,0.2868145231820913,predict_up,2.4210181788875564
USPIX,ultra_long,majority_down,1550,688,838,0.44387096774193546,0.5406451612903226,2.231426116846771,-2.3606961185032302,-0.28583366381621145,no_trade,
UJPSX,inverse,SPY_down_QQQ_down,2511,1402,1076,0.5583432895260853,0.42851453604141776,2.4157534766179176,-2.488231844818885,0.28257622827287954,predict_up,2.4157534766179176
BTCFX,long,majority_down,434,231,199,0.532258064516129,0.45852534562211983,2.734358223025809,-2.5579006119156826,0.2825219533358088,no_trade,
UVPSX,inverse,SPY_down_QQQ_down,1912,840,1022,0.4393305439330544,0.5345188284518828,2.6912228170011465,-2.731764642063615,-0.27784325204395965,no_trade,
UVPIX,ultra_long,SPY_down_QQQ_down,1912,839,1029,0.4388075313807531,0.5381799163179917,2.6919851055807467,-2.709933979931679,-0.2771687038532692,no_trade,
UAPIX,ultra_long,majority_down,1550,835,713,0.5387096774193548,0.46,2.5565810559592035,-2.3939954353331188,0.2760170556989811,no_trade,
UAPSX,inverse,majority_down,1550,834,713,0.5380645161290323,0.46,2.5561274648091756,-2.3983378445668375,0.2721260790159335,no_trade,
UCPSX,inverse,SPY_down_QQQ_down,2115,917,1151,0.4335697399527187,0.5442080378250591,2.4190791207018556,-2.413778236398169,-0.26475801248732417,no_trade,
UKPIX,ultra_long,majority_down,1521,668,824,0.43918474687705455,0.5417488494411571,2.4411279038405844,-2.467406538244113,-0.26460851265459495,no_trade,
UCPIX,ultra_long,SPY_down_QQQ_down,2115,919,1154,0.43451536643026006,0.5456264775413712,2.4187230948752365,-2.410754187430045,-0.2643989636425201,no_trade,
UKPSX,inverse,majority_down,1521,667,821,0.43852728468113084,0.539776462853386,2.4437097854470333,-2.4703350374197033,-0.261795291800398,no_trade,
UOPIX,ultra_long,majority_down,1550,833,690,0.5374193548387097,0.44516129032258067,2.3553661784565927,-2.2592623650494184,0.2600832224324147,no_trade,
UJPIX,ultra_long,majority_down,1550,843,685,0.5438709677419354,0.44193548387096776,2.4524436787656496,-2.437385111139827,0.2566459484313943,no_trade,
UJPSX,inverse,majority_down,1550,843,684,0.5438709677419354,0.44129032258064516,2.4471446589403874,-2.448709202165002,0.25033926013282903,no_trade,
UOPSX,inverse,majority_down,1550,825,688,0.532258064516129,0.44387096774193546,2.376313021677313,-2.2868117155250482,0.24976244038874199,no_trade,
UXPSX,inverse,majority_down,1521,678,813,0.4457593688362919,0.534516765285996,2.069150594210801,-2.177377580509403,-0.2415015582374897,no_trade,
USPSX,inverse,SPY_down_QQQ_down,2590,1128,1423,0.4355212355212355,0.5494208494208495,2.725374521013301,-2.599856801304581,-0.241457053495527,no_trade,
UUPIX,ultra_long,SPY_down_QQQ_down,1912,1034,859,0.5407949790794979,0.44926778242677823,2.670223401830321,-2.6777451273947475,0.2410187934416654,no_trade,
UXPIX,ultra_long,majority_down,1521,676,815,0.4444444444444444,0.5358316896778436,2.0767775639643724,-2.1721087426641468,-0.24087244709491404,no_trade,
UUPSX,inverse,SPY_down_QQQ_down,1912,1033,858,0.5402719665271967,0.448744769874477,2.6726123750736344,-2.6841739813106402,0.23942850809965235,no_trade,
USPIX,ultra_long,SPY_down_QQQ_down,2590,1129,1418,0.4359073359073359,0.5474903474903475,2.7245091692083374,-2.6033964208137177,-0.23770087748171392,no_trade,
UNPIX,ultra_long,majority_down,1521,808,684,0.5312294543063774,0.44970414201183434,2.182055234631015,-2.071779089311094,0.2274843737627034,no_trade,
UNPSX,inverse,majority_down,1521,808,684,0.5312294543063774,0.44970414201183434,2.176854377828814,-2.074144182329409,0.223657933315165,no_trade,
UXPIX,ultra_long,SPY_down_QQQ_down,1912,840,1031,0.4393305439330544,0.5392259414225942,2.0744226569903974,-2.102714405634739,-0.2224809206785993,no_trade,
UOPIX,ultra_long,SPY_down_QQQ_down,2590,1402,1129,0.5413127413127413,0.4359073359073359,2.6153832552848937,-2.7375220183946833,0.22243434947560783,no_trade,
