Date,AFBIX,AFBSX,BIPIX,BIPSX,BITIX,BKPIX,BKPSX,BLPIX,BLPSX,BMPIX,BMPSX,BRPIX,BRPSX,BTCFX,CNPIX,CNPSX,CYPIX,CYPSX,ENPIX,ENPSX,ETHFX,FDPIX,FDPSX,FNPIX,FNPSX,FYAIX,FYASX,GVPIX,GVPSX,HCPIX,HCPSX,IDPIX,IDPSX,INPIX,INPSX,LGPIX,LGPSX,LVPIX,LVPSX,MDPIX,MDPSX,MGPIX,MGPSX,MLPIX,MLPSX,MPIXX,MPSXX,OEPIX,OEPSX,OTPIX,OTPSX,PHPIX,PHPSX,PMPIX,PMPSX,RDPIX,RDPSX,REPIX,REPSX,RRPIX,RRPSX,RTPIX,RTPSX,SGPIX,SGPSX,SHPIX,SHPSX,SLPIX,SLPSX,SMPIX,SMPSX,SNPIX,SNPSX,SOPIX,SOPSX,SPPIX,SPPSX,SRPIX,SRPSX,SVPIX,SVPSX,TEPIX,TEPSX,UAPIX,UAPSX,UBPIX,UBPSX,UCPIX,UCPSX,UDPIX,UDPSX,UEPIX,UEPSX,UFPIX,UFPSX,UGPIX,UGPSX,UHPIX,UHPSX,UIPIX,UIPSX,UJPIX,UJPSX,UKPIX,UKPSX,ULPIX,ULPSX,UMPIX,UMPSX,UNPIX,UNPSX,UOPIX,UOPSX,URPIX,URPSX,USPIX,USPSX,UTPIX,UTPSX,UUPIX,UUPSX,UVPIX,UVPSX,UWPIX,UWPSX,UXPIX,UXPSX,WCPIX,WCPSX
08/04/2026,27.08,22.13,90.05,46.41,27.42,82.64,74.28,92.42,68.74,130.06,110.2,8.2,7.3,14.08,80.4,69.29,74.38,58.23,59.22,49.86,14.81,13.48,12.26,51.37,40.67,31.11,31.22,30.34,27.35,119.64,94.13,98.07,79.56,65.69,41.14,61.39,46.49,125.66,105.43,151.81,116.88,128.33,90.2,137.3,105.73,1.0,1.0,133.82,115.4,60.7,46.07,46.37,38.23,138.08,113.9,29.74,25.25,45.88,42.3,43.86,40.8,14.69,13.97,142.82,104.09,30.85,28.79,150.2,117.29,86.66,54.43,9.81,9.08,29.07,24.78,3.3,3.26,7.04,5.86,140.74,108.02,65.47,48.18,107.4,84.1,27.24,25.79,21.34,20.16,112.14,91.35,23.45,25.36,13.68,12.5,18.08,15.41,2.49,2.18,17.88,15.77,93.28,63.13,10.87,10.86,194.03,135.99,91.08,69.3,31.81,26.62,164.02,102.34,5.69,5.07,11.07,10.21,84.24,77.95,83.91,74.79,5.86,5.25,7.02,6.08,8.15,7.49,54.04,41.69
08/03/2026,27.16,22.2,86.05,44.35,27.59,81.34,73.12,90.8,67.54,126.47,107.15,8.35,7.43,13.99,79.73,68.71,74.32,58.18,59.61,50.19,14.76,13.47,12.25,50.71,40.14,31.01,31.13,30.05,27.09,119.91,94.35,95.51,77.48,63.95,40.05,59.99,45.43,124.27,104.27,149.15,114.83,125.63,88.3,135.4,104.28,1.0,1.0,127.95,110.35,58.74,44.59,44.87,36.99,133.6,110.22,29.76,25.27,45.91,42.33,44.28,41.19,14.76,14.05,140.24,102.21,31.42,29.33,147.48,115.17,80.49,50.55,9.77,9.04,30.06,25.63,3.38,3.33,7.04,5.86,138.64,106.41,61.0,44.89,103.58,81.11,27.73,26.25,22.15,20.93,108.45,88.34,23.14,25.03,13.45,12.29,18.05,15.38,2.49,2.18,18.54,16.36,87.59,59.28,11.62,11.61,187.34,131.3,87.94,66.92,31.07,26.0,153.8,95.96,5.9,5.26,11.86,10.94,85.03,78.68,82.06,73.15,6.0,5.37,7.27,6.3,8.35,7.68,53.51,41.29
07/31/2026,27.23,22.26,85.84,44.24,29.16,79.87,71.8,89.49,66.57,124.21,105.25,8.47,7.54,13.78,80.04,68.99,72.3,56.6,60.79,51.19,14.75,13.47,12.25,50.16,39.71,30.93,31.05,29.93,26.98,120.26,94.63,92.94,75.4,61.23,38.35,58.68,44.44,123.55,103.68,147.53,113.6,124.04,87.19,134.17,103.34,1.0,1.0,129.53,111.72,57.72,43.81,44.67,36.83,129.13,106.53,29.75,25.26,45.71,42.15,44.44,41.34,14.79,14.07,137.85,100.48,31.96,29.83,144.99,113.24,78.47,49.29,9.65,8.92,30.58,26.08,3.46,3.41,7.06,5.88,136.46,104.75,59.59,43.85,100.15,78.43,28.15,26.66,22.94,21.68,105.7,86.11,23.17,25.07,13.24,12.1,17.68,15.07,2.55,2.23,18.95,16.73,87.25,59.06,11.66,11.64,182.05,127.61,86.04,65.48,30.81,25.79,148.6,92.72,6.08,5.42,12.28,11.33,84.94,78.6,80.39,71.67,6.12,5.48,7.46,6.46,8.43,7.74,51.33,39.61
07/30/2026,27.23,22.26,89.86,46.32,28.32,79.64,71.6,88.87,66.11,128.95,109.27,8.53,7.59,14.21,80.64,69.51,68.9,53.94,59.88,50.42,15.2,13.47,12.25,50.25,39.79,30.93,31.05,30.19,27.21,121.29,95.44,91.86,74.53,58.99,36.95,57.85,43.81,123.76,103.85,147.76,113.78,124.13,87.26,134.49,103.59,1.0,1.0,123.61,106.62,57.38,43.56,46.5,38.34,135.52,111.8,29.75,25.26,46.12,42.53,44.07,41.0,14.74,14.02,138.19,100.73,31.79,29.68,145.73,113.82,77.72,48.82,9.74,9.02,30.76,26.23,3.35,3.31,7.02,5.85,136.37,104.68,59.79,44.01,101.17,79.23,28.12,26.63,22.71,21.46,104.61,85.23,23.35,25.26,13.26,12.11,17.1,14.57,2.64,2.31,18.89,16.69,88.45,59.87,11.5,11.49,179.55,125.86,86.31,65.68,31.24,26.15,146.84,91.62,6.16,5.49,12.43,11.46,85.86,79.45,79.08,70.51,6.23,5.57,7.54,6.53,8.31,7.64,50.2,38.74
07/29/2026,27.31,22.33,86.7,44.69,28.88,79.94,71.87,87.42,65.03,129.18,109.47,8.67,7.72,13.92,83.29,71.8,68.18,53.38,59.39,50.01,14.92,13.33,12.13,49.82,39.45,30.84,30.96,30.24,27.26,124.39,97.88,90.51,73.43,58.92,36.91,56.06,42.46,123.84,103.92,146.58,112.87,122.3,85.98,134.35,103.49,1.0,1.0,117.98,101.76,55.52,42.15,45.51,37.52,127.67,105.33,30.05,25.52,47.11,43.45,44.0,40.93,14.74,14.03,135.85,99.03,32.23,30.09,143.77,112.29,70.73,44.43,9.8,9.06,31.83,27.15,3.49,3.45,6.92,5.77,136.38,104.69,55.22,40.64,98.48,77.13,26.69,25.28,23.35,22.06,102.2,83.26,22.93,24.8,14.01,12.8,16.87,14.38,2.67,2.34,19.2,16.97,81.98,55.49,12.46,12.45,173.8,121.83,84.91,64.62,29.57,24.75,137.65,85.89,6.37,5.68,13.32,12.29,86.55,80.09,74.09,66.05,6.68,5.97,7.72,6.69,8.81,8.1,52.27,40.34
07/28/2026,27.25,22.28,88.31,45.52,28.73,81.04,72.86,88.77,66.04,131.44,111.39,8.54,7.6,13.99,82.87,71.44,69.02,54.04,57.76,48.63,15.19,13.28,12.07,51.03,40.4,30.91,31.04,30.85,27.81,125.55,98.8,95.16,77.21,59.08,37.01,57.24,43.35,124.95,104.86,149.1,114.82,125.1,87.94,135.88,104.66,1.0,1.0,120.33,103.79,56.69,43.04,45.65,37.64,128.75,106.22,30.19,25.64,47.19,43.52,43.14,40.13,14.67,13.96,138.21,100.75,31.72,29.61,146.13,114.14,76.08,47.79,9.98,9.24,31.18,26.6,3.47,3.43,6.91,5.76,137.79,105.77,57.51,42.33,101.79,79.72,27.16,25.72,22.61,21.36,106.9,87.1,23.0,24.88,13.77,12.58,16.44,14.01,2.75,2.41,18.57,16.42,85.39,57.8,11.98,11.97,179.29,125.68,87.9,66.9,29.87,25.01,143.57,89.59,6.19,5.51,12.79,11.8,88.34,81.76,75.82,67.6,6.53,5.84,7.4,6.41,8.72,8.01,52.38,40.42
07/27/2026,27.3,22.32,88.96,45.86,28.25,79.2,71.21,88.59,65.9,128.05,108.52,8.56,7.62,14.23,80.56,69.45,67.56,52.9,59.07,49.74,15.4,13.26,12.06,50.15,39.7,30.86,30.98,30.64,27.62,121.33,95.48,95.76,77.7,57.75,36.18,57.42,43.49,123.95,104.02,149.01,114.75,125.95,88.55,134.74,103.79,1.0,1.0,127.74,110.18,57.25,43.46,45.19,37.26,132.8,109.57,30.21,25.66,46.86,43.21,43.43,40.4,14.71,14.0,137.72,100.4,31.78,29.66,145.86,113.93,79.37,49.86,9.84,9.1,30.88,26.34,3.41,3.36,6.94,5.79,136.7,104.94,59.19,43.57,101.42,79.44,27.44,25.99,22.69,21.44,104.74,85.34,22.96,24.85,13.63,12.45,16.1,13.72,2.81,2.46,18.59,16.45,89.6,60.65,11.44,11.43,178.54,125.16,87.81,66.83,29.94,25.06,146.46,91.4,6.21,5.54,12.54,11.57,88.84,82.22,76.85,68.52,6.44,5.76,7.55,6.54,8.7,8.0,50.97,39.34
07/24/2026,27.32,22.34,89.02,45.89,28.58,79.41,71.4,88.58,65.91,127.47,108.04,8.56,7.62,14.07,78.81,67.95,66.28,51.9,60.98,51.35,14.72,13.27,12.07,49.41,39.13,30.85,30.97,30.42,27.42,120.43,94.78,95.34,77.37,56.17,35.19,57.64,43.66,123.4,103.57,148.56,114.41,125.47,88.22,134.46,103.58,1.0,1.0,132.96,114.7,57.44,43.61,44.61,36.79,131.74,108.71,30.19,25.65,47.14,43.48,43.74,40.69,14.76,14.04,136.81,99.74,31.96,29.84,144.98,113.25,83.34,52.36,9.63,8.91,30.76,26.24,3.42,3.38,6.91,5.77,136.44,104.75,60.03,44.19,100.23,78.52,27.34,25.89,22.96,21.7,103.75,84.55,22.96,24.84,13.68,12.5,15.41,13.14,2.93,2.57,18.69,16.56,90.54,61.3,11.32,11.32,178.56,125.18,87.3,66.46,29.64,24.81,147.47,92.03,6.21,5.53,12.44,11.48,90.66,83.91,75.9,67.68,6.52,5.83,7.62,6.6,8.79,8.08,50.02,38.6
07/23/2026,27.32,22.34,90.51,46.66,28.3,78.48,70.57,88.54,65.87,124.11,105.18,8.56,7.62,14.21,77.63,66.93,65.72,51.46,60.69,51.11,14.82,13.27,12.07,48.79,38.63,30.85,30.97,30.4,27.4,119.23,93.84,94.86,76.98,55.77,34.94,58.01,43.94,122.34,102.68,147.99,113.97,125.6,88.31,133.26,102.66,1.0,1.0,134.15,115.73,58.11,44.12,45.16,37.25,131.62,108.62,30.18,25.63,45.63,42.09,43.76,40.72,14.78,14.06,137.08,99.94,31.84,29.73,145.49,113.65,87.16,54.76,9.66,8.94,30.41,25.94,3.42,3.38,7.07,5.9,136.26,104.62,61.36,45.17,100.93,79.07,27.79,26.33,22.8,21.55,102.81,83.78,23.01,24.9,13.46,12.3,15.72,13.4,2.88,2.52,18.84,16.69,93.39,63.23,10.98,10.98,178.37,125.05,86.64,65.95,29.35,24.57,150.94,94.2,6.21,5.54,12.16,11.22,90.43,83.7,78.17,69.7,6.34,5.67,7.69,6.66,8.87,8.16,49.41,38.13
07/22/2026,27.22,22.26,90.35,46.58,27.81,79.44,71.43,89.63,66.68,125.92,106.73,8.46,7.53,14.46,79.22,68.3,70.62,55.3,60.36,50.84,15.23,13.31,12.11,49.04,38.84,30.96,31.08,30.49,27.49,116.95,92.05,92.4,74.98,58.02,36.35,59.02,44.7,123.11,103.33,148.54,114.4,125.57,88.29,134.31,103.47,1.0,1.0,137.92,118.98,59.23,44.97,44.76,36.91,135.49,111.81,30.09,25.55,45.73,42.18,43.63,40.59,14.73,14.02,137.52,100.26,31.63,29.53,146.47,114.42,88.33,55.5,9.69,8.97,29.86,25.47,3.36,3.31,7.06,5.89,137.65,105.68,62.29,45.86,102.29,80.14,28.39,26.89,22.48,21.25,104.88,85.47,23.19,25.09,13.18,12.05,15.88,13.53,2.85,2.5,18.69,16.57,96.32,65.21,10.66,10.65,182.85,128.19,87.27,66.44,30.18,25.26,156.87,97.91,6.06,5.41,11.72,10.81,89.75,83.08,79.7,71.07,6.22,5.56,7.55,6.54,8.64,7.94,52.12,40.23
