
Hit Ratio,0.455873,0.454768,0.522506,0.521398,0.500980,0.510517,0.509030,0.539991,0.539899,0.528191,0.527815,0.460403,0.455659,0.491200,0.535432,0.533705,0.539057,0.538711,0.523963,0.524571,0.470914,0.491043,0.487786,0.530635,0.530067,0.525862,0.521987,0.517922,0.516046,0.530031,0.528543,0.541434,0.541037,0.542312,0.540673,0.553305,0.549974,0.540564,0.537906,0.538217,0.537006,0.543092,0.542350,0.535308,0.533937,1.000000,1.000000,0.508393,0.507908,0.548749,0.547004,0.512565,0.511462,0.505633,0.505551,0.507779,0.503604,0.532562,0.532991,0.480112,0.480126,0.485922,0.481489,0.530227,0.528979,0.466562,0.465596,0.531605,0.530022,0.530811,0.530288,0.475583,0.475329,0.443703,0.443564,0.495146,0.494949,0.466587,0.465172,0.525999,0.524862,0.548068,0.547631,0.529384,0.528657,0.518870,0.517792,0.468444,0.467247,0.542015,0.541090,0.528405,0.524196,0.480503,0.480217,0.511796,0.510271,0.485922,0.485223,0.462521,0.461792,0.524547,0.524914,0.476029,0.476447,0.538939,0.542585,0.535427,0.534453,0.527767,0.526231,0.550339,0.549562,0.459447,0.457515,0.448609,0.451691,0.545143,0.544144,0.520024,0.519444,0.478453,0.477576,0.457710,0.454870,0.468700,0.468681,0.525241,0.524566
Up Count,2247,2232,3053,3119,511,3034,3016,3531,3437,3157,3150,2901,2754,614,2977,2969,2995,2992,3247,3213,170,2467,2456,3265,3235,2684,2659,2991,2991,3274,3222,3012,3006,3326,3310,3223,3197,3145,3129,3218,3207,3239,3240,3199,3186,67,68,2544,2537,3377,3369,3141,3079,2962,2960,2611,2585,3312,3320,2752,2742,2468,2445,3175,3167,2672,2666,3179,3169,3213,3204,2425,2418,2526,2519,2499,2499,2339,2324,3146,3135,3375,3363,3351,3339,2406,2401,2583,2575,3180,3167,3181,3293,2218,2209,2343,2335,2209,2200,2536,2526,3216,3213,2393,2387,3647,3249,3393,3374,2642,2628,3739,3698,3025,3053,2968,2791,3339,3359,2623,2618,2376,2364,2446,2424,2336,2342,3215,3203
Down Count,2682,2676,2790,2863,509,2909,2909,3008,2929,2820,2818,3400,3290,636,2583,2594,2561,2562,2950,2912,191,2557,2579,2888,2868,2420,2435,2784,2805,2903,2874,2551,2550,2807,2812,2602,2616,2673,2688,2761,2765,2725,2734,2777,2781,0,0,2460,2458,2777,2790,2987,2941,2896,2895,2531,2548,2907,2909,2980,2969,2611,2633,2813,2820,3055,3060,2801,2810,2840,2838,2674,2669,3167,3160,2548,2550,2674,2672,2835,2838,2783,2778,2979,2977,2231,2236,2931,2936,2687,2686,2839,2989,2398,2391,2235,2241,2337,2334,2947,2944,2915,2908,2634,2623,3120,2739,2944,2939,2364,2366,3055,3031,3559,3620,3648,3388,2786,2814,2421,2422,2590,2586,2898,2905,2648,2655,2906,2903
Average,-0.030111,-0.033843,0.082746,0.074311,0.688645,0.054952,0.049908,0.031218,0.027070,0.056494,0.053086,-0.028857,-0.035407,0.073300,0.042246,0.039891,0.055087,0.052020,0.053934,0.052353,-0.006238,-0.006245,-0.011250,0.044039,0.039126,0.006595,0.005346,0.008819,0.006786,0.042559,0.037871,0.062359,0.057561,0.114226,0.058147,0.032743,0.029698,0.035913,0.032793,0.040447,0.036364,0.040748,0.036362,0.040682,0.036647,0.002062,0.001604,0.031088,0.026841,0.081362,0.062947,0.032837,0.027263,0.073764,0.129929,0.004734,0.001294,0.046316,0.050265,-0.016580,-0.019715,-0.008182,-0.011745,0.044340,0.040208,0.016104,0.030609,0.040035,0.035902,0.087375,0.084703,-0.037270,-0.040262,0.001397,-0.002283,-0.047907,-0.051307,-0.038058,-0.040639,0.041710,0.037167,0.054881,0.182343,0.545003,0.062012,0.042576,0.039075,0.070213,0.067043,0.073495,0.067838,0.021463,0.019561,0.088621,0.085725,0.217454,0.214123,-0.048647,0.139452,0.076420,0.072442,0.117388,0.063212,0.096181,-0.077339,0.106315,0.056497,0.070877,0.068064,0.040150,0.036110,0.103894,0.098237,-0.011670,3816.065733,0.241508,-0.027139,0.039159,0.034583,0.057808,0.053847,-0.067060,-0.070564,-0.078211,-0.082737,-0.049830,-0.053411,0.012989,0.009140
Max,4.876463,4.871500,17.618670,46.703293,856.657804,32.947971,32.955304,11.449503,11.472501,22.373547,22.415297,15.027848,15.003820,22.192547,13.941404,13.924505,17.627304,17.634170,27.944995,27.938790,18.007785,3.093625,3.118971,24.341223,24.589589,5.370071,5.344074,10.792733,10.826335,18.255209,18.261709,18.177470,18.235082,424.593294,33.411052,12.724969,12.723424,11.078279,11.102742,10.821967,10.801022,10.777499,10.781541,10.620516,10.599237,0.376508,0.292521,27.910206,28.073090,403.472383,371.651682,16.695692,16.636686,41.455984,354.104870,3.306041,2.803615,28.198982,28.303105,8.999855,9.027312,3.263662,3.208501,9.482578,9.483098,407.885108,407.382640,9.489277,9.474687,28.055950,28.062286,20.662355,20.670363,396.396493,396.442899,17.283574,17.228115,19.081389,19.079011,8.936319,8.912689,26.962805,972.097728,3341.158110,18.790415,53.174746,53.200137,887.827281,887.841144,22.559508,22.593393,36.968581,33.981225,689.824300,689.624816,874.423863,871.799051,26.192895,905.631478,924.760288,924.528091,412.733027,35.253690,887.427333,29.403840,408.487893,22.952190,21.485268,21.581494,33.508984,33.476730,37.660785,37.638055,391.318599,28006340.110881,1390.165009,392.595811,21.186226,21.143388,40.279564,40.286025,29.894734,29.861524,33.928531,33.956900,34.736036,34.705790,50.505265,49.450511
Min,-6.009677,-5.999415,-16.974770,-21.857542,-22.369157,-29.888255,-29.955814,-14.164697,-18.786407,-27.129451,-28.762497,-11.403260,-11.436280,-20.047103,-21.226249,-21.230397,-21.426861,-21.462530,-30.967247,-30.938520,-14.752813,-2.812396,-4.713619,-24.617883,-24.631966,-7.239788,-7.136130,-9.032735,-9.034745,-16.602391,-24.021139,-21.980509,-21.990171,-79.999706,-33.151913,-74.786299,-74.788853,-10.044222,-10.032508,-18.077273,-19.028274,-21.468327,-18.319757,-22.826997,-18.981815,0.000000,0.000000,-47.656278,-47.701149,-80.000265,-79.999909,-23.060550,-23.405309,-24.914436,-24.946120,-3.725814,-3.131188,-29.214338,-29.174207,-10.691201,-10.782304,-5.886100,-4.185084,-15.916246,-19.172483,-14.416752,-14.495555,-20.793541,-19.612549,-87.129070,-87.129920,-18.883467,-18.875662,-13.202094,-13.694277,-27.843016,-27.827605,-18.802819,-18.828565,-25.059770,-28.699938,-74.541391,-90.000233,-97.208997,-41.537832,-40.498535,-40.458643,-18.868420,-18.864730,-29.282642,-29.256954,-16.491869,-16.653933,-54.347681,-54.356507,-26.151868,-26.035806,-61.917261,-61.910700,-21.529067,-21.528827,-79.999653,-41.043523,-34.111112,-34.114249,-78.988731,-89.885340,-42.504673,-36.657925,-30.126354,-30.106543,-47.226050,-32.465664,-81.007653,-99.999638,-81.666652,-38.667862,-43.798756,-43.162478,-30.681814,-30.707297,-42.045604,-42.029687,-22.809200,-22.828124,-33.834558,-33.835612,-74.817550,-74.823816
Count,5445,5445,6079,6385,1032,6385,6385,7035,6848,6385,6385,6959,6677,1259,5763,5763,5763,5763,6655,6590,361,5486,5486,6665,6636,5510,5510,6208,6208,6666,6590,5763,5763,6590,6590,6079,6079,6079,6079,6385,6385,6385,6385,6385,6385,7249,7104,5157,5157,6590,6607,6673,6590,6095,6079,5486,5486,6676,6697,6208,6208,5518,5518,6385,6384,6178,6178,6385,6385,6486,6486,5345,5345,6178,6178,5262,5262,5345,5345,6384,6384,6590,6590,6777,6777,4798,4798,5763,5763,6095,6079,6590,6882,4798,4798,4721,4720,4721,4721,5763,5763,6590,6588,5205,5205,7292,6385,6774,6751,5187,5187,7305,7249,7249,7339,7198,6677,6590,6638,5187,5187,5187,5187,5630,5630,5187,5187,6590,6590
Std,0.513470,0.513174,2.150834,2.264674,26.871723,3.081412,3.081975,1.171201,1.182084,2.346769,2.348205,1.174290,1.163215,3.461473,1.495138,1.494687,1.852991,1.852518,2.627949,2.626112,4.436411,0.470947,0.473295,2.430947,2.430027,0.531362,0.524507,1.207082,1.208091,1.584863,1.594345,1.939650,1.939129,6.048923,2.862519,1.541969,1.540743,1.172322,1.175843,1.316226,1.315119,1.314158,1.307060,1.361035,1.344096,0.025188,0.019395,3.618477,3.618349,5.369677,5.073202,1.685717,1.670746,3.529655,5.750402,0.472589,0.468535,2.529667,2.518777,1.205230,1.204140,0.486993,0.481496,1.386095,1.392228,5.402616,5.540546,1.482856,1.481310,3.254799,3.261008,1.840502,1.839842,5.226751,5.227625,2.427054,2.426421,1.826188,1.821630,1.504001,1.513802,2.586055,12.301729,40.714495,3.015608,4.025369,4.026303,12.077521,12.081569,2.186616,2.185974,1.463544,1.526671,10.749902,10.750409,13.400346,13.359977,4.203635,13.835300,12.471875,12.466099,6.007687,3.049209,12.672347,3.043848,5.415509,2.594205,2.684533,2.657119,2.775018,2.774628,3.379168,3.347699,5.492851,326917.308943,18.602352,5.774556,1.807890,1.804149,3.469803,3.468760,3.470805,3.471097,2.218697,2.213047,2.777176,2.775954,3.048808,3.052046
Sum,-163.954012,-184.275188,503.010472,474.476298,710.681600,350.867436,318.661404,219.617852,185.374393,360.713646,338.952143,-200.816244,-236.412653,92.284295,243.462280,229.893696,317.464544,299.791592,358.928347,345.007978,-2.251781,-34.260698,-61.716239,293.521325,259.642045,36.338353,29.455063,54.749930,42.124512,283.700260,249.567397,359.373393,331.722685,752.751982,383.190275,199.046752,180.532663,218.315390,199.350727,258.251124,232.186480,260.177000,232.172899,259.757183,233.988628,14.949587,11.392323,160.319194,138.418648,536.176762,415.887623,219.118800,179.661698,449.589048,789.838725,25.968700,7.099016,309.202973,336.623238,-102.930335,-122.387892,-45.149087,-64.810433,283.111805,256.687516,99.491291,189.101325,255.623407,229.237282,566.717380,549.384796,-199.208304,-215.198154,8.633236,-14.104828,-252.088014,-269.975786,-203.418679,-217.214377,266.273789,237.276617,361.665820,1201.642500,3693.487899,420.252043,204.277369,187.481966,404.636549,386.368801,447.950199,412.388667,141.440242,134.617204,425.202009,411.310912,1026.599981,1010.659977,-229.661664,658.350753,440.409595,417.482948,773.589806,416.440124,500.623480,-402.547892,775.246219,360.733298,480.122653,459.498225,208.256200,187.303017,758.945701,712.121398,-84.599331,28006106.411139,1738.374804,-181.210056,258.055162,229.561587,299.851869,279.302393,-347.841656,-366.016086,-440.325964,-465.811007,-258.468426,-277.043907,85.599785,60.233909

