Date,Adj Close
2019-01-02,1.224
2019-01-03,1.218
2019-01-04,1.215
2019-01-07,1.235
2019-01-08,1.244
2019-01-09,1.247
2019-01-10,1.248
2019-01-11,1.255
2019-01-14,1.255
2019-01-15,1.253
2019-01-16,1.257
2019-01-17,1.257
2019-01-18,1.269
2019-01-22,1.278
2019-01-23,1.273
2019-01-24,1.271
2019-01-25,1.275
2019-01-28,1.276
2019-01-29,1.277
2019-01-30,1.277
2019-01-31,1.29
2019-02-01,1.295
2019-02-04,1.301
2019-02-05,1.306
2019-02-06,1.306
2019-02-07,1.298
2019-02-08,1.288
2019-02-11,1.298
2019-02-12,1.306
2019-02-13,1.316
2019-02-14,1.318
2019-02-15,1.317
2019-02-19,1.328
2019-02-20,1.334
2019-02-21,1.335
2019-02-22,1.334
2019-02-25,1.34
2019-02-26,1.339
2019-02-27,1.341
2019-02-28,1.339
2019-03-01,1.339
2019-03-04,1.344
2019-03-05,1.34
2019-03-06,1.34
2019-03-07,1.341
2019-03-08,1.326
2019-03-11,1.326
2019-03-12,1.335
2019-03-13,1.342
2019-03-14,1.35
2019-03-15,1.355
2019-03-18,1.363
2019-03-19,1.37
2019-03-20,1.365
2019-03-21,1.362
2019-03-22,1.365
2019-03-25,1.349
2019-03-26,1.353
2019-03-27,1.357
2019-03-28,1.353
2019-03-29,1.36
2019-04-01,1.365
2019-04-02,1.373
2019-04-03,1.378
2019-04-04,1.382
2019-04-05,1.38
2019-04-08,1.387
2019-04-09,1.391
2019-04-10,1.382
2019-04-11,1.385
2019-04-12,1.38
2019-04-15,1.385
2019-04-16,1.386
2019-04-17,1.397
2019-04-18,1.403
2019-04-23,1.398
2019-04-24,1.405
2019-04-25,1.399
2019-04-26,1.397
2019-04-29,1.406
2019-04-30,1.41
2019-05-01,1.416
2019-05-02,1.411
2019-05-03,1.411
2019-05-07,1.413
2019-05-08,1.398
2019-05-09,1.39
2019-05-10,1.388
2019-05-13,1.391
2019-05-14,1.377
2019-05-15,1.382
2019-05-16,1.396
2019-05-17,1.401
2019-05-20,1.397
2019-05-21,1.395
2019-05-22,1.401
2019-05-23,1.385
2019-05-24,1.387
2019-05-28,1.384
2019-05-29,1.367
2019-05-30,1.364
2019-05-31,1.36
2019-06-03,1.357
2019-06-04,1.37
2019-06-05,1.389
2019-06-06,1.395
2019-06-07,1.406
2019-06-10,1.415
2019-06-11,1.422
2019-06-12,1.422
2019-06-13,1.417
2019-06-14,1.417
2019-06-17,1.409
2019-06-18,1.414
2019-06-19,1.424
2019-06-20,1.435
2019-06-21,1.439
2019-06-24,1.443
2019-06-25,1.443
2019-06-26,1.438
2019-06-27,1.439
2019-06-28,1.443
2019-07-01,1.447
2019-07-02,1.445
2019-07-03,1.453
2019-07-05,1.457
2019-07-08,1.449
2019-07-09,1.443
2019-07-10,1.441
2019-07-11,1.448
2019-07-12,1.443
2019-07-15,1.448
2019-07-16,1.45
2019-07-17,1.449
2019-07-18,1.448
2019-07-19,1.455
2019-07-22,1.448
2019-07-23,1.45
2019-07-24,1.452
2019-07-25,1.452
2019-07-26,1.45
2019-07-29,1.454
2019-07-30,1.448
2019-07-31,1.44
2019-08-01,1.424
2019-08-02,1.415
2019-08-05,1.395
2019-08-06,1.376
2019-08-07,1.385
2019-08-08,1.392
2019-08-09,1.41
2019-08-12,1.403
2019-08-13,1.391
2019-08-14,1.399
2019-08-15,1.373
2019-08-16,1.376
2019-08-19,1.393
2019-08-20,1.404
2019-08-21,1.404
2019-08-22,1.407
2019-08-23,1.408
2019-08-27,1.39
2019-08-28,1.391
2019-08-29,1.4
2019-08-30,1.409
2019-09-03,1.402
2019-09-04,1.408
2019-09-05,1.424
2019-09-06,1.433
2019-09-09,1.44
2019-09-10,1.433
2019-09-11,1.444
2019-09-12,1.451
2019-09-13,1.455
2019-09-16,1.449
2019-09-17,1.442
2019-09-18,1.444
2019-09-19,1.447
2019-09-20,1.449
2019-09-23,1.436
2019-09-24,1.439
2019-09-25,1.423
2019-09-26,1.443
2019-09-27,1.446
2019-09-30,1.443
2019-10-01,1.446
2019-10-02,1.424
2019-10-03,1.406
2019-10-04,1.416
2019-10-07,1.434
2019-10-08,1.427
2019-10-09,1.413
