Date,Adj Close
2019-01-02,6.5771
2019-01-03,6.5821
2019-01-04,6.841
2019-01-07,6.9633
2019-01-08,7.0109
2019-01-09,7.1162
2019-01-10,7.1573
2019-01-11,7.1266
2019-01-14,7.1038
2019-01-15,7.1676
2019-01-16,7.131
2019-01-17,7.1739
2019-01-18,7.3277
2019-01-22,7.1566
2019-01-23,7.087
2019-01-24,7.1382
2019-01-25,7.2398
2019-01-28,7.1551
2019-01-29,7.1891
2019-01-30,7.2937
2019-01-31,7.3211
2019-02-01,7.3492
2019-02-04,7.3958
2019-02-05,7.4062
2019-02-06,7.3601
2019-02-07,7.1828
2019-02-08,7.1073
2019-02-11,7.1411
2019-02-12,7.2171
2019-02-13,7.2874
2019-02-14,7.2948
2019-02-15,7.4261
2019-02-19,7.4714
2019-02-20,7.5583
2019-02-21,7.4795
2019-02-22,7.4775
2019-02-25,7.4697
2019-02-26,7.4452
2019-02-27,7.4768
2019-02-28,7.4183
2019-03-01,7.469
2019-03-04,7.4406
2019-03-05,7.4237
2019-03-06,7.3506
2019-03-07,7.2974
2019-03-08,7.1301
2019-03-11,7.2436
2019-03-12,7.3086
2019-03-13,7.4137
2019-03-14,7.4462
2019-03-15,7.4454
2019-03-19,7.5577
2019-03-20,7.6168
2019-03-21,7.6528
2019-03-22,7.4514
2019-03-25,7.4096
2019-03-26,7.5098
2019-03-27,7.4522
2019-03-28,7.4654
2019-03-29,7.4836
2019-04-01,7.6049
2019-04-02,7.5472
2019-04-03,7.5132
2019-04-04,7.5083
2019-04-05,7.6556
2019-04-08,7.735
2019-04-09,7.6543
2019-04-10,7.7314
2019-04-11,7.6863
2019-04-12,7.8316
2019-04-15,7.7884
2019-04-16,7.8297
2019-04-17,7.8733
2019-04-18,7.8231
2019-04-23,7.9593
2019-04-24,7.8292
2019-04-25,7.7444
2019-04-26,7.6594
2019-04-29,7.6529
2019-04-30,7.625
2019-05-01,7.5363
2019-05-02,7.3967
2019-05-03,7.4468
2019-05-07,7.3262
2019-05-08,7.3358
2019-05-09,7.2635
2019-05-10,7.2643
