Date,Adj Close
2019-01-02,10.15
2019-01-03,10.16
2019-01-04,10.15
2019-01-07,10.24
2019-01-08,10.3
2019-01-09,10.37
2019-01-10,10.39
2019-01-11,10.39
2019-01-14,10.34
2019-01-15,10.36
2019-01-16,10.39
2019-01-17,10.39
2019-01-18,10.43
2019-01-22,10.44
2019-01-23,10.38
2019-01-24,10.37
2019-01-25,10.42
2019-01-28,10.41
2019-01-29,10.42
2019-01-30,10.46
2019-01-31,10.51
2019-02-01,10.56
2019-02-04,10.61
2019-02-05,10.65
2019-02-06,10.7
2019-02-07,10.66
2019-02-08,10.57
2019-02-11,10.6
2019-02-12,10.68
2019-02-13,10.73
2019-02-14,10.75
2019-02-15,10.74
2019-02-19,10.75
2019-02-20,10.74
2019-02-21,10.75
2019-02-22,10.76
2019-02-25,10.8
2019-02-26,10.77
2019-02-27,10.71
2019-02-28,10.68
2019-03-01,10.74
2019-03-04,10.77
2019-03-05,10.77
2019-03-06,10.78
2019-03-07,10.74
2019-03-08,10.69
2019-03-11,10.72
2019-03-12,10.76
2019-03-13,10.76
2019-03-14,10.74
2019-03-15,10.77
2019-03-19,10.83
2019-03-20,10.84
2019-03-21,10.88
2019-03-22,10.85
2019-03-25,10.73
2019-03-26,10.77
2019-03-27,10.79
2019-03-28,10.8
2019-03-29,10.86
2019-04-01,10.91
2019-04-02,10.93
2019-04-03,10.96
2019-04-04,10.98
2019-04-05,11.02
2019-04-08,11.05
2019-04-09,11.04
2019-04-10,11.03
2019-04-11,11.04
2019-04-12,11.05
2019-04-15,11.08
2019-04-16,11.1
2019-04-17,11.13
2019-04-18,11.12
2019-04-23,11.15
2019-04-24,11.19
2019-04-25,11.18
2019-04-26,11.17
2019-04-29,11.19
2019-04-30,11.18
2019-05-02,11.12
2019-05-03,11.13
2019-05-07,11.04
2019-05-08,11.01
2019-05-10,10.98
2019-05-13,10.91
2019-05-14,10.89
2019-05-15,10.95
2019-05-16,11.02
2019-05-17,11.05
2019-05-20,11.0
2019-05-21,11.02
2019-05-22,11.04
2019-05-23,11.0
2019-05-24,10.99
2019-05-28,11.02
2019-05-29,10.98
2019-05-31,10.94
2019-06-04,10.94
2019-06-05,11.0
2019-06-06,11.0
2019-06-07,11.02
2019-06-11,11.14
2019-06-12,11.15
2019-06-13,11.15
2019-06-14,11.16
2019-06-17,11.16
2019-06-18,11.2
2019-06-19,11.24
2019-06-20,11.29
2019-06-21,11.29
2019-06-24,11.27
2019-06-25,11.26
2019-06-26,11.24
2019-06-27,11.26
2019-06-28,11.3
2019-07-01,11.38
2019-07-02,11.43
2019-07-03,11.48
2019-07-05,11.5
2019-07-08,11.45
2019-07-09,11.43
2019-07-10,11.43
2019-07-11,11.43
2019-07-12,11.43
2019-07-15,11.44
2019-07-16,11.48
2019-07-17,11.5
2019-07-18,11.44
2019-07-19,11.43
2019-07-22,11.45
2019-07-23,11.49
2019-07-24,11.52
2019-07-25,11.52
2019-07-26,11.53
2019-07-29,11.59
2019-07-30,11.63
2019-07-31,11.57
2019-08-01,11.57
2019-08-02,11.47
2019-08-06,11.27
2019-08-07,11.3
2019-08-08,11.32
2019-08-09,11.37
2019-08-12,11.34
2019-08-13,11.31
2019-08-14,11.3
2019-08-16,11.22
2019-08-19,11.29
2019-08-20,11.33
2019-08-21,11.34
2019-08-22,11.32
2019-08-23,11.29
2019-08-27,11.22
2019-08-28,11.23
2019-08-29,11.27
2019-08-30,11.32
2019-09-03,11.36
2019-09-04,11.36
2019-09-05,11.4
2019-09-06,11.42
2019-09-09,11.43
2019-09-10,11.39
2019-09-11,11.43
2019-09-12,11.47
2019-09-13,11.47
2019-09-16,11.45
2019-09-17,11.44
2019-09-18,11.43
2019-09-19,11.46
2019-09-20,11.46
2019-09-23,11.45
2019-09-24,11.45
2019-09-25,11.4
2019-09-26,11.44
2019-09-27,11.46
2019-09-30,11.44
2019-10-01,11.44
2019-10-02,11.37
2019-10-03,11.29
2019-10-04,11.32
2019-10-07,11.38
2019-10-08,11.38
2019-10-09,11.38
2019-10-10,11.38
2019-10-11,11.35
2019-10-14,11.32
2019-10-15,11.35
2019-10-16,11.3
2019-10-17,11.3
2019-10-18,11.28
2019-10-21,11.25
2019-10-22,11.26
2019-10-23,11.29
2019-10-24,11.33
2019-10-25,11.36
2019-10-29,11.38
2019-10-30,11.39
2019-10-31,11.38
2019-11-04,11.45
2019-11-05,11.49
2019-11-06,11.49
2019-11-07,11.52
2019-11-08,11.52
2019-11-11,11.49
2019-11-12,11.49
2019-11-13,11.47
2019-11-14,11.44
2019-11-15,11.44
2019-11-18,11.47
2019-11-19,11.48
2019-11-20,11.47
2019-11-21,11.44
2019-11-22,11.47
2019-11-25,11.51
2019-11-26,11.53
2019-11-27,11.56
2019-11-29,11.53
2019-12-02,11.5
2019-12-03,11.44
2019-12-04,11.4
2019-12-05,11.39
2019-12-06,11.42
2019-12-09,11.43
2019-12-10,11.41
2019-12-11,11.4
2019-12-12,11.44
2019-12-13,11.49
2019-12-16,11.52
2019-12-17,11.59
2019-12-18,11.64
2019-12-19,11.67
2019-12-20,11.71
2019-12-23,11.75
2019-12-27,11.79
2019-12-30,11.76
2019-12-31,11.72
2020-01-02,11.74
2020-01-03,11.78
2020-01-06,11.74
2020-01-07,11.78
2020-01-08,11.77
2020-01-09,11.85
2020-01-10,11.88
2020-01-13,11.93
2020-01-14,11.94
2020-01-15,11.94
2020-01-16,11.93
2020-01-17,11.97
2020-01-21,11.9436
2020-01-22,11.9262
2020-01-23,11.8758
2020-01-24,11.8922
2020-01-27,11.773
2020-01-28,11.771
2020-01-29,11.8214
2020-01-30,11.7332
2020-01-31,11.6556
2020-02-03,11.6442
2020-02-04,11.7797
2020-02-05,11.8596
2020-02-06,11.9547
2020-02-07,11.9451
2020-02-10,11.9136
2020-02-11,11.9476
2020-02-12,11.9892
2020-02-13,11.9789
2020-02-14,11.9641
2020-02-18,11.9009
2020-02-19,11.9471
2020-02-20,12.0008
2020-02-21,11.9515
2020-02-24,11.7879
2020-02-25,11.6381
2020-02-26,11.535
2020-02-27,11.46
2020-02-28,11.2241
2020-03-02,11.2497
2020-03-03,11.4034
2020-03-04,11.4478
2020-03-05,11.4251
2020-03-06,11.2004
2020-03-09,10.826
2020-03-10,10.822
2020-03-11,10.7759
2020-03-12,10.4212
2020-03-13,10.3633
2020-03-16,10.017
2020-03-18,9.9764
2020-03-19,9.9844
2020-03-20,10.0766
2020-03-23,9.8194
2020-03-24,9.9729
2020-03-25,10.1398
2020-03-26,10.2202
2020-03-27,10.203
2020-03-30,10.0889
2020-03-31,10.1524
2020-04-01,10.03
2020-04-02,10.0011
2020-04-03,10.0038
2020-04-06,10.1568
2020-04-07,10.4157
2020-04-08,10.4166
2020-04-09,10.5228
2020-04-14,10.6196
2020-04-15,10.5704
2020-04-16,10.5765
2020-04-17,10.6845
2020-04-20,10.6963
2020-04-21,10.6127
2020-04-22,10.6234
2020-04-23,10.6892
2020-04-24,10.6802
2020-04-27,10.7549
2020-04-28,10.7891
2020-04-29,10.8552
2020-04-30,10.8836
2020-05-01,10.77
2020-05-05,10.7564
2020-05-06,10.8174
2020-05-07,10.893
2020-05-08,10.9177
2020-05-11,10.9822
2020-05-12,11.0211
2020-05-13,10.9754
2020-05-14,10.8949
2020-05-15,10.9471
2020-05-18,11.0937
2020-05-19,11.1663
2020-05-20,11.2203
2020-05-21,11.2318
2020-05-22,11.2334
2020-05-26,11.344
2020-05-27,11.3838
2020-05-28,11.4603
2020-05-29,11.4348
2020-06-02,11.5183
2020-06-03,11.5953
2020-06-04,11.6639
2020-06-05,11.7049
2020-06-08,11.7394
2020-06-09,11.6977
2020-06-10,11.6836
2020-06-11,11.5799
2020-06-12,11.5345
2020-06-15,11.458
2020-06-16,11.6269
2020-06-17,11.693
2020-06-18,11.7194
2020-06-19,11.7861
2020-06-22,11.7634
2020-06-23,11.8059
2020-06-24,11.7271
2020-06-25,11.6986
2020-06-26,11.7382
2020-06-29,11.7325
2020-06-30,11.7561
2020-07-01,11.7017
2020-07-02,11.7578
2020-07-06,11.897
2020-07-07,11.9021
2020-07-08,11.8615
2020-07-09,11.88
2020-07-10,11.88
2020-07-13,11.945
2020-07-14,11.899
2020-07-15,11.9737
2020-07-16,11.924
2020-07-17,11.9299
2020-07-20,11.9385
2020-07-21,12.0146
2020-07-22,11.9977
2020-07-23,12.0154
2020-07-24,11.9149
2020-07-27,11.8682
2020-07-28,11.8801
2020-07-29,11.8568
2020-07-30,11.8011
2020-07-31,11.7235
2020-08-04,11.8505
2020-08-05,11.9067
2020-08-06,11.8946
2020-08-07,11.9126
2020-08-10,11.9085
2020-08-11,11.9349
2020-08-12,11.9545
2020-08-13,12.0133
2020-08-14,11.9834
2020-08-17,12.01
2020-08-18,12.0272
2020-08-19,12.0077
2020-08-20,11.9865
2020-08-21,12.0021
2020-08-24,12.0916
2020-08-25,12.1215
2020-08-26,12.1286
2020-08-27,12.1362
2020-08-28,12.0883
2020-08-31,12.0884
2020-09-01,12.0608
2020-09-02,12.1802
2020-09-03,12.1766
2020-09-04,12.0326
2020-09-08,12.0389
2020-09-09,12.0707
