name,symbol,rows,first,last,currency,status
CT AMERICAN SELECT AU USD ACC USD,0P00000SKQ,1114,2022-03-07,2026-08-13,,exists
PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,0P0001R0U7,830,2023-04-24,2026-08-13,,exists
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,0P0001M1PV,1113,2022-03-08,2026-08-13,,exists
ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,0P0001UAGR,425,2024-12-02,2026-08-13,,exists
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,0P0001KQC9,1113,2022-03-08,2026-08-13,,exists
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,0P0001LPJK,1113,2022-03-08,2026-08-13,,exists
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,0P000148G2.HK,1089,2022-03-08,2026-08-14,,exists
ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,0P0001J2E3,1113,2022-03-08,2026-08-13,,exists
ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,APDRX,2859,2015-04-01,2026-08-13,,exists
BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,MRLOX,5940,2003-01-03,2026-08-13,,exists
BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,0P00016JAM,1113,2022-03-08,2026-08-13,,exists
BLACKROCK (LUX) SA GLOBAL MULTI-ASSET INCOME A2 USD ACC USD,0P00017CB4,1114,2022-03-07,2026-08-13,,exists
BLACKROCK GLOBAL ALLOCATION FUND D10 INC USD,0P0001UKBP,393,2025-01-21,2026-08-13,,exists
BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND D6 USD,0P0001CP0L,1114,2022-03-07,2026-08-13,,exists
BLACKROCK GLOBAL FUNDS SICAV - ASIAN DRAGON FUND D2 ACC USD,0P0000JI29,1114,2022-03-07,2026-08-13,,exists
BLUEBOX GLOBAL TECHNOLOGY FUND A ACC USD,0P0001KEXS,1114,2022-03-07,2026-08-13,,exists
BLUEBOX GLOBAL TECHNOLOGY FUND CLASS C ACC USD,0P0001LWPD,1114,2022-03-07,2026-08-13,,exists
BNY MELLON GLOBAL LEADERS FUND B ACC USD,0P0001HSOS,1801,2019-06-14,2026-08-13,,exists
BOWMOOR GLOBAL ALPHA FUND PC D USD,0P0001RA9Q,742,2023-08-29,2026-08-13,,exists
BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,0P0001RZ9F,648,2024-01-12,2026-08-13,,exists
BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,0P0001RZ9H,629,2024-02-09,2026-08-13,,exists
DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,0P0000HLUC,1914,2019-01-02,2026-08-13,,exists
DVAM GLOBAL EQUITY INCOME USD A2 INC USD,0P0001H41F,1904,2019-01-16,2026-08-13,,exists
FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,0P0000I1UY,1114,2022-03-07,2026-08-13,,exists
GAM STAR GLOBAL BALANCED A USD ACC USD,0P0000MXNH,1914,2019-01-02,2026-08-13,,exists
GUINNESS AM GLOBAL INNOVATORS Y ACC USD,0P00014JQC,1914,2019-01-02,2026-08-13,,exists
GUINNESS GLOBAL ENERGY Y INC USD,0P0000IKH9,1914,2019-01-02,2026-08-13,,exists
GUINNESS GLOBAL QUALITY MID CAP C ACC USD,0P0001LDIA,1421,2020-12-15,2026-08-13,,exists
HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,0P0001EPQG,1716,2019-10-15,2026-08-13,,exists
HSBC GLOBAL INDIA FIX INC ACC USD USD,0P0000WX8N,1114,2022-03-07,2026-08-13,,exists
IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,0P0001MJ13,1313,2021-05-21,2026-08-13,,exists
INVESCO GLOBAL HEALTH CARE INNOVATION A USD USD,0P0001DK2B,1113,2022-03-08,2026-08-13,,exists
INVESCO GLOBAL HEALTH CARE INNOVATION FUND C AD USD,0P0001DK29,1113,2022-03-08,2026-08-13,,exists
JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,JATNX,2399,2017-01-27,2026-08-13,,exists
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,0P0000193V,1113,2022-03-08,2026-08-13,,exists
JPMORGAN GLOBAL GROWTH FUND A USD ACC USD,0P000019C1,1114,2022-03-07,2026-08-13,,exists
JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,0P00000MMB,1914,2019-01-02,2026-08-13,,exists
LINDSELL TRAIN LTD GLOBAL EQUITY C USD,0P00013W6Y,1914,2019-01-02,2026-08-13,,exists
M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,0P00019IT4,1113,2022-03-08,2026-08-13,,exists
MOMENTUM GLOBAL GROWTH FUND CLASS A USD,0P0000TT0O,1114,2022-03-07,2026-08-13,,exists
MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,0P0001XI1K,235,2025-09-08,2026-08-13,,exists
MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,0P0001XI1P,235,2025-09-08,2026-08-13,,exists
MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,0P0001XI1N,235,2025-09-08,2026-08-13,,exists
NINETY-ONE GLOBAL ST UK ALPHA I USD ACC USD,0P0000TL13,1114,2022-03-07,2026-08-13,,exists
NOMURA GLOBAL HIGH CONVICTION I USD USD,0P00012R7L,1914,2019-01-02,2026-08-13,,exists
NSF SICAV WEALTH DEFENDER GLOBAL EQUITY FUND C USD ACC USD,0P0001SAYJ,641,2024-01-24,2026-08-13,,exists
PGIM JENNISON GLOBAL EQUITY OPPORTUNITIES I ACC USD,0P0001DZEF,1914,2019-01-02,2026-08-13,,exists
PICTET-GLOBAL ENVIRONMENTAL OPPORTUNITIES HP ACC USD,0P0001CKEL,1114,2022-03-07,2026-08-13,,exists
PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD,0P0000HOIQ,1914,2019-01-02,2026-08-13,,exists
POLAR CAPITAL GLOBAL TECH FD USD,0P0000M892,1914,2019-01-02,2026-08-13,,exists
RANMORE GLOBAL EQUITY FUND INST USD ACC USD,0P0001QRG7,850,2023-03-24,2026-08-13,,exists
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,0P0000TY84,1914,2019-01-02,2026-08-13,,exists
SCHRODER ISF GLOBAL CITIES A ACC USD,0P00001E4P,1114,2022-03-07,2026-08-13,,exists
UBAM GLOBAL EQUITY IC ACC USD,0P0001DZRW,1114,2022-03-07,2026-08-13,,exists
VONTOBEL FUND II DUFF & PHELPS GLOBAL LISTED INFRASTRUCTURE B ACC USD,0P0001K1Y4,1114,2022-03-07,2026-08-13,,exists
FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,0P00011MTY,1114,2022-03-07,2026-08-13,,exists
