Date,Open,High,Low,Close,Volume,Adj Close
2022-03-07,89.048500,89.048500,89.048500,89.048500,0.000000,89.048500
2022-03-08,88.632301,88.632301,88.632301,88.632301,0.000000,88.632301
2022-03-09,91.613998,91.613998,91.613998,91.613998,0.000000,91.613998
2022-03-10,90.985703,90.985703,90.985703,90.985703,0.000000,90.985703
2022-03-11,,,,,,
2022-03-14,90.077599,90.077599,90.077599,90.077599,0.000000,90.077599
2022-03-15,91.380798,91.380798,91.380798,91.380798,0.000000,91.380798
2022-03-16,93.559700,93.559700,93.559700,93.559700,0.000000,93.559700
2022-03-17,94.710197,94.710197,94.710197,94.710197,0.000000,94.710197
2022-03-18,95.489197,95.489197,95.489197,95.489197,0.000000,95.489197
2022-03-21,95.624397,95.624397,95.624397,95.624397,0.000000,95.624397
2022-03-22,96.519203,96.519203,96.519203,96.519203,0.000000,96.519203
2022-03-23,95.482101,95.482101,95.482101,95.482101,0.000000,95.482101
2022-03-24,96.348198,96.348198,96.348198,96.348198,0.000000,96.348198
2022-03-25,96.688904,96.688904,96.688904,96.688904,0.000000,96.688904
2022-03-28,97.031700,97.031700,97.031700,97.031700,0.000000,97.031700
2022-03-29,98.422203,98.422203,98.422203,98.422203,0.000000,98.422203
2022-03-30,97.896400,97.896400,97.896400,97.896400,0.000000,97.896400
2022-03-31,96.542900,96.542900,96.542900,96.542900,0.000000,96.542900
2022-04-01,,,,,,
2022-04-04,97.061401,97.061401,97.061401,97.061401,0.000000,97.061401
2022-04-05,,,,,,
2022-04-06,94.852097,94.852097,94.852097,94.852097,0.000000,94.852097
2022-04-07,95.187302,95.187302,95.187302,95.187302,0.000000,95.187302
2022-04-08,95.257599,95.257599,95.257599,95.257599,0.000000,95.257599
2022-04-11,94.051697,94.051697,94.051697,94.051697,0.000000,94.051697
2022-04-12,93.834900,93.834900,93.834900,93.834900,0.000000,93.834900
2022-04-13,94.574699,94.574699,94.574699,94.574699,0.000000,94.574699
2022-04-14,93.777100,93.777100,93.777100,93.777100,0.000000,93.777100
2022-04-18,,,,,,
2022-04-19,94.694504,94.694504,94.694504,94.694504,0.000000,94.694504
2022-04-20,95.302696,95.302696,95.302696,95.302696,0.000000,95.302696
2022-04-21,94.179703,94.179703,94.179703,94.179703,0.000000,94.179703
2022-04-22,91.740799,91.740799,91.740799,91.740799,0.000000,91.740799
2022-04-25,91.641800,91.641800,91.641800,91.641800,0.000000,91.641800
2022-04-26,89.639999,89.639999,89.639999,89.639999,0.000000,89.639999
2022-04-27,89.774803,89.774803,89.774803,89.774803,0.000000,89.774803
2022-04-28,91.295403,91.295403,91.295403,91.295403,0.000000,91.295403
2022-04-29,89.242996,89.242996,89.242996,89.242996,0.000000,89.242996
2022-05-02,,,,,,
2022-05-03,89.817703,89.817703,89.817703,89.817703,0.000000,89.817703
2022-05-04,91.538200,91.538200,91.538200,91.538200,0.000000,91.538200
2022-05-05,89.111900,89.111900,89.111900,89.111900,0.000000,89.111900
2022-05-06,88.357201,88.357201,88.357201,88.357201,0.000000,88.357201
2022-05-09,,,,,,
2022-05-10,86.134201,86.134201,86.134201,86.134201,0.000000,86.134201
2022-05-11,85.304604,85.304604,85.304604,85.304604,0.000000,85.304604
2022-05-12,85.099602,85.099602,85.099602,85.099602,0.000000,85.099602
2022-05-13,86.784302,86.784302,86.784302,86.784302,0.000000,86.784302
2022-05-16,86.678200,86.678200,86.678200,86.678200,0.000000,86.678200
2022-05-17,88.432602,88.432602,88.432602,88.432602,0.000000,88.432602
2022-05-18,85.475197,85.475197,85.475197,85.475197,0.000000,85.475197
2022-05-19,85.107399,85.107399,85.107399,85.107399,0.000000,85.107399
2022-05-20,85.148598,85.148598,85.148598,85.148598,0.000000,85.148598
2022-05-23,86.587700,86.587700,86.587700,86.587700,0.000000,86.587700
2022-05-24,85.982300,85.982300,85.982300,85.982300,0.000000,85.982300
2022-05-25,86.656601,86.656601,86.656601,86.656601,0.000000,86.656601
2022-05-26,,,,,,
2022-05-27,89.921600,89.921600,89.921600,89.921600,0.000000,89.921600
2022-05-31,89.536003,89.536003,89.536003,89.536003,0.000000,89.536003
2022-06-01,88.752296,88.752296,88.752296,88.752296,0.000000,88.752296
2022-06-02,,,,,,
2022-06-03,,,,,,
2022-06-06,,,,,,
2022-06-07,89.848396,89.848396,89.848396,89.848396,0.000000,89.848396
2022-06-08,88.957199,88.957199,88.957199,88.957199,0.000000,88.957199
2022-06-09,87.009201,87.009201,87.009201,87.009201,0.000000,87.009201
2022-06-10,84.430901,84.430901,84.430901,84.430901,0.000000,84.430901
2022-06-13,81.397499,81.397499,81.397499,81.397499,0.000000,81.397499
2022-06-14,81.020103,81.020103,81.020103,81.020103,0.000000,81.020103
2022-06-15,82.035202,82.035202,82.035202,82.035202,0.000000,82.035202
2022-06-16,79.798599,79.798599,79.798599,79.798599,0.000000,79.798599
2022-06-17,79.652100,79.652100,79.652100,79.652100,0.000000,79.652100
2022-06-21,81.470703,81.470703,81.470703,81.470703,0.000000,81.470703
2022-06-22,81.286598,81.286598,81.286598,81.286598,0.000000,81.286598
2022-06-23,,,,,,
2022-06-24,83.715599,83.715599,83.715599,83.715599,0.000000,83.715599
2022-06-27,83.860100,83.860100,83.860100,83.860100,0.000000,83.860100
2022-06-28,82.574699,82.574699,82.574699,82.574699,0.000000,82.574699
2022-06-29,82.190598,82.190598,82.190598,82.190598,0.000000,82.190598
2022-06-30,81.292702,81.292702,81.292702,81.292702,0.000000,81.292702
2022-07-01,81.761597,81.761597,81.761597,81.761597,0.000000,81.761597
2022-07-05,81.214203,81.214203,81.214203,81.214203,0.000000,81.214203
2022-07-06,81.630203,81.630203,81.630203,81.630203,0.000000,81.630203
2022-07-07,82.880203,82.880203,82.880203,82.880203,0.000000,82.880203
2022-07-08,83.036797,83.036797,83.036797,83.036797,0.000000,83.036797
2022-07-11,82.003098,82.003098,82.003098,82.003098,0.000000,82.003098
