Date,Open,High,Low,Close,Volume,Adj Close
2022-03-08,9.546000,9.546000,9.546000,9.546000,0.000000,9.546000
2022-03-09,9.563200,9.563200,9.563200,9.563200,0.000000,9.563200
2022-03-10,9.644800,9.644800,9.644800,9.644800,0.000000,9.644800
2022-03-11,9.655300,9.655300,9.655300,9.655300,0.000000,9.655300
2022-03-14,9.621200,9.621200,9.621200,9.621200,0.000000,9.621200
2022-03-15,9.616800,9.616800,9.616800,9.616800,0.000000,9.616800
2022-03-16,9.761100,9.761100,9.761100,9.761100,0.000000,9.761100
2022-03-17,9.798200,9.798200,9.798200,9.798200,0.000000,9.798200
2022-03-18,9.840400,9.840400,9.840400,9.840400,0.000000,9.840400
2022-03-21,9.865400,9.865400,9.865400,9.865400,0.000000,9.865400
2022-03-22,9.851100,9.851100,9.851100,9.851100,0.000000,9.851100
2022-03-23,9.881700,9.881700,9.881700,9.881700,0.000000,9.881700
2022-03-24,,,,,,
2022-03-25,9.872700,9.872700,9.872700,9.872700,0.000000,9.872700
2022-03-28,9.907300,9.907300,9.907300,9.907300,0.000000,9.907300
2022-03-29,9.900900,9.900900,9.900900,9.900900,0.000000,9.900900
2022-03-30,9.951300,9.951300,9.951300,9.951300,0.000000,9.951300
2022-03-31,9.885600,9.885600,9.885600,9.885600,0.000000,9.885600
2022-04-01,9.805600,9.805600,9.805600,9.805600,0.000000,9.805600
2022-04-04,9.801100,9.801100,9.801100,9.801100,0.000000,9.801100
2022-04-05,9.827500,9.827500,9.827500,9.827500,0.000000,9.827500
2022-04-06,9.743900,9.743900,9.743900,9.743900,0.000000,9.743900
2022-04-07,9.689600,9.689600,9.689600,9.689600,0.000000,9.689600
2022-04-08,9.722700,9.722700,9.722700,9.722700,0.000000,9.722700
2022-04-11,9.728700,9.728700,9.728700,9.728700,0.000000,9.728700
2022-04-12,9.675300,9.675300,9.675300,9.675300,0.000000,9.675300
2022-04-13,9.672000,9.672000,9.672000,9.672000,0.000000,9.672000
2022-04-14,9.728300,9.728300,9.728300,9.728300,0.000000,9.728300
2022-04-18,,,,,,
2022-04-19,9.703400,9.703400,9.703400,9.703400,0.000000,9.703400
2022-04-20,9.794700,9.794700,9.794700,9.794700,0.000000,9.794700
2022-04-21,9.838800,9.838800,9.838800,9.838800,0.000000,9.838800
