Date,Open,High,Low,Close,Volume,Adj Close
2025-08-04,1.003400,1.003400,1.003400,1.003400,0.000000,1.003400
2025-08-05,1.005700,1.005700,1.005700,1.005700,0.000000,1.005700
2025-08-06,1.009200,1.009200,1.009200,1.009200,0.000000,1.009200
2025-08-07,1.015100,1.015100,1.015100,1.015100,0.000000,1.015100
2025-08-08,1.014200,1.014200,1.014200,1.014200,0.000000,1.014200
2025-08-11,1.013400,1.013400,1.013400,1.013400,0.000000,1.013400
2025-08-12,1.019800,1.019800,1.019800,1.019800,0.000000,1.019800
2025-08-13,1.027800,1.027800,1.027800,1.027800,0.000000,1.027800
2025-08-14,1.026000,1.026000,1.026000,1.026000,0.000000,1.026000
2025-08-15,,,,,,
2025-08-18,1.024400,1.024400,1.024400,1.024400,0.000000,1.024400
2025-08-19,1.023900,1.023900,1.023900,1.023900,0.000000,1.023900
2025-08-20,1.022100,1.022100,1.022100,1.022100,0.000000,1.022100
2025-08-21,1.021600,1.021600,1.021600,1.021600,0.000000,1.021600
2025-08-22,1.032100,1.032100,1.032100,1.032100,0.000000,1.032100
2025-08-25,,,,,,
2025-08-26,1.029300,1.029300,1.029300,1.029300,0.000000,1.029300
2025-08-27,1.025400,1.025400,1.025400,1.025400,0.000000,1.025400
2025-08-28,1.027200,1.027200,1.027200,1.027200,0.000000,1.027200
2025-08-29,1.026800,1.026800,1.026800,1.026800,0.000000,1.026800
2025-09-02,1.021700,1.021700,1.021700,1.021700,0.000000,1.021700
2025-09-03,1.022200,1.022200,1.022200,1.022200,0.000000,1.022200
2025-09-04,1.021800,1.021800,1.021800,1.021800,0.000000,1.021800
2025-09-05,1.030300,1.030300,1.030300,1.030300,0.000000,1.030300
2025-09-08,1.037100,1.037100,1.037100,1.037100,0.000000,1.037100
2025-09-09,1.039800,1.039800,1.039800,1.039800,0.000000,1.039800
2025-09-10,1.045300,1.045300,1.045300,1.045300,0.000000,1.045300
2025-09-11,1.051000,1.051000,1.051000,1.051000,0.000000,1.051000
2025-09-12,1.052900,1.052900,1.052900,1.052900,0.000000,1.052900
2025-09-15,1.054900,1.054900,1.054900,1.054900,0.000000,1.054900
2025-09-16,1.061000,1.061000,1.061000,1.061000,0.000000,1.061000
2025-09-17,1.063800,1.063800,1.063800,1.063800,0.000000,1.063800
2025-09-18,1.058600,1.058600,1.058600,1.058600,0.000000,1.058600
2025-09-19,,,,,,
2025-09-22,1.060700,1.060700,1.060700,1.060700,0.000000,1.060700
2025-09-23,1.062000,1.062000,1.062000,1.062000,0.000000,1.062000
2025-09-24,1.060100,1.060100,1.060100,1.060100,0.000000,1.060100
2025-09-25,1.052200,1.052200,1.052200,1.052200,0.000000,1.052200
2025-09-26,1.052000,1.052000,1.052000,1.052000,0.000000,1.052000
2025-09-29,1.058600,1.058600,1.058600,1.058600,0.000000,1.058600
2025-09-30,1.061800,1.061800,1.061800,1.061800,0.000000,1.061800
2025-10-01,1.065200,1.065200,1.065200,1.065200,0.000000,1.065200
2025-10-02,1.066200,1.066200,1.066200,1.066200,0.000000,1.066200
2025-10-03,1.069100,1.069100,1.069100,1.069100,0.000000,1.069100
2025-10-06,1.069500,1.069500,1.069500,1.069500,0.000000,1.069500
