Date,Open,High,Low,Close,Volume,Adj Close
2022-03-07,360.940002,360.940002,360.940002,360.940002,0.000000,360.940002
2022-03-08,353.459991,353.459991,353.459991,353.459991,0.000000,353.459991
2022-03-09,359.410004,359.410004,359.410004,359.410004,0.000000,359.410004
2022-03-10,,,,,,
2022-03-11,363.209991,363.209991,363.209991,363.209991,0.000000,363.209991
2022-03-14,361.929993,361.929993,361.929993,361.929993,0.000000,361.929993
2022-03-15,359.059998,359.059998,359.059998,359.059998,0.000000,359.059998
2022-03-16,371.000000,371.000000,371.000000,371.000000,0.000000,371.000000
2022-03-17,373.890015,373.890015,373.890015,373.890015,0.000000,373.890015
2022-03-18,377.579987,377.579987,377.579987,377.579987,0.000000,377.579987
2022-03-21,379.480011,379.480011,379.480011,379.480011,0.000000,379.480011
2022-03-22,382.000000,382.000000,382.000000,382.000000,0.000000,382.000000
2022-03-23,377.690002,377.690002,377.690002,377.690002,0.000000,377.690002
2022-03-24,375.529999,375.529999,375.529999,375.529999,0.000000,375.529999
2022-03-25,,,,,,
2022-03-28,379.970001,379.970001,379.970001,379.970001,0.000000,379.970001
2022-03-29,389.040009,389.040009,389.040009,389.040009,0.000000,389.040009
2022-03-30,388.579987,388.579987,388.579987,388.579987,0.000000,388.579987
2022-03-31,,,,,,
2022-04-01,382.640015,382.640015,382.640015,382.640015,0.000000,382.640015
2022-04-04,382.329987,382.329987,382.329987,382.329987,0.000000,382.329987
2022-04-05,382.320007,382.320007,382.320007,382.320007,0.000000,382.320007
2022-04-06,369.890015,369.890015,369.890015,369.890015,0.000000,369.890015
2022-04-07,372.600006,372.600006,372.600006,372.600006,0.000000,372.600006
2022-04-08,,,,,,
2022-04-11,368.149994,368.149994,368.149994,368.149994,0.000000,368.149994
2022-04-12,367.950012,367.950012,367.950012,367.950012,0.000000,367.950012
2022-04-13,362.329987,362.329987,362.329987,362.329987,0.000000,362.329987
2022-04-14,363.130005,363.130005,363.130005,363.130005,0.000000,363.130005
2022-04-18,,,,,,
2022-04-19,360.339996,360.339996,360.339996,360.339996,0.000000,360.339996
2022-04-20,368.450012,368.450012,368.450012,368.450012,0.000000,368.450012
2022-04-21,372.380005,372.380005,372.380005,372.380005,0.000000,372.380005
2022-04-22,359.760010,359.760010,359.760010,359.760010,0.000000,359.760010
2022-04-25,,,,,,
2022-04-26,351.989990,351.989990,351.989990,351.989990,0.000000,351.989990
2022-04-27,349.600006,349.600006,349.600006,349.600006,0.000000,349.600006
2022-04-28,351.079987,351.079987,351.079987,351.079987,0.000000,351.079987
2022-04-29,357.920013,357.920013,357.920013,357.920013,0.000000,357.920013
2022-05-02,348.190002,348.190002,348.190002,348.190002,0.000000,348.190002
2022-05-03,347.970001,347.970001,347.970001,347.970001,0.000000,347.970001
