Date,Open,High,Low,Close,Volume,Adj Close
2019-01-02,6.306800,6.306800,6.306800,6.306800,0.000000,6.306800
2019-01-03,6.311600,6.311600,6.311600,6.311600,0.000000,6.311600
2019-01-04,6.559700,6.559700,6.559700,6.559700,0.000000,6.559700
2019-01-07,6.676700,6.676700,6.676700,6.676700,0.000000,6.676700
2019-01-08,6.722300,6.722300,6.722300,6.722300,0.000000,6.722300
2019-01-09,6.823100,6.823100,6.823100,6.823100,0.000000,6.823100
2019-01-10,6.862400,6.862400,6.862400,6.862400,0.000000,6.862400
2019-01-11,6.833000,6.833000,6.833000,6.833000,0.000000,6.833000
2019-01-14,6.810700,6.810700,6.810700,6.810700,0.000000,6.810700
2019-01-15,6.871900,6.871900,6.871900,6.871900,0.000000,6.871900
2019-01-16,6.836700,6.836700,6.836700,6.836700,0.000000,6.836700
2019-01-17,6.877800,6.877800,6.877800,6.877800,0.000000,6.877800
2019-01-18,7.025000,7.025000,7.025000,7.025000,0.000000,7.025000
2019-01-22,6.860700,6.860700,6.860700,6.860700,0.000000,6.860700
2019-01-23,6.793800,6.793800,6.793800,6.793800,0.000000,6.793800
2019-01-24,6.842800,6.842800,6.842800,6.842800,0.000000,6.842800
2019-01-25,6.940100,6.940100,6.940100,6.940100,0.000000,6.940100
2019-01-28,6.858600,6.858600,6.858600,6.858600,0.000000,6.858600
2019-01-29,6.891200,6.891200,6.891200,6.891200,0.000000,6.891200
2019-01-30,6.991300,6.991300,6.991300,6.991300,0.000000,6.991300
2019-01-31,7.017400,7.017400,7.017400,7.017400,0.000000,7.017400
2019-02-01,7.044300,7.044300,7.044300,7.044300,0.000000,7.044300
2019-02-04,7.088700,7.088700,7.088700,7.088700,0.000000,7.088700
2019-02-05,7.098600,7.098600,7.098600,7.098600,0.000000,7.098600
2019-02-06,7.054300,7.054300,7.054300,7.054300,0.000000,7.054300
2019-02-07,6.884300,6.884300,6.884300,6.884300,0.000000,6.884300
2019-02-08,6.811800,6.811800,6.811800,6.811800,0.000000,6.811800
2019-02-11,6.843900,6.843900,6.843900,6.843900,0.000000,6.843900
2019-02-12,6.916700,6.916700,6.916700,6.916700,0.000000,6.916700
2019-02-13,6.984000,6.984000,6.984000,6.984000,0.000000,6.984000
2019-02-14,6.990900,6.990900,6.990900,6.990900,0.000000,6.990900
2019-02-15,7.116600,7.116600,7.116600,7.116600,0.000000,7.116600
2019-02-19,7.159700,7.159700,7.159700,7.159700,0.000000,7.159700
2019-02-20,7.242800,7.242800,7.242800,7.242800,0.000000,7.242800
2019-02-21,7.167200,7.167200,7.167200,7.167200,0.000000,7.167200
2019-02-22,7.165300,7.165300,7.165300,7.165300,0.000000,7.165300
2019-02-25,7.157500,7.157500,7.157500,7.157500,0.000000,7.157500
2019-02-26,7.133900,7.133900,7.133900,7.133900,0.000000,7.133900
2019-02-27,7.164100,7.164100,7.164100,7.164100,0.000000,7.164100
2019-02-28,7.107900,7.107900,7.107900,7.107900,0.000000,7.107900
2019-03-01,7.156400,7.156400,7.156400,7.156400,0.000000,7.156400
2019-03-04,7.128900,7.128900,7.128900,7.128900,0.000000,7.128900
2019-03-05,7.112600,7.112600,7.112600,7.112600,0.000000,7.112600
2019-03-06,7.042500,7.042500,7.042500,7.042500,0.000000,7.042500
2019-03-07,6.991400,6.991400,6.991400,6.991400,0.000000,6.991400
2019-03-08,6.831000,6.831000,6.831000,6.831000,0.000000,6.831000
2019-03-11,6.939500,6.939500,6.939500,6.939500,0.000000,6.939500
2019-03-12,7.001700,7.001700,7.001700,7.001700,0.000000,7.001700
2019-03-13,7.102200,7.102200,7.102200,7.102200,0.000000,7.102200
2019-03-14,7.133300,7.133300,7.133300,7.133300,0.000000,7.133300
2019-03-15,7.132400,7.132400,7.132400,7.132400,0.000000,7.132400
2019-03-18,,,,,,
2019-03-19,7.239600,7.239600,7.239600,7.239600,0.000000,7.239600
2019-03-20,7.296100,7.296100,7.296100,7.296100,0.000000,7.296100
2019-03-21,7.330500,7.330500,7.330500,7.330500,0.000000,7.330500
2019-03-22,7.137500,7.137500,7.137500,7.137500,0.000000,7.137500
2019-03-25,7.097200,7.097200,7.097200,7.097200,0.000000,7.097200
2019-03-26,7.193000,7.193000,7.193000,7.193000,0.000000,7.193000
2019-03-27,7.137800,7.137800,7.137800,7.137800,0.000000,7.137800
2019-03-28,7.150300,7.150300,7.150300,7.150300,0.000000,7.150300
2019-03-29,7.167600,7.167600,7.167600,7.167600,0.000000,7.167600
2019-04-01,7.283500,7.283500,7.283500,7.283500,0.000000,7.283500
2019-04-02,7.228200,7.228200,7.228200,7.228200,0.000000,7.228200
2019-04-03,7.195500,7.195500,7.195500,7.195500,0.000000,7.195500
2019-04-04,7.190700,7.190700,7.190700,7.190700,0.000000,7.190700
2019-04-05,7.331700,7.331700,7.331700,7.331700,0.000000,7.331700
2019-04-08,7.407400,7.407400,7.407400,7.407400,0.000000,7.407400
2019-04-09,7.330000,7.330000,7.330000,7.330000,0.000000,7.330000
2019-04-10,7.403800,7.403800,7.403800,7.403800,0.000000,7.403800
2019-04-11,7.360400,7.360400,7.360400,7.360400,0.000000,7.360400
2019-04-12,7.499500,7.499500,7.499500,7.499500,0.000000,7.499500
2019-04-15,7.457800,7.457800,7.457800,7.457800,0.000000,7.457800
2019-04-16,7.497300,7.497300,7.497300,7.497300,0.000000,7.497300
2019-04-17,7.539000,7.539000,7.539000,7.539000,0.000000,7.539000
2019-04-18,7.490800,7.490800,7.490800,7.490800,0.000000,7.490800
2019-04-22,,,,,,
2019-04-23,7.620600,7.620600,7.620600,7.620600,0.000000,7.620600
2019-04-24,7.496000,7.496000,7.496000,7.496000,0.000000,7.496000
2019-04-25,7.414700,7.414700,7.414700,7.414700,0.000000,7.414700
2019-04-26,7.333200,7.333200,7.333200,7.333200,0.000000,7.333200
2019-04-29,7.326700,7.326700,7.326700,7.326700,0.000000,7.326700
2019-04-30,7.299900,7.299900,7.299900,7.299900,0.000000,7.299900
2019-05-01,7.214800,7.214800,7.214800,7.214800,0.000000,7.214800
2019-05-02,7.081100,7.081100,7.081100,7.081100,0.000000,7.081100
2019-05-03,7.129000,7.129000,7.129000,7.129000,0.000000,7.129000
2019-05-06,,,,,,
2019-05-07,7.013200,7.013200,7.013200,7.013200,0.000000,7.013200
2019-05-08,7.022300,7.022300,7.022300,7.022300,0.000000,7.022300
2019-05-09,6.952900,6.952900,6.952900,6.952900,0.000000,6.952900
2019-05-10,6.953600,6.953600,6.953600,6.953600,0.000000,6.953600
2019-05-13,6.860700,6.860700,6.860700,6.860700,0.000000,6.860700
2019-05-14,6.998600,6.998600,6.998600,6.998600,0.000000,6.998600
2019-05-15,7.036100,7.036100,7.036100,7.036100,0.000000,7.036100
2019-05-16,7.118000,7.118000,7.118000,7.118000,0.000000,7.118000
2019-05-17,7.038300,7.038300,7.038300,7.038300,0.000000,7.038300
2019-05-20,7.046100,7.046100,7.046100,7.046100,0.000000,7.046100
2019-05-21,7.128000,7.128000,7.128000,7.128000,0.000000,7.128000
2019-05-22,7.001300,7.001300,7.001300,7.001300,0.000000,7.001300
2019-05-23,6.755900,6.755900,6.755900,6.755900,0.000000,6.755900
2019-05-24,6.762600,6.762600,6.762600,6.762600,0.000000,6.762600
2019-05-28,6.725400,6.725400,6.725400,6.725400,0.000000,6.725400
2019-05-29,6.698700,6.698700,6.698700,6.698700,0.000000,6.698700
2019-05-30,6.645800,6.645800,6.645800,6.645800,0.000000,6.645800
2019-05-31,6.565700,6.565700,6.565700,6.565700,0.000000,6.565700
2019-06-03,,,,,,
2019-06-04,6.653700,6.653700,6.653700,6.653700,0.000000,6.653700
2019-06-05,6.550300,6.550300,6.550300,6.550300,0.000000,6.550300
2019-06-06,6.600400,6.600400,6.600400,6.600400,0.000000,6.600400
2019-06-07,6.661500,6.661500,6.661500,6.661500,0.000000,6.661500
2019-06-10,6.691500,6.691500,6.691500,6.691500,0.000000,6.691500
2019-06-11,6.728300,6.728300,6.728300,6.728300,0.000000,6.728300
2019-06-12,6.586800,6.586800,6.586800,6.586800,0.000000,6.586800
2019-06-13,6.647900,6.647900,6.647900,6.647900,0.000000,6.647900
2019-06-14,6.587100,6.587100,6.587100,6.587100,0.000000,6.587100
2019-06-17,6.631100,6.631100,6.631100,6.631100,0.000000,6.631100
2019-06-18,6.728400,6.728400,6.728400,6.728400,0.000000,6.728400
2019-06-19,6.741700,6.741700,6.741700,6.741700,0.000000,6.741700
2019-06-20,6.920300,6.920300,6.920300,6.920300,0.000000,6.920300
2019-06-21,6.932100,6.932100,6.932100,6.932100,0.000000,6.932100
2019-06-24,6.902000,6.902000,6.902000,6.902000,0.000000,6.902000
2019-06-25,6.871900,6.871900,6.871900,6.871900,0.000000,6.871900
2019-06-26,6.973000,6.973000,6.973000,6.973000,0.000000,6.973000
2019-06-27,6.918000,6.918000,6.918000,6.918000,0.000000,6.918000
2019-06-28,6.960700,6.960700,6.960700,6.960700,0.000000,6.960700
2019-07-01,7.008300,7.008300,7.008300,7.008300,0.000000,7.008300
2019-07-02,6.890600,6.890600,6.890600,6.890600,0.000000,6.890600
2019-07-03,6.894400,6.894400,6.894400,6.894400,0.000000,6.894400
2019-07-05,6.889300,6.889300,6.889300,6.889300,0.000000,6.889300
2019-07-08,6.868200,6.868200,6.868200,6.868200,0.000000,6.868200
2019-07-09,6.881900,6.881900,6.881900,6.881900,0.000000,6.881900
2019-07-10,6.971500,6.971500,6.971500,6.971500,0.000000,6.971500
2019-07-11,7.002200,7.002200,7.002200,7.002200,0.000000,7.002200
2019-07-12,7.016400,7.016400,7.016400,7.016400,0.000000,7.016400
2019-07-15,6.936200,6.936200,6.936200,6.936200,0.000000,6.936200
2019-07-16,6.850100,6.850100,6.850100,6.850100,0.000000,6.850100
2019-07-17,6.725700,6.725700,6.725700,6.725700,0.000000,6.725700
2019-07-18,6.672900,6.672900,6.672900,6.672900,0.000000,6.672900
2019-07-19,6.724900,6.724900,6.724900,6.724900,0.000000,6.724900
2019-07-22,6.768600,6.768600,6.768600,6.768600,0.000000,6.768600
2019-07-23,6.785200,6.785200,6.785200,6.785200,0.000000,6.785200
2019-07-24,6.787000,6.787000,6.787000,6.787000,0.000000,6.787000
2019-07-25,6.680300,6.680300,6.680300,6.680300,0.000000,6.680300
2019-07-26,6.663900,6.663900,6.663900,6.663900,0.000000,6.663900
2019-07-29,6.608300,6.608300,6.608300,6.608300,0.000000,6.608300
2019-07-30,6.693400,6.693400,6.693400,6.693400,0.000000,6.693400
2019-07-31,6.716600,6.716600,6.716600,6.716600,0.000000,6.716600
2019-08-01,6.589900,6.589900,6.589900,6.589900,0.000000,6.589900
2019-08-02,6.454600,6.454600,6.454600,6.454600,0.000000,6.454600
2019-08-05,,,,,,
2019-08-06,6.240100,6.240100,6.240100,6.240100,0.000000,6.240100
2019-08-07,6.156400,6.156400,6.156400,6.156400,0.000000,6.156400
2019-08-08,6.269500,6.269500,6.269500,6.269500,0.000000,6.269500
2019-08-09,6.223100,6.223100,6.223100,6.223100,0.000000,6.223100
2019-08-12,6.179200,6.179200,6.179200,6.179200,0.000000,6.179200
2019-08-13,6.223500,6.223500,6.223500,6.223500,0.000000,6.223500
2019-08-14,6.022200,6.022200,6.022200,6.022200,0.000000,6.022200
2019-08-15,5.975200,5.975200,5.975200,5.975200,0.000000,5.975200
2019-08-16,6.042600,6.042600,6.042600,6.042600,0.000000,6.042600
2019-08-19,6.189100,6.189100,6.189100,6.189100,0.000000,6.189100
2019-08-20,6.145600,6.145600,6.145600,6.145600,0.000000,6.145600
2019-08-21,6.196800,6.196800,6.196800,6.196800,0.000000,6.196800
2019-08-22,6.164900,6.164900,6.164900,6.164900,0.000000,6.164900
2019-08-23,6.004300,6.004300,6.004300,6.004300,0.000000,6.004300
2019-08-26,5.993700,5.993700,5.993700,5.993700,0.000000,5.993700
2019-08-27,5.970500,5.970500,5.970500,5.970500,0.000000,5.970500
2019-08-28,6.066100,6.066100,6.066100,6.066100,0.000000,6.066100
2019-08-29,6.154100,6.154100,6.154100,6.154100,0.000000,6.154100
2019-08-30,6.157600,6.157600,6.157600,6.157600,0.000000,6.157600
2019-09-03,6.091600,6.091600,6.091600,6.091600,0.000000,6.091600
2019-09-04,6.198300,6.198300,6.198300,6.198300,0.000000,6.198300
2019-09-05,6.331700,6.331700,6.331700,6.331700,0.000000,6.331700
2019-09-06,6.315300,6.315300,6.315300,6.315300,0.000000,6.315300
2019-09-09,6.454100,6.454100,6.454100,6.454100,0.000000,6.454100
2019-09-10,6.566800,6.566800,6.566800,6.566800,0.000000,6.566800
2019-09-11,6.586200,6.586200,6.586200,6.586200,0.000000,6.586200
2019-09-12,6.531200,6.531200,6.531200,6.531200,0.000000,6.531200
2019-09-13,6.596300,6.596300,6.596300,6.596300,0.000000,6.596300
2019-09-16,6.951900,6.951900,6.951900,6.951900,0.000000,6.951900
2019-09-17,6.832600,6.832600,6.832600,6.832600,0.000000,6.832600
2019-09-18,6.787600,6.787600,6.787600,6.787600,0.000000,6.787600
2019-09-19,6.766400,6.766400,6.766400,6.766400,0.000000,6.766400
2019-09-20,6.770600,6.770600,6.770600,6.770600,0.000000,6.770600
2019-09-23,6.753800,6.753800,6.753800,6.753800,0.000000,6.753800
2019-09-24,6.640500,6.640500,6.640500,6.640500,0.000000,6.640500
2019-09-25,6.597400,6.597400,6.597400,6.597400,0.000000,6.597400
2019-09-26,6.553400,6.553400,6.553400,6.553400,0.000000,6.553400
2019-09-27,6.555700,6.555700,6.555700,6.555700,0.000000,6.555700
2019-09-30,6.509000,6.509000,6.509000,6.509000,0.000000,6.509000
2019-10-01,6.401600,6.401600,6.401600,6.401600,0.000000,6.401600
2019-10-02,6.237400,6.237400,6.237400,6.237400,0.000000,6.237400
2019-10-03,6.252800,6.252800,6.252800,6.252800,0.000000,6.252800
2019-10-04,6.246700,6.246700,6.246700,6.246700,0.000000,6.246700
2019-10-07,6.248000,6.248000,6.248000,6.248000,0.000000,6.248000
2019-10-08,6.124400,6.124400,6.124400,6.124400,0.000000,6.124400
2019-10-09,6.143100,6.143100,6.143100,6.143100,0.000000,6.143100
2019-10-10,6.208800,6.208800,6.208800,6.208800,0.000000,6.208800
2019-10-11,6.359600,6.359600,6.359600,6.359600,0.000000,6.359600
2019-10-14,6.311300,6.311300,6.311300,6.311300,0.000000,6.311300
2019-10-15,6.337100,6.337100,6.337100,6.337100,0.000000,6.337100
2019-10-16,6.298300,6.298300,6.298300,6.298300,0.000000,6.298300
2019-10-17,6.316100,6.316100,6.316100,6.316100,0.000000,6.316100
2019-10-18,6.288200,6.288200,6.288200,6.288200,0.000000,6.288200
2019-10-21,6.373100,6.373100,6.373100,6.373100,0.000000,6.373100
2019-10-22,6.451300,6.451300,6.451300,6.451300,0.000000,6.451300
2019-10-23,6.495900,6.495900,6.495900,6.495900,0.000000,6.495900
2019-10-24,6.515200,6.515200,6.515200,6.515200,0.000000,6.515200
2019-10-25,6.540900,6.540900,6.540900,6.540900,0.000000,6.540900
2019-10-28,,,,,,
2019-10-29,6.533500,6.533500,6.533500,6.533500,0.000000,6.533500
2019-10-30,6.420000,6.420000,6.420000,6.420000,0.000000,6.420000
2019-10-31,6.351400,6.351400,6.351400,6.351400,0.000000,6.351400
2019-11-01,6.514400,6.514400,6.514400,6.514400,0.000000,6.514400
2019-11-04,6.683200,6.683200,6.683200,6.683200,0.000000,6.683200
2019-11-05,6.709400,6.709400,6.709400,6.709400,0.000000,6.709400
2019-11-06,6.627000,6.627000,6.627000,6.627000,0.000000,6.627000
2019-11-07,6.699600,6.699600,6.699600,6.699600,0.000000,6.699600
2019-11-08,6.702100,6.702100,6.702100,6.702100,0.000000,6.702100
2019-11-11,6.657700,6.657700,6.657700,6.657700,0.000000,6.657700
2019-11-12,6.631900,6.631900,6.631900,6.631900,0.000000,6.631900
