Date,Open,High,Low,Close,Volume,Adj Close
2019-01-02,2.621200,2.621200,2.621200,2.621200,0.000000,2.621200
2019-01-03,2.615700,2.615700,2.615700,2.615700,0.000000,2.615700
2019-01-04,2.619900,2.619900,2.619900,2.619900,0.000000,2.619900
2019-01-07,2.670400,2.670400,2.670400,2.670400,0.000000,2.670400
2019-01-08,2.673000,2.673000,2.673000,2.673000,0.000000,2.673000
2019-01-09,2.716800,2.716800,2.716800,2.716800,0.000000,2.716800
2019-01-10,2.739100,2.739100,2.739100,2.739100,0.000000,2.739100
2019-01-11,2.748600,2.748600,2.748600,2.748600,0.000000,2.748600
2019-01-14,2.716900,2.716900,2.716900,2.716900,0.000000,2.716900
2019-01-15,2.754400,2.754400,2.754400,2.754400,0.000000,2.754400
2019-01-16,2.764000,2.764000,2.764000,2.764000,0.000000,2.764000
2019-01-17,2.759100,2.759100,2.759100,2.759100,0.000000,2.759100
2019-01-18,2.786400,2.786400,2.786400,2.786400,0.000000,2.786400
2019-01-22,2.773600,2.773600,2.773600,2.773600,0.000000,2.773600
2019-01-23,2.756700,2.756700,2.756700,2.756700,0.000000,2.756700
2019-01-24,2.761900,2.761900,2.761900,2.761900,0.000000,2.761900
2019-01-25,2.803200,2.803200,2.803200,2.803200,0.000000,2.803200
2019-01-28,2.804900,2.804900,2.804900,2.804900,0.000000,2.804900
2019-01-29,2.800300,2.800300,2.800300,2.800300,0.000000,2.800300
2019-01-30,2.801800,2.801800,2.801800,2.801800,0.000000,2.801800
2019-01-31,2.850600,2.850600,2.850600,2.850600,0.000000,2.850600
2019-02-01,2.866000,2.866000,2.866000,2.866000,0.000000,2.866000
2019-02-04,2.859500,2.859500,2.859500,2.859500,0.000000,2.859500
2019-02-05,2.873500,2.873500,2.873500,2.873500,0.000000,2.873500
2019-02-06,2.881100,2.881100,2.881100,2.881100,0.000000,2.881100
2019-02-07,2.859000,2.859000,2.859000,2.859000,0.000000,2.859000
2019-02-08,2.839300,2.839300,2.839300,2.839300,0.000000,2.839300
2019-02-11,2.856000,2.856000,2.856000,2.856000,0.000000,2.856000
2019-02-12,2.858900,2.858900,2.858900,2.858900,0.000000,2.858900
2019-02-13,2.870300,2.870300,2.870300,2.870300,0.000000,2.870300
2019-02-14,2.860700,2.860700,2.860700,2.860700,0.000000,2.860700
