Date,Open,High,Low,Close,Volume,Adj Close
2019-01-02,2.786700,2.786700,2.786700,2.786700,0.000000,2.786700
2019-01-03,2.792100,2.792100,2.792100,2.792100,0.000000,2.792100
2019-01-04,2.830900,2.830900,2.830900,2.830900,0.000000,2.830900
2019-01-07,2.808100,2.808100,2.808100,2.808100,0.000000,2.808100
2019-01-08,2.818100,2.818100,2.818100,2.818100,0.000000,2.818100
2019-01-09,2.824400,2.824400,2.824400,2.824400,0.000000,2.824400
2019-01-10,2.854900,2.854900,2.854900,2.854900,0.000000,2.854900
2019-01-11,2.849500,2.849500,2.849500,2.849500,0.000000,2.849500
2019-01-14,2.789800,2.789800,2.789800,2.789800,0.000000,2.789800
2019-01-15,2.785700,2.785700,2.785700,2.785700,0.000000,2.785700
2019-01-16,2.799200,2.799200,2.799200,2.799200,0.000000,2.799200
2019-01-17,2.806500,2.806500,2.806500,2.806500,0.000000,2.806500
2019-01-18,2.841600,2.841600,2.841600,2.841600,0.000000,2.841600
2019-01-22,2.839100,2.839100,2.839100,2.839100,0.000000,2.839100
2019-01-23,2.848500,2.848500,2.848500,2.848500,0.000000,2.848500
2019-01-24,2.893900,2.893900,2.893900,2.893900,0.000000,2.893900
2019-01-25,2.892800,2.892800,2.892800,2.892800,0.000000,2.892800
2019-01-28,2.885800,2.885800,2.885800,2.885800,0.000000,2.885800
2019-01-29,2.923500,2.923500,2.923500,2.923500,0.000000,2.923500
2019-01-30,2.929100,2.929100,2.929100,2.929100,0.000000,2.929100
2019-01-31,2.928400,2.928400,2.928400,2.928400,0.000000,2.928400
2019-02-01,2.925000,2.925000,2.925000,2.925000,0.000000,2.925000
2019-02-04,2.931400,2.931400,2.931400,2.931400,0.000000,2.931400
2019-02-05,2.953800,2.953800,2.953800,2.953800,0.000000,2.953800
2019-02-06,2.952100,2.952100,2.952100,2.952100,0.000000,2.952100
2019-02-07,2.936800,2.936800,2.936800,2.936800,0.000000,2.936800
2019-02-08,2.919300,2.919300,2.919300,2.919300,0.000000,2.919300
2019-02-11,2.939300,2.939300,2.939300,2.939300,0.000000,2.939300
2019-02-12,2.945700,2.945700,2.945700,2.945700,0.000000,2.945700
2019-02-13,2.948600,2.948600,2.948600,2.948600,0.000000,2.948600
2019-02-14,2.951300,2.951300,2.951300,2.951300,0.000000,2.951300
2019-02-15,2.948100,2.948100,2.948100,2.948100,0.000000,2.948100
2019-02-19,2.967500,2.967500,2.967500,2.967500,0.000000,2.967500
2019-02-20,2.985200,2.985200,2.985200,2.985200,0.000000,2.985200
2019-02-21,3.000600,3.000600,3.000600,3.000600,0.000000,3.000600
2019-02-22,3.002900,3.002900,3.002900,3.002900,0.000000,3.002900
2019-02-25,3.000000,3.000000,3.000000,3.000000,0.000000,3.000000
2019-02-26,2.992500,2.992500,2.992500,2.992500,0.000000,2.992500
2019-02-27,2.975900,2.975900,2.975900,2.975900,0.000000,2.975900
2019-02-28,2.990600,2.990600,2.990600,2.990600,0.000000,2.990600
2019-03-01,2.990600,2.990600,2.990600,2.990600,0.000000,2.990600
2019-03-04,2.987900,2.987900,2.987900,2.987900,0.000000,2.987900
2019-03-05,2.973400,2.973400,2.973400,2.973400,0.000000,2.973400
2019-03-06,2.985300,2.985300,2.985300,2.985300,0.000000,2.985300
2019-03-07,2.999000,2.999000,2.999000,2.999000,0.000000,2.999000
2019-03-08,2.992500,2.992500,2.992500,2.992500,0.000000,2.992500
2019-03-11,2.993300,2.993300,2.993300,2.993300,0.000000,2.993300
2019-03-12,2.997100,2.997100,2.997100,2.997100,0.000000,2.997100
2019-03-13,2.986500,2.986500,2.986500,2.986500,0.000000,2.986500
2019-03-14,2.996300,2.996300,2.996300,2.996300,0.000000,2.996300
2019-03-15,3.006600,3.006600,3.006600,3.006600,0.000000,3.006600
2019-03-18,3.024600,3.024600,3.024600,3.024600,0.000000,3.024600
2019-03-19,3.031200,3.031200,3.031200,3.031200,0.000000,3.031200
2019-03-20,3.012900,3.012900,3.012900,3.012900,0.000000,3.012900
2019-03-21,3.017300,3.017300,3.017300,3.017300,0.000000,3.017300
2019-03-22,3.002600,3.002600,3.002600,3.002600,0.000000,3.002600
2019-03-25,2.992700,2.992700,2.992700,2.992700,0.000000,2.992700
2019-03-26,3.012700,3.012700,3.012700,3.012700,0.000000,3.012700
2019-03-27,3.010300,3.010300,3.010300,3.010300,0.000000,3.010300
2019-03-28,2.995200,2.995200,2.995200,2.995200,0.000000,2.995200
2019-03-29,3.007600,3.007600,3.007600,3.007600,0.000000,3.007600
2019-04-01,3.006400,3.006400,3.006400,3.006400,0.000000,3.006400
2019-04-02,3.016200,3.016200,3.016200,3.016200,0.000000,3.016200
2019-04-03,3.026900,3.026900,3.026900,3.026900,0.000000,3.026900
2019-04-04,3.020300,3.020300,3.020300,3.020300,0.000000,3.020300
2019-04-05,3.029900,3.029900,3.029900,3.029900,0.000000,3.029900
2019-04-08,3.032600,3.032600,3.032600,3.032600,0.000000,3.032600
2019-04-09,3.012900,3.012900,3.012900,3.012900,0.000000,3.012900
2019-04-10,3.024700,3.024700,3.024700,3.024700,0.000000,3.024700
2019-04-11,3.019100,3.019100,3.019100,3.019100,0.000000,3.019100
2019-04-12,3.028600,3.028600,3.028600,3.028600,0.000000,3.028600
2019-04-15,3.017000,3.017000,3.017000,3.017000,0.000000,3.017000
2019-04-16,3.010800,3.010800,3.010800,3.010800,0.000000,3.010800
2019-04-17,3.013400,3.013400,3.013400,3.013400,0.000000,3.013400
2019-04-18,3.024500,3.024500,3.024500,3.024500,0.000000,3.024500
2019-04-22,,,,,,
2019-04-23,3.042000,3.042000,3.042000,3.042000,0.000000,3.042000
2019-04-24,3.058200,3.058200,3.058200,3.058200,0.000000,3.058200
2019-04-25,3.060900,3.060900,3.060900,3.060900,0.000000,3.060900
2019-04-26,3.083900,3.083900,3.083900,3.083900,0.000000,3.083900
2019-04-29,3.074700,3.074700,3.074700,3.074700,0.000000,3.074700
2019-04-30,3.081600,3.081600,3.081600,3.081600,0.000000,3.081600
2019-05-01,3.063600,3.063600,3.063600,3.063600,0.000000,3.063600
2019-05-02,3.059000,3.059000,3.059000,3.059000,0.000000,3.059000
2019-05-03,3.067700,3.067700,3.067700,3.067700,0.000000,3.067700
2019-05-06,3.055400,3.055400,3.055400,3.055400,0.000000,3.055400
2019-05-07,3.045100,3.045100,3.045100,3.045100,0.000000,3.045100
2019-05-08,3.029600,3.029600,3.029600,3.029600,0.000000,3.029600
2019-05-09,3.036600,3.036600,3.036600,3.036600,0.000000,3.036600
2019-05-10,3.065300,3.065300,3.065300,3.065300,0.000000,3.065300
2019-05-13,3.044900,3.044900,3.044900,3.044900,0.000000,3.044900
2019-05-14,3.068400,3.068400,3.068400,3.068400,0.000000,3.068400
2019-05-15,3.054800,3.054800,3.054800,3.054800,0.000000,3.054800
2019-05-16,3.057300,3.057300,3.057300,3.057300,0.000000,3.057300
2019-05-17,3.061100,3.061100,3.061100,3.061100,0.000000,3.061100
2019-05-20,3.047600,3.047600,3.047600,3.047600,0.000000,3.047600
2019-05-21,3.069800,3.069800,3.069800,3.069800,0.000000,3.069800
2019-05-22,3.073000,3.073000,3.073000,3.073000,0.000000,3.073000
2019-05-23,3.048100,3.048100,3.048100,3.048100,0.000000,3.048100
2019-05-24,3.065200,3.065200,3.065200,3.065200,0.000000,3.065200
2019-05-28,3.062800,3.062800,3.062800,3.062800,0.000000,3.062800
2019-05-29,3.036300,3.036300,3.036300,3.036300,0.000000,3.036300
2019-05-30,3.030000,3.030000,3.030000,3.030000,0.000000,3.030000
2019-05-31,3.034800,3.034800,3.034800,3.034800,0.000000,3.034800
2019-06-03,3.042600,3.042600,3.042600,3.042600,0.000000,3.042600
2019-06-04,3.060000,3.060000,3.060000,3.060000,0.000000,3.060000
2019-06-05,3.092700,3.092700,3.092700,3.092700,0.000000,3.092700
2019-06-06,3.109500,3.109500,3.109500,3.109500,0.000000,3.109500
2019-06-07,3.139900,3.139900,3.139900,3.139900,0.000000,3.139900
2019-06-10,3.138000,3.138000,3.138000,3.138000,0.000000,3.138000
2019-06-11,3.141100,3.141100,3.141100,3.141100,0.000000,3.141100
2019-06-12,3.152200,3.152200,3.152200,3.152200,0.000000,3.152200
2019-06-13,3.151700,3.151700,3.151700,3.151700,0.000000,3.151700
2019-06-14,3.153600,3.153600,3.153600,3.153600,0.000000,3.153600
2019-06-17,3.150500,3.150500,3.150500,3.150500,0.000000,3.150500
2019-06-18,3.193800,3.193800,3.193800,3.193800,0.000000,3.193800
2019-06-19,3.197000,3.197000,3.197000,3.197000,0.000000,3.197000
2019-06-20,3.210700,3.210700,3.210700,3.210700,0.000000,3.210700
2019-06-21,3.188600,3.188600,3.188600,3.188600,0.000000,3.188600
2019-06-24,3.187300,3.187300,3.187300,3.187300,0.000000,3.187300
2019-06-25,3.178500,3.178500,3.178500,3.178500,0.000000,3.178500
2019-06-26,3.142400,3.142400,3.142400,3.142400,0.000000,3.142400
2019-06-27,3.136000,3.136000,3.136000,3.136000,0.000000,3.136000
2019-06-28,3.148700,3.148700,3.148700,3.148700,0.000000,3.148700
2019-07-01,3.149600,3.149600,3.149600,3.149600,0.000000,3.149600
2019-07-02,3.193500,3.193500,3.193500,3.193500,0.000000,3.193500
2019-07-03,3.241200,3.241200,3.241200,3.241200,0.000000,3.241200
2019-07-05,3.212900,3.212900,3.212900,3.212900,0.000000,3.212900
2019-07-08,3.200100,3.200100,3.200100,3.200100,0.000000,3.200100
2019-07-09,3.203300,3.203300,3.203300,3.203300,0.000000,3.203300
2019-07-10,3.208100,3.208100,3.208100,3.208100,0.000000,3.208100
2019-07-11,3.217800,3.217800,3.217800,3.217800,0.000000,3.217800
2019-07-12,3.222100,3.222100,3.222100,3.222100,0.000000,3.222100
2019-07-15,3.212300,3.212300,3.212300,3.212300,0.000000,3.212300
2019-07-16,3.208600,3.208600,3.208600,3.208600,0.000000,3.208600
2019-07-17,3.176400,3.176400,3.176400,3.176400,0.000000,3.176400
2019-07-18,3.197800,3.197800,3.197800,3.197800,0.000000,3.197800
2019-07-19,3.176100,3.176100,3.176100,3.176100,0.000000,3.176100
2019-07-22,3.187700,3.187700,3.187700,3.187700,0.000000,3.187700
2019-07-23,3.193600,3.193600,3.193600,3.193600,0.000000,3.193600
2019-07-24,3.189800,3.189800,3.189800,3.189800,0.000000,3.189800
2019-07-25,3.181400,3.181400,3.181400,3.181400,0.000000,3.181400
2019-07-26,3.201200,3.201200,3.201200,3.201200,0.000000,3.201200
2019-07-29,3.230100,3.230100,3.230100,3.230100,0.000000,3.230100
2019-07-30,3.194500,3.194500,3.194500,3.194500,0.000000,3.194500
2019-07-31,3.179900,3.179900,3.179900,3.179900,0.000000,3.179900
2019-08-01,3.183400,3.183400,3.183400,3.183400,0.000000,3.183400
2019-08-02,3.170500,3.170500,3.170500,3.170500,0.000000,3.170500
2019-08-05,3.109200,3.109200,3.109200,3.109200,0.000000,3.109200
2019-08-06,3.104900,3.104900,3.104900,3.104900,0.000000,3.104900
2019-08-07,3.115600,3.115600,3.115600,3.115600,0.000000,3.115600
2019-08-08,3.144500,3.144500,3.144500,3.144500,0.000000,3.144500
2019-08-09,3.124300,3.124300,3.124300,3.124300,0.000000,3.124300
2019-08-12,3.106800,3.106800,3.106800,3.106800,0.000000,3.106800
2019-08-13,3.137700,3.137700,3.137700,3.137700,0.000000,3.137700
2019-08-14,3.070600,3.070600,3.070600,3.070600,0.000000,3.070600
2019-08-15,3.081600,3.081600,3.081600,3.081600,0.000000,3.081600
2019-08-16,3.122600,3.122600,3.122600,3.122600,0.000000,3.122600
2019-08-19,3.162800,3.162800,3.162800,3.162800,0.000000,3.162800
2019-08-20,3.127100,3.127100,3.127100,3.127100,0.000000,3.127100
2019-08-21,3.160600,3.160600,3.160600,3.160600,0.000000,3.160600
2019-08-22,3.142700,3.142700,3.142700,3.142700,0.000000,3.142700
2019-08-23,3.110200,3.110200,3.110200,3.110200,0.000000,3.110200
2019-08-26,3.131400,3.131400,3.131400,3.131400,0.000000,3.131400
2019-08-27,3.146500,3.146500,3.146500,3.146500,0.000000,3.146500
2019-08-28,3.147800,3.147800,3.147800,3.147800,0.000000,3.147800
2019-08-29,3.185300,3.185300,3.185300,3.185300,0.000000,3.185300
2019-08-30,3.178700,3.178700,3.178700,3.178700,0.000000,3.178700
2019-09-03,3.181200,3.181200,3.181200,3.181200,0.000000,3.181200
2019-09-04,3.201300,3.201300,3.201300,3.201300,0.000000,3.201300
2019-09-05,3.208000,3.208000,3.208000,3.208000,0.000000,3.208000
2019-09-06,3.191500,3.191500,3.191500,3.191500,0.000000,3.191500
2019-09-09,3.161400,3.161400,3.161400,3.161400,0.000000,3.161400
2019-09-10,3.159600,3.159600,3.159600,3.159600,0.000000,3.159600
2019-09-11,3.165400,3.165400,3.165400,3.165400,0.000000,3.165400
2019-09-12,3.196500,3.196500,3.196500,3.196500,0.000000,3.196500
2019-09-13,3.176200,3.176200,3.176200,3.176200,0.000000,3.176200
2019-09-16,3.144900,3.144900,3.144900,3.144900,0.000000,3.144900
2019-09-17,3.157800,3.157800,3.157800,3.157800,0.000000,3.157800
2019-09-18,3.180200,3.180200,3.180200,3.180200,0.000000,3.180200
2019-09-19,3.185100,3.185100,3.185100,3.185100,0.000000,3.185100
2019-09-20,3.184600,3.184600,3.184600,3.184600,0.000000,3.184600
2019-09-23,3.185100,3.185100,3.185100,3.185100,0.000000,3.185100
2019-09-24,3.210300,3.210300,3.210300,3.210300,0.000000,3.210300
2019-09-25,3.209100,3.209100,3.209100,3.209100,0.000000,3.209100
2019-09-26,3.256700,3.256700,3.256700,3.256700,0.000000,3.256700
2019-09-27,3.236400,3.236400,3.236400,3.236400,0.000000,3.236400
2019-09-30,3.265400,3.265400,3.265400,3.265400,0.000000,3.265400
2019-10-01,3.236300,3.236300,3.236300,3.236300,0.000000,3.236300
2019-10-02,3.161400,3.161400,3.161400,3.161400,0.000000,3.161400
2019-10-03,3.174600,3.174600,3.174600,3.174600,0.000000,3.174600
2019-10-04,3.202500,3.202500,3.202500,3.202500,0.000000,3.202500
2019-10-07,3.213000,3.213000,3.213000,3.213000,0.000000,3.213000
2019-10-08,3.183000,3.183000,3.183000,3.183000,0.000000,3.183000
2019-10-09,3.196600,3.196600,3.196600,3.196600,0.000000,3.196600
2019-10-10,3.207100,3.207100,3.207100,3.207100,0.000000,3.207100
2019-10-11,3.270500,3.270500,3.270500,3.270500,0.000000,3.270500
2019-10-14,3.259100,3.259100,3.259100,3.259100,0.000000,3.259100
2019-10-15,3.294000,3.294000,3.294000,3.294000,0.000000,3.294000
2019-10-16,3.294700,3.294700,3.294700,3.294700,0.000000,3.294700
2019-10-17,3.308700,3.308700,3.308700,3.308700,0.000000,3.308700
2019-10-18,3.307100,3.307100,3.307100,3.307100,0.000000,3.307100
