Date,Open,High,Low,Close,Volume,Adj Close
2019-01-02,2.673000,2.673000,2.673000,2.673000,0.000000,2.148716
2019-01-03,2.678200,2.678200,2.678200,2.678200,0.000000,2.152896
2019-01-04,2.715400,2.715400,2.715400,2.715400,0.000000,2.182800
2019-01-07,2.693500,2.693500,2.693500,2.693500,0.000000,2.165196
2019-01-08,2.703200,2.703200,2.703200,2.703200,0.000000,2.172993
2019-01-09,2.709200,2.709200,2.709200,2.709200,0.000000,2.177816
2019-01-10,2.738400,2.738400,2.738400,2.738400,0.000000,2.201289
2019-01-11,2.733300,2.733300,2.733300,2.733300,0.000000,2.197189
2019-01-14,2.676000,2.676000,2.676000,2.676000,0.000000,2.151128
2019-01-15,2.672000,2.672000,2.672000,2.672000,0.000000,2.147912
2019-01-16,2.685100,2.685100,2.685100,2.685100,0.000000,2.158442
2019-01-17,2.692000,2.692000,2.692000,2.692000,0.000000,2.163990
2019-01-18,2.725700,2.725700,2.725700,2.725700,0.000000,2.191079
2019-01-22,2.723300,2.723300,2.723300,2.723300,0.000000,2.189151
2019-01-23,2.732300,2.732300,2.732300,2.732300,0.000000,2.196385
2019-01-24,2.775900,2.775900,2.775900,2.775900,0.000000,2.231433
2019-01-25,2.774800,2.774800,2.774800,2.774800,0.000000,2.230549
2019-01-28,2.768100,2.768100,2.768100,2.768100,0.000000,2.225163
2019-01-29,2.804200,2.804200,2.804200,2.804200,0.000000,2.254182
2019-01-30,2.809600,2.809600,2.809600,2.809600,0.000000,2.258523
2019-01-31,2.809000,2.809000,2.809000,2.809000,0.000000,2.258041
2019-02-01,2.805700,2.805700,2.805700,2.805700,0.000000,2.255388
2019-02-04,2.811800,2.811800,2.811800,2.811800,0.000000,2.260292
2019-02-05,2.833300,2.833300,2.833300,2.833300,0.000000,2.277575
2019-02-06,2.831700,2.831700,2.831700,2.831700,0.000000,2.276289
2019-02-07,2.817000,2.817000,2.817000,2.817000,0.000000,2.264472
2019-02-08,2.800300,2.800300,2.800300,2.800300,0.000000,2.251047
2019-02-11,2.819400,2.819400,2.819400,2.819400,0.000000,2.266401
2019-02-12,2.825500,2.825500,2.825500,2.825500,0.000000,2.271305
2019-02-13,2.828300,2.828300,2.828300,2.828300,0.000000,2.273555
2019-02-14,2.830900,2.830900,2.830900,2.830900,0.000000,2.275646
2019-02-15,2.827800,2.827800,2.827800,2.827800,0.000000,2.273154
2019-02-19,2.846400,2.846400,2.846400,2.846400,0.000000,2.288105
2019-02-20,2.863400,2.863400,2.863400,2.863400,0.000000,2.301771
2019-02-21,2.878200,2.878200,2.878200,2.878200,0.000000,2.313668
2019-02-22,2.880400,2.880400,2.880400,2.880400,0.000000,2.315436
2019-02-25,2.877600,2.877600,2.877600,2.877600,0.000000,2.313186
2019-02-26,2.870400,2.870400,2.870400,2.870400,0.000000,2.307398
2019-02-27,2.854500,2.854500,2.854500,2.854500,0.000000,2.294617
2019-02-28,2.868600,2.868600,2.868600,2.868600,0.000000,2.305951
2019-03-01,2.868600,2.868600,2.868600,2.868600,0.000000,2.305951
2019-03-04,2.866000,2.866000,2.866000,2.866000,0.000000,2.303861
2019-03-05,2.852100,2.852100,2.852100,2.852100,0.000000,2.292687
2019-03-06,2.863500,2.863500,2.863500,2.863500,0.000000,2.301851
2019-03-07,2.876600,2.876600,2.876600,2.876600,0.000000,2.312382
2019-03-08,2.870400,2.870400,2.870400,2.870400,0.000000,2.307398
2019-03-11,2.871200,2.871200,2.871200,2.871200,0.000000,2.308041
2019-03-12,2.874800,2.874800,2.874800,2.874800,0.000000,2.310935
2019-03-13,2.864600,2.864600,2.864600,2.864600,0.000000,2.302735
2019-03-14,2.874100,2.874100,2.874100,2.874100,0.000000,2.310372
2019-03-15,2.883900,2.883900,2.883900,2.883900,0.000000,2.318250
2019-03-18,2.901200,2.901200,2.901200,2.901200,0.000000,2.332157
2019-03-19,2.907600,2.907600,2.907600,2.907600,0.000000,2.337301
2019-03-20,2.889900,2.889900,2.889900,2.889900,0.000000,2.323073
2019-03-21,2.894300,2.894300,2.894300,2.894300,0.000000,2.326610
2019-03-22,2.880100,2.880100,2.880100,2.880100,0.000000,2.315195
2019-03-25,2.870600,2.870600,2.870600,2.870600,0.000000,2.307559
2019-03-26,2.889900,2.889900,2.889900,2.889900,0.000000,2.323073
2019-03-27,2.887500,2.887500,2.887500,2.887500,0.000000,2.321144
2019-03-28,2.873000,2.873000,2.873000,2.873000,0.000000,2.309488
2019-03-29,2.884900,2.884900,2.884900,2.884900,0.000000,2.319054
2019-04-01,2.848100,2.848100,2.848100,2.848100,0.000000,2.318188
2019-04-02,2.857600,2.857600,2.857600,2.857600,0.000000,2.325921
2019-04-03,2.867500,2.867500,2.867500,2.867500,0.000000,2.333979
2019-04-04,2.861400,2.861400,2.861400,2.861400,0.000000,2.329013
2019-04-05,2.870700,2.870700,2.870700,2.870700,0.000000,2.336583
2019-04-08,2.873200,2.873200,2.873200,2.873200,0.000000,2.338618
2019-04-09,2.854500,2.854500,2.854500,2.854500,0.000000,2.323397
2019-04-10,2.865600,2.865600,2.865600,2.865600,0.000000,2.332432
2019-04-11,2.860300,2.860300,2.860300,2.860300,0.000000,2.328118
2019-04-12,2.869300,2.869300,2.869300,2.869300,0.000000,2.335443
2019-04-15,2.858300,2.858300,2.858300,2.858300,0.000000,2.326490
2019-04-16,2.852300,2.852300,2.852300,2.852300,0.000000,2.321606
