Date,Open,High,Low,Close,Volume,Adj Close
2019-01-02,0.916900,0.916900,0.916900,0.916900,0.000000,0.916900
2019-01-03,0.896800,0.896800,0.896800,0.896800,0.000000,0.896800
2019-01-04,0.930900,0.930900,0.930900,0.930900,0.000000,0.930900
2019-01-07,0.937000,0.937000,0.937000,0.937000,0.000000,0.937000
2019-01-08,0.946100,0.946100,0.946100,0.946100,0.000000,0.946100
2019-01-09,0.948900,0.948900,0.948900,0.948900,0.000000,0.948900
2019-01-10,0.954100,0.954100,0.954100,0.954100,0.000000,0.954100
2019-01-11,0.952300,0.952300,0.952300,0.952300,0.000000,0.952300
2019-01-14,0.947400,0.947400,0.947400,0.947400,0.000000,0.947400
2019-01-15,0.959100,0.959100,0.959100,0.959100,0.000000,0.959100
2019-01-16,0.963700,0.963700,0.963700,0.963700,0.000000,0.963700
2019-01-17,0.968800,0.968800,0.968800,0.968800,0.000000,0.968800
2019-01-18,0.983700,0.983700,0.983700,0.983700,0.000000,0.983700
2019-01-22,0.968700,0.968700,0.968700,0.968700,0.000000,0.968700
2019-01-23,0.970600,0.970600,0.970600,0.970600,0.000000,0.970600
2019-01-24,0.971200,0.971200,0.971200,0.971200,0.000000,0.971200
2019-01-25,0.980200,0.980200,0.980200,0.980200,0.000000,0.980200
2019-01-28,0.974400,0.974400,0.974400,0.974400,0.000000,0.974400
2019-01-29,0.973000,0.973000,0.973000,0.973000,0.000000,0.973000
2019-01-30,0.986000,0.986000,0.986000,0.986000,0.000000,0.986000
2019-01-31,0.996600,0.996600,0.996600,0.996600,0.000000,0.996600
2019-02-01,0.998400,0.998400,0.998400,0.998400,0.000000,0.998400
2019-02-04,1.005500,1.005500,1.005500,1.005500,0.000000,1.005500
2019-02-05,1.008400,1.008400,1.008400,1.008400,0.000000,1.008400
2019-02-06,1.005400,1.005400,1.005400,1.005400,0.000000,1.005400
2019-02-07,1.000900,1.000900,1.000900,1.000900,0.000000,1.000900
2019-02-08,1.008200,1.008200,1.008200,1.008200,0.000000,1.008200
