ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg
AFBIX,long,sparse,ext_vix_chg_le-5,1,0.39296767842922353,863,0.7879490150637312,0.27732758293030246,78,0.8333333333333334,0.39296767842922353
AFBSX,inverse,sparse,ext_vix_chg_le-5,1,0.3887531937627287,863,0.7775202780996524,0.2706352631731451,78,0.8205128205128205,0.3887531937627287
BIPIX,pair_scan,pair_scan,SPY_down_XLE_up,1,0.3105228138920897,132,0.5681818181818182,0.5136396908850037,98,0.6020408163265306,0.3105228138920897
BIPSX,pair_scan,pair_scan,QQQ_down_XLU_up,2,0.32512738854372014,205,0.5707317073170731,0.6329725831516134,87,0.6551724137931034,0.32512738854372014
BITIX,pair_scan,pair_scan,FXY_down_JNK_up,1,5.724982432397754,159,0.5723270440251572,0.4673080441480837,101,0.5841584158415841,5.724982432397754
BKPIX,pair_scan,pair_scan,GDX_up_SPY_down,2,0.450697378957913,249,0.5863453815261044,0.44734671314074864,76,0.6447368421052632,0.450697378957913
BKPSX,pair_scan,pair_scan,EEM_down_GDX_up,2,0.43113023319580934,246,0.5813008130081301,0.4469342995892518,72,0.6111111111111112,0.43113023319580934
BLPIX,long,gap_extra,ext_vix_chg_ge5,1,1.0837703814050874,990,0.9353535353535354,1.077939605155951,89,0.9775280898876404,1.0837703814050874
BLPSX,inverse,gap_extra,ext_vix_chg_ge5,1,1.0797138539184399,990,0.9323232323232323,1.0747692053359585,89,0.9775280898876404,1.0797138539184399
BMPIX,pair_scan,pair_scan,GDX_up_XLF_down,1,0.4225416905429784,357,0.5546218487394958,0.48304220679361104,93,0.5591397849462365,0.4225416905429784
BMPSX,pair_scan,pair_scan,GDX_up_SPY_down,1,0.42832833997392816,265,0.5660377358490566,0.6009484762557763,76,0.618421052631579,0.42832833997392816
BTCFX,pair_scan,pair_scan,SLV_up_SPY_down,2,0.39563254183485075,151,0.5827814569536424,0.38939300065170035,80,0.6,0.39563254183485075
CNPIX,pair_scan,pair_scan,JNK_up_QQQ_down,1,0.402937953429717,194,0.5876288659793815,0.5335890200930732,46,0.6086956521739131,0.402937953429717
CNPSX,pair_scan,pair_scan,JNK_up_QQQ_down,1,0.39900225099872416,194,0.5876288659793815,0.5295882487011493,46,0.6086956521739131,0.39900225099872416
CYPIX,pair_scan,pair_scan,EEM_down_GDX_up,1,0.38284232686214675,427,0.6323185011709602,0.5316883494789348,72,0.6805555555555556,0.38284232686214675
