ticker,strategy_no,condition,own_avg,new_dates,marginal_avg
BIPIX,1,FXY_up_up_down_GDX_QQQ,0.45732828105046774,505,0.4573282810504677
BIPIX,2,combo_SLV_big_up__self_down,0.23499028844067105,295,0.3076412290760135
BIPIX,3,XLU_up_XLC_down,0.31420293113275377,205,0.32529344388134085
BIPSX,1,combo_QQQ_down__self_big_down,0.44218632911335126,609,0.44218632911335126
BIPSX,2,FXY_up_down_up_XLE_XLU,0.28371123327305864,353,0.3160588052072526
BIPSX,3,combo_XLC_down__ext_sect_rotation_down,0.29110342027332003,279,0.3198744716968263
BITIX,1,combo_XLC_up__self_down,0.5652131150683664,233,0.5652131150683664
BITIX,2,EEM_up_up_up_JNK_SPY,0.3298947103091881,91,-0.3688999446918288
BITIX,3,combo_ext_vix_chg_down__self_down,0.33786961656547915,40,-0.40890166464996736
BKPIX,1,GDX_up_down_down_IWM_XLK,0.5662008095350111,265,0.5662008095350111
BKPIX,2,EEM_up_down_down_GDX_GLD,0.3013654672863334,448,0.30136546728633345
BKPIX,3,combo_GLD_down__ext_vix_5dchg_ge10,0.37190168119220446,324,0.3721904831880942
BKPSX,1,GDX_up_down_up_QQQ_SLV,0.48471067120950806,349,0.4847106712095081
BKPSX,2,combo_GLD_down__ext_vix_5dchg_ge10,0.3685085737881941,389,0.35100258943731716
BKPSX,3,EEM_up_down_down_GDX_GLD,0.2988705555318289,390,0.31484851174002526
BLPIX,1,combo_XLV_big_down__self_down,0.24703242157607017,606,0.24703242157607017
BLPSX,1,combo_XLV_big_down__self_down,0.24454020171054983,611,0.24454020171054983
BMPIX,1,GDX_up_down_down_XLF_XLK,0.48871846330273,314,0.4887184633027301
BMPIX,2,GLD_up_down_down_XLF_XLK,0.3335974083534862,110,0.43311130665005637
BMPIX,3,GDX_up_down_down_JNK_XLF,0.5934086616038332,82,0.45219260998752747
BMPSX,1,GDX_up_down_down_JNK_XLF,0.590684872767363,210,0.590684872767363
BMPSX,2,GDX_up_down_down_UUP_XLK,0.5202748199791134,164,0.40935385139329006
BMPSX,3,GDX_up_up_down_GLD_JNK,0.4518012356936388,75,0.46074276243425305
BTCFX,1,QQQ_down_down_down_XLK_XLV,0.6809279333297967,223,0.6809279333297967
BTCFX,2,combo_EEM_down__ext_credit_spread_down,0.4123035397768664,123,0.30662268182863767
BTCFX,3,EEM_down_down_down_IWM_SPY,0.4643964853146054,60,0.3500515218903198
CNPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.5433056963237041,177,0.5433056963237041
CNPIX,2,JNK_up_down_down_QQQ_XLK,0.3481882890710618,268,0.31417061764300475
CNPIX,3,JNK_up_QQQ_down,0.402937953429717,16,-0.35685861472491
CNPSX,1,GDX_up_up_down_TIP_XLK,0.29938468928051826,509,0.29938468928051826
CYPIX,1,EEM_down_up_up_GDX_GLD,0.4422950555025714,333,0.44229505550257153
CYPIX,2,FXY_up_up_down_GDX_QQQ,0.34817942336726815,359,0.3008192619046982
CYPIX,3,combo_XLK_big_down__self_big_down,0.48200672507405906,156,0.3241915620884517
CYPSX,1,EEM_down_GDX_up,0.39249029574651473,398,0.39249029574651484
CYPSX,2,GDX_up_up_down_TIP_XLV,0.32797504515418396,136,0.3408869997256195
CYPSX,3,EEM_down_up_down_SLV_XLF,0.21569240224402395,130,-0.3129158676825044
ENPIX,1,combo_XLC_down__ext_sect_rotation_down,0.4086478966451907,403,0.40864789664519074
ENPIX,2,combo_ext_vix_5dchg_ge10__self_down,0.2997223646978056,505,0.3153353863142283
ENPIX,3,TIP_down_up_up_XLC_XLF,0.38269823687887683,214,0.37649010107179254
ENPSX,1,combo_XLC_down__ext_sect_rotation_down,0.4045923402862987,403,0.4045923402862987
ENPSX,2,combo_ext_vix_5dchg_ge10__self_down,0.28171372559488767,506,0.30429152999166315
ENPSX,3,GDX_up_down_up_HYG_SLV,0.25018875380655947,221,0.3105861492880431
FNPIX,1,GDX_up_down_down_XLF_XLK,0.4858276671458093,335,0.4858276671458093
FNPIX,2,combo_GDX_up__ext_yld_curve_proxy_up,0.2900036457669325,289,0.3249701751522346
FNPIX,3,HYG_up_up_down_JNK_QQQ,0.3498129008942356,183,0.3616139940775043
FNPSX,1,GDX_up_down_down_SPY_XLF,0.5863096372384896,282,0.5863096372384897
FNPSX,2,combo_GDX_big_up__ext_jnk_spread_down,0.28681866384725124,311,0.30135392643797915
FNPSX,3,FXY_up_up_down_GDX_QQQ,0.3767541570915228,203,0.3022657256014324
GVPSX,1,combo_TLT_down__self_3down,0.2066190604415276,399,0.20661906044152759
HCPIX,1,FXY_up_up_down_GDX_QQQ,0.3626694194731027,494,0.3626694194731027
HCPIX,2,LQD_up_up_down_XLC_XLE,0.4075348262551321,158,0.4002310284911337
HCPIX,3,combo_SLV_big_up__ext_sect_rotation_le-0_5,0.3912219263187004,93,0.40840843933614956
HCPSX,1,FXY_up_up_down_GDX_QQQ,0.36339481518028566,485,0.36339481518028566
HCPSX,2,LQD_up_up_down_XLC_XLE,0.4054200996471362,158,0.39790357394317494
HCPSX,3,combo_SLV_big_up__ext_sect_rotation_le-0_5,0.38710230302160015,93,0.4042897894787965
IDPIX,1,GDX_up_XLK_down,0.37524318808443363,501,0.37524318808443363
IDPIX,2,GDX_up_up_down_LQD_XLF,0.320061930094326,155,0.30273243005012657
IDPIX,3,combo_QQQ_up__self_down,0.2768363141979959,183,0.30015788307974295
IDPSX,1,GDX_up_down_down_SPY_XLK,0.40390536652547915,404,0.4039053665254792
IDPSX,2,QQQ_down_up_up_SLV_XLE,0.3725495901932821,137,0.3080979946681569
IDPSX,3,combo_SPY_down__ext_usd_gold_ratio_le-1,0.24354500791763756,115,-0.40696537900141877
INPIX,1,GLD_up_down_down_XLF_XLK,0.4879897632391866,342,0.4879897632391866
INPIX,2,GLD_down_up_up_QQQ_TIP,0.3269262928734545,376,0.3269262928734545
INPIX,3,TIP_up_down_up_XLE_XLV,0.3101540086458569,172,0.3348932829976487
INPSX,1,combo_IWM_down__ext_usd_gold_ratio_le-1,0.6211082197446602,206,0.6211082197446602
INPSX,2,FXY_up_up_up_IWM_TIP,0.31093193090646737,384,0.31093193090646737
INPSX,3,GLD_up_down_down_LQD_XLK,0.3010063862453677,241,0.3005624854110701
LGPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.43304150421272863,191,0.43304150421272863
LGPSX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.42871399658942483,191,0.42871399658942483
LVPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.45123116620288906,184,0.45123116620288906
LVPSX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.44528940522029814,168,0.44528940522029814
MDPIX,1,GDX_up_down_down_SPY_XLF,0.2931349460820169,393,0.2931349460820169
MDPSX,1,GDX_up_down_down_IWM_XLF,0.2805766926817632,387,0.2805766926817632
MGPIX,1,GDX_up_down_down_XLF_XLK,0.27589538516662093,400,0.27589538516662093
MGPSX,1,GDX_up_down_down_XLF_XLK,0.2712729139570114,400,0.2712729139570114
MLPIX,1,GDX_up_down_down_SPY_XLF,0.42021209828572176,216,0.42021209828572176
MLPSX,1,GDX_up_down_down_SPY_XLF,0.4170282475380811,219,0.4170282475380811
OEPIX,1,combo_XLU_big_down__ext_vix_close_up,0.3306704684505921,519,0.33067046845059206
OEPIX,2,TLT_down_up_down_XLE_XLU,0.2644462087589909,341,0.32788017734187797
OEPIX,3,GLD_down_up_up_SPY_XLC,0.34941587430024384,224,0.3533551066544987
OEPSX,1,combo_XLU_big_down__ext_vix_20dvol_up,0.3241303404757116,532,0.3241303404757116
OEPSX,2,TLT_down_up_down_XLE_XLU,0.2612913745899504,337,0.34222288487328134
OEPSX,3,GLD_down_up_up_SPY_XLC,0.3438672938010836,224,0.34717848027010906
OTPIX,1,combo_XLF_big_down__self_down,0.252456414304231,749,0.252456414304231
OTPIX,2,GDX_up_down_down_SPY_XLC,0.30740105810847324,126,0.3019853054366355
OTPIX,3,GLD_down_down_up_QQQ_XLF,0.29180785242944945,123,0.3006568319933042
OTPSX,1,combo_IWM_down__ext_usd_gold_ratio_le-1,0.33768677693687293,300,0.33768677693687293
PHPIX,1,FXY_up_up_down_GDX_QQQ,0.35046072137690665,468,0.35046072137690665
PHPIX,2,combo_GLD_big_up__self_down,0.25603814487457377,148,0.32114933933729495
PHPIX,3,FXY_up_down_up_QQQ_XLE,0.27393045668955335,96,0.400729110337134
PHPSX,1,FXY_up_up_down_GDX_QQQ,0.34354189868400403,462,0.343541898684004
PHPSX,2,IWM_up_up_down_LQD_SLV,0.2999828179880039,160,0.3050519079767598
PHPSX,3,IWM_down_XLC_up,0.2974317673509756,155,0.31249713908598525
PMPIX,1,combo_ext_sect_rotation_up__self_big_down,0.5729399031604261,521,0.572939903160426
PMPIX,2,combo_XLU_big_up__ext_vix_chg_down,0.3808174404188083,464,0.3633666344141773
PMPIX,3,combo_SPY_big_down__ext_vix_close_up,0.4011739401904184,393,0.30800627131357017
PMPSX,1,combo_ext_sect_rotation_up__self_big_down,0.5827151396860079,525,0.5827151396860079
PMPSX,2,combo_XLU_big_up__ext_vix_chg_down,0.37656185312375806,463,0.3496935622242891
PMPSX,3,combo_QQQ_big_down__ext_vix_5dchg_up,0.3700099343235925,403,0.3349564553333715
REPIX,1,combo_XLF_big_down__ext_tnx_yield_ge1,0.4895611858251699,696,0.4895611858251699
REPIX,2,GDX_up_XLV_down,0.3242834279669484,297,0.3206350556378566
REPIX,3,UUP_down_XLV_down,0.21493327289253716,85,-0.39349790817958624
REPSX,1,combo_XLF_big_down__ext_tnx_yield_ge1,0.49033578288370294,696,0.49033578288370305
REPSX,2,GDX_up_XLF_down,0.36019881245599983,358,0.3177825407892156
REPSX,3,SLV_up_up_down_TIP_XLV,0.34433817651968734,111,0.34552424671141235
RRPIX,1,combo_XLV_big_down__ext_sect_rotation_up,0.2924330411360788,209,0.29243304113607876
RRPSX,1,combo_XLV_big_down__ext_sect_rotation_up,0.29149180272618985,196,0.29149180272618985
SGPIX,1,GDX_up_down_down_SPY_XLF,0.33284217252921583,326,0.3328421725292157
SGPIX,2,GDX_up_down_down_SPY_UUP,0.3906175860139122,79,0.30040529116368925
SGPIX,3,GDX_up_down_down_XLC_XLK,0.21084687100406335,36,-0.3221370068943194
SGPSX,1,GDX_up_down_down_SPY_XLK,0.3083561336376136,390,0.30835613363761366
SGPSX,2,combo_XLK_down__ext_usd_gold_ratio_le-1,0.40743956938141773,43,-0.37990704744217324
