ticker,n_strategies,union_days,sum_trades,overlap_days,avg_strategies_per_day,weighted_swallowed_ratio,strategies_swallowed_gt50
BIPIX,3,2499,3524,1874,1.4101640656262504,0.2908626560726447,0
BIPSX,3,2461,3323,1605,1.3502641202763104,0.2594041528739091,0
BITIX,3,407,678,476,1.6658476658476657,0.3997050147492625,2
BKPIX,3,2057,2220,325,1.0792416140009722,0.07342342342342342,0
BKPSX,3,2035,2181,289,1.0717444717444717,0.06694176983035305,0
BLPIX,1,606,606,0,1.0,0.0,0
BLPSX,1,611,611,0,1.0,0.0,0
BMPIX,3,1694,1932,467,1.140495867768595,0.12318840579710146,0
BMPSX,3,1671,1828,314,1.0939557151406343,0.08588621444201312,0
BTCFX,3,421,677,458,1.6080760095011877,0.37813884785819796,1
CNPIX,1,177,177,0,1.0,0.0,0
CNPSX,1,509,509,0,1.0,0.0,0
CYPIX,3,1692,1987,573,1.1743498817966902,0.14846502264720685,0
CYPSX,1,125,125,0,1.0,0.0,0
ENPIX,3,1765,1971,400,1.11671388101983,0.10451547437848807,0
ENPSX,3,1764,1970,400,1.116780045351474,0.10456852791878173,0
FNPIX,3,1485,1729,488,1.1643097643097644,0.14112203585887798,0
FNPSX,3,1409,1819,751,1.290986515259049,0.22539857064321056,0
GVPSX,1,399,399,0,1.0,0.0,0
HCPIX,1,494,494,0,1.0,0.0,0
HCPSX,3,1395,1667,536,1.1949820788530465,0.16316736652669467,0
IDPIX,3,1515,1788,533,1.1801980198019801,0.15268456375838926,0
IDPSX,3,1664,2055,742,1.2349759615384615,0.1902676399026764,0
INPIX,3,2292,2432,280,1.0610820244328099,0.05756578947368421,0
INPSX,3,2047,2149,202,1.049829018075232,0.04746393671475105,0
LGPIX,1,191,191,0,1.0,0.0,0
LGPSX,1,191,191,0,1.0,0.0,0
LVPIX,1,184,184,0,1.0,0.0,0
LVPSX,1,168,168,0,1.0,0.0,0
MDPIX,3,910,1176,496,1.2923076923076924,0.2261904761904762,0
MDPSX,1,387,387,0,1.0,0.0,0
MGPIX,1,400,400,0,1.0,0.0,0
MGPSX,1,400,400,0,1.0,0.0,0
MLPIX,3,764,1216,791,1.5916230366492146,0.3717105263157895,1
MLPSX,3,716,1199,857,1.6745810055865922,0.40283569641367806,1
OEPIX,3,1660,2103,828,1.2668674698795181,0.21065145030908225,0
OEPSX,3,1669,2121,845,1.2708208508088676,0.2131070249882131,0
OTPIX,1,749,749,0,1.0,0.0,0
OTPSX,1,300,300,0,1.0,0.0,0
PHPIX,3,1356,2104,1329,1.551622418879056,0.35551330798479086,1
PHPSX,3,1294,1517,446,1.1723338485316848,0.14700065919578115,0
PMPIX,3,1850,2178,651,1.1772972972972973,0.15059687786960516,0
PMPSX,3,2124,2566,884,1.2080979284369116,0.17225253312548713,0
REPIX,3,2162,3181,1826,1.471322849213691,0.32033951587551085,0
REPSX,3,2069,2592,1019,1.252779120347994,0.2017746913580247,0
RRPIX,1,209,209,0,1.0,0.0,0
RRPSX,1,196,196,0,1.0,0.0,0
SGPIX,1,326,326,0,1.0,0.0,0
SGPSX,1,390,390,0,1.0,0.0,0
SLPIX,3,1251,1658,717,1.325339728217426,0.24547647768395658,0
SLPSX,3,1267,1432,317,1.1302288871349644,0.11522346368715083,0
SMPIX,3,3311,4878,2931,1.4732709151313803,0.3212382123821238,1
SMPSX,3,3267,4727,2742,1.4468931741659015,0.3088639729215147,1
SNPIX,3,457,527,130,1.1531728665207877,0.13282732447817835,0
SNPSX,1,147,147,0,1.0,0.0,0
SPPIX,3,749,926,332,1.2363150867823764,0.19114470842332612,0
SPPSX,3,749,926,332,1.2363150867823764,0.19114470842332612,0
SVPIX,3,956,1114,311,1.1652719665271967,0.14183123877917414,0
SVPSX,3,914,1236,575,1.3522975929978118,0.2605177993527508,1
TEPIX,3,2567,2880,626,1.1219322165952474,0.10868055555555556,0
TEPSX,3,2491,3329,1560,1.3364110798875954,0.25172724541904473,0
UAPIX,3,2490,3296,1612,1.323694779116466,0.2445388349514563,0
UAPSX,3,2418,3367,1898,1.39247311827957,0.28185328185328185,1
UBPIX,3,2003,2540,994,1.2680978532201697,0.21141732283464568,0
UBPSX,3,2003,2496,907,1.2461308037943086,0.19751602564102563,0
UCPIX,1,132,132,0,1.0,0.0,0
UCPSX,1,124,124,0,1.0,0.0,0
UDPIX,3,2537,3140,1185,1.2376823019314152,0.19203821656050957,0
UDPSX,1,529,529,0,1.0,0.0,0
UEPIX,4,480,1096,912,2.283333333333333,0.5620437956204379,2
UEPSX,5,503,1258,1041,2.5009940357852884,0.6001589825119237,3
UFPIX,3,852,970,236,1.1384976525821595,0.12164948453608247,0
UFPSX,5,929,1170,448,1.2594187298170076,0.20598290598290597,1
UGPIX,3,2226,3121,1510,1.4020664869721473,0.2867670618391541,0
UGPSX,3,2269,2930,1233,1.2913177611282503,0.22559726962457338,0
UHPIX,3,1086,1180,187,1.0865561694290975,0.07966101694915254,0
UHPSX,3,1098,1195,194,1.0883424408014573,0.08117154811715481,0
UIPIX,1,125,125,0,1.0,0.0,0
UIPSX,1,153,153,0,1.0,0.0,0
UJPIX,3,2777,3178,795,1.144400432120994,0.1261799874134676,0
UJPSX,3,2784,3477,1366,1.2489224137931034,0.1993097497842968,1
UKPIX,3,463,491,56,1.060475161987041,0.05702647657841141,0
UKPSX,3,468,618,296,1.3205128205128205,0.24271844660194175,1
ULPIX,1,616,616,0,1.0,0.0,0
ULPSX,3,2775,4030,2270,1.4522522522522523,0.31141439205955335,0
UMPIX,3,2016,2469,817,1.224702380952381,0.18347509113001215,0
