ticker,n_strategies,union_days,sum_trades,overlap_days,avg_strategies_per_day,weighted_swallowed_ratio,strategies_swallowed_gt50
BIPIX,5,1326,1937,1087,1.4607843137254901,0.31543624161073824,1
BIPSX,5,1695,2400,1305,1.415929203539823,0.29375,1
BITIX,3,364,694,544,1.9065934065934067,0.4755043227665706,2
BKPIX,5,1412,1825,758,1.2924929178470255,0.2263013698630137,1
BKPSX,5,1449,1924,815,1.3278122843340234,0.24688149688149688,1
BLPIX,1,606,606,0,1.0,0.0,0
BLPSX,1,611,611,0,1.0,0.0,0
BMPIX,5,616,1406,1130,2.2824675324675323,0.561877667140825,3
BMPSX,5,566,1122,861,1.982332155477032,0.49554367201426025,3
BTCFX,5,450,1121,962,2.491111111111111,0.5985727029438002,4
CNPIX,3,461,657,379,1.4251626898047722,0.2983257229832572,1
CNPSX,1,509,509,0,1.0,0.0,0
CYPIX,5,1091,2014,1553,1.846012832263978,0.458291956305859,2
CYPSX,3,664,973,546,1.4653614457831325,0.3175745118191161,1
ENPIX,5,1634,2021,739,1.236842105263158,0.19148936170212766,1
ENPSX,5,1473,1869,727,1.2688391038696538,0.21187800963081863,1
FNPIX,5,1095,1707,1037,1.558904109589041,0.3585237258347979,1
FNPSX,5,1113,1497,696,1.3450134770889488,0.2565130260521042,1
GVPSX,1,399,399,0,1.0,0.0,0
HCPIX,3,745,802,114,1.076510067114094,0.07107231920199501,0
HCPSX,3,736,793,114,1.077445652173913,0.07187894073139975,0
IDPIX,5,1082,1672,978,1.545286506469501,0.35287081339712917,2
IDPSX,5,955,1628,1091,1.7047120418848167,0.4133906633906634,1
INPIX,5,1166,1641,859,1.4073756432246998,0.2894576477757465,1
INPSX,5,1262,1556,565,1.2329635499207607,0.18894601542416453,0
LGPIX,1,191,191,0,1.0,0.0,0
LGPSX,1,191,191,0,1.0,0.0,0
LVPIX,1,184,184,0,1.0,0.0,0
LVPSX,1,168,168,0,1.0,0.0,0
MDPIX,1,393,393,0,1.0,0.0,0
MDPSX,1,387,387,0,1.0,0.0,0
MGPIX,1,400,400,0,1.0,0.0,0
MGPSX,1,400,400,0,1.0,0.0,0
MLPIX,1,216,216,0,1.0,0.0,0
MLPSX,1,219,219,0,1.0,0.0,0
OEPIX,5,1340,1750,753,1.3059701492537314,0.2342857142857143,1
OEPSX,5,1368,1810,791,1.3230994152046784,0.24419889502762432,1
OTPIX,5,1209,1602,707,1.3250620347394542,0.24531835205992508,1
OTPSX,1,300,300,0,1.0,0.0,0
PHPIX,5,797,1576,1233,1.9774153074027603,0.49428934010152287,4
PHPSX,5,1018,1222,406,1.200392927308448,0.16693944353518822,0
PMPIX,5,1795,2261,895,1.2596100278551532,0.20610349402919062,0
PMPSX,5,1799,2171,720,1.206781545302946,0.171349608475357,0
REPIX,5,1312,1990,1233,1.516768292682927,0.3407035175879397,3
REPSX,5,1355,2044,1142,1.5084870848708487,0.33708414872798437,3
RRPIX,1,209,209,0,1.0,0.0,0
RRPSX,1,196,196,0,1.0,0.0,0
SGPIX,4,443,899,701,2.0293453724604964,0.5072302558398221,2
SGPSX,5,521,1299,1169,2.4932821497120923,0.5989222478829869,3
SLPIX,4,517,884,582,1.7098646034816247,0.415158371040724,1
SLPSX,1,331,331,0,1.0,0.0,0
SMPIX,5,2232,3343,1892,1.4977598566308243,0.3323362249476518,1
SMPSX,5,2323,3201,1592,1.377959535083943,0.27428928459856294,1
SNPIX,1,158,158,0,1.0,0.0,0
SNPSX,1,147,147,0,1.0,0.0,0
SPPIX,1,421,421,0,1.0,0.0,0
SPPSX,1,421,421,0,1.0,0.0,0
SVPIX,3,513,1139,1038,2.220272904483431,0.5496049165935031,2
SVPSX,3,531,1104,994,2.07909604519774,0.5190217391304348,1
TEPIX,4,1406,1629,446,1.158605974395448,0.1368937998772253,0
TEPSX,4,1406,1629,446,1.158605974395448,0.1368937998772253,0
UAPIX,5,2578,3875,2321,1.5031031807602793,0.3347096774193548,1
UAPSX,5,2383,3906,2604,1.639110365086026,0.38991295442908347,3
UBPIX,5,1556,2080,965,1.3367609254498716,0.2519230769230769,0
UBPSX,5,1556,2080,965,1.3367609254498716,0.2519230769230769,0
