ticker,strategy_no,condition,horizon,trades,winner_days,overridden_days,exclusive_days,swallowed_ratio,exclusive_ratio
BIPIX,1,FXY_up_up_down_GDX_QQQ,1,505,505,0,283,0.0,0.5603960396039604
BIPIX,2,combo_QQQ_down__self_big_down,2,624,486,138,486,0.22115384615384615,0.7788461538461539
BIPIX,3,FXY_up_up_up_XLU_XLV,1,558,468,90,465,0.16129032258064516,0.8333333333333334
BIPSX,1,combo_QQQ_down__self_big_down,1,609,609,0,514,0.0,0.8440065681444991
BIPSX,2,FXY_up_up_up_XLU_XLV,1,558,552,6,531,0.010752688172043012,0.9516129032258065
BIPSX,3,combo_SLV_big_down__ext_sect_rotation_up,1,483,373,110,373,0.2277432712215321,0.772256728778468
BITIX,1,combo_XLC_up__self_down,1,233,233,0,69,0.0,0.296137339055794
BITIX,2,EEM_up_up_up_JNK_SPY,1,226,91,135,37,0.5973451327433629,0.16371681415929204
BITIX,3,GLD_up_IWM_up,2,229,58,171,58,0.7467248908296943,0.25327510917030566
BKPIX,1,GDX_up_down_down_IWM_XLK,1,265,265,0,209,0.0,0.7886792452830189
BKPIX,2,GDX_down_down_up_GLD_XLF,2,558,515,43,515,0.07706093189964158,0.9229390681003584
BKPIX,3,combo_XLU_down__ext_vix_5dchg_ge10,2,500,444,56,401,0.112,0.802
BKPSX,1,GDX_up_down_up_QQQ_SLV,2,349,349,0,297,0.0,0.8510028653295129
BKPSX,2,GDX_down_down_up_GLD_XLF,2,558,515,43,515,0.07706093189964158,0.9229390681003584
BKPSX,3,combo_XLU_down__ext_vix_5dchg_ge10,2,500,448,52,405,0.104,0.81
BLPIX,1,combo_XLV_big_down__self_down,1,606,606,0,606,0.0,1.0
BLPSX,1,combo_XLV_big_down__self_down,1,611,583,28,580,0.04582651391162029,0.9492635024549918
BLPSX,2,QQQ_down_up_up_SLV_XLE,1,187,187,0,147,0.0,0.786096256684492
BLPSX,3,FXY_up_up_up_JNK_TIP,1,123,107,16,107,0.13008130081300814,0.8699186991869918
BMPIX,1,GDX_up_down_down_XLF_XLK,1,314,314,0,192,0.0,0.6114649681528662
BMPIX,2,combo_XLU_down__ext_vix_5dchg_ge10,5,498,435,63,262,0.12650602409638553,0.5261044176706827
BMPIX,3,combo_SPY_big_down__ext_vix_close_up,10,518,252,266,252,0.5135135135135135,0.4864864864864865
BMPSX,1,GDX_up_down_down_JNK_XLF,1,210,210,0,109,0.0,0.5190476190476191
BMPSX,2,GLD_up_down_down_XLE_XLV,1,620,540,80,407,0.12903225806451613,0.6564516129032258
BMPSX,3,combo_TIP_up__ext_vix_5dchg_ge10,2,469,301,168,301,0.3582089552238806,0.6417910447761194
BTCFX,1,QQQ_down_down_down_XLK_XLV,1,223,223,0,75,0.0,0.336322869955157
BTCFX,2,combo_EEM_down__ext_credit_spread_down,2,203,72,131,72,0.645320197044335,0.35467980295566504
BTCFX,3,EEM_down_down_down_IWM_SPY,2,248,111,137,60,0.5524193548387096,0.24193548387096775
CNPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,1,177,177,0,157,0.0,0.8870056497175142
CNPIX,2,JNK_up_down_down_QQQ_XLK,1,286,110,176,110,0.6153846153846154,0.38461538461538464
CNPIX,3,HYG_up_up_down_JNK_QQQ,1,194,177,17,19,0.08762886597938144,0.0979381443298969
CNPSX,1,GDX_up_up_down_TIP_XLK,1,509,282,227,282,0.44597249508840864,0.5540275049115914
CNPSX,2,combo_ext_usd_gold_ratio_le-1__self_down,1,288,288,0,171,0.0,0.59375
CNPSX,3,LQD_up_up_down_XLE_XLK,1,227,201,26,88,0.1145374449339207,0.3876651982378855
CYPIX,1,EEM_down_up_up_GDX_GLD,1,333,333,0,284,0.0,0.8528528528528528
CYPIX,2,FXY_up_up_up_JNK_TIP,1,410,361,49,358,0.11951219512195121,0.8731707317073171
CYPIX,3,combo_GLD_big_down__ext_tnx_chgbp_up,2,253,250,3,250,0.011857707509881422,0.9881422924901185
CYPSX,1,EEM_down_GDX_up,1,398,398,0,238,0.0,0.5979899497487438
CYPSX,2,FXY_up_up_down_GDX_QQQ,1,497,338,159,336,0.3199195171026157,0.676056338028169
CYPSX,3,combo_GLD_big_down__ext_tnx_chgbp_up,2,249,246,3,246,0.012048192771084338,0.9879518072289156
ENPIX,1,combo_XLC_down__ext_sect_rotation_down,1,403,403,0,316,0.0,0.7841191066997518
ENPIX,2,combo_XLE_down__ext_vix_5dchg_ge10,1,567,484,83,484,0.14638447971781304,0.8536155202821869
ENPIX,3,EEM_up_down_down_GLD_LQD,1,507,479,28,457,0.055226824457593686,0.9013806706114399
ENPSX,1,combo_XLC_down__ext_sect_rotation_down,1,403,403,0,317,0.0,0.7866004962779156
ENPSX,2,combo_ext_vix_5dchg_ge10__self_down,1,566,483,83,483,0.14664310954063603,0.8533568904593639
ENPSX,3,EEM_up_down_down_GLD_LQD,1,507,479,28,456,0.055226824457593686,0.8994082840236687
FNPIX,1,GDX_up_down_down_XLF_XLK,1,335,335,0,209,0.0,0.6238805970149254
FNPIX,2,combo_GDX_up__ext_yld_curve_proxy_up,1,366,259,107,259,0.2923497267759563,0.7076502732240437
FNPIX,3,HYG_up_QQQ_down,1,336,263,73,233,0.21726190476190477,0.6934523809523809
FNPSX,1,GDX_up_down_down_SPY_XLF,1,282,282,0,158,0.0,0.5602836879432624
FNPSX,2,combo_FXY_up__ext_yld_curve_proxy_up,1,644,467,177,467,0.2748447204968944,0.7251552795031055
FNPSX,3,FXY_up_up_down_GDX_QQQ,1,373,268,105,174,0.28150134048257375,0.46648793565683644
GVPSX,1,combo_TLT_down__self_3down,1,399,399,0,399,0.0,1.0
HCPIX,1,FXY_up_up_down_GDX_QQQ,1,494,486,8,460,0.016194331983805668,0.9311740890688259
HCPIX,2,LQD_up_UUP_up,1,317,227,90,227,0.28391167192429023,0.7160883280757098
HCPIX,3,LQD_up_up_down_XLC_XLE,1,166,166,0,98,0.0,0.5903614457831325
HCPSX,1,FXY_up_up_down_GDX_QQQ,1,485,485,0,442,0.0,0.911340206185567
HCPSX,2,combo_IWM_up__ext_vix_chg_up,1,239,208,31,199,0.1297071129707113,0.8326359832635983
HCPSX,3,combo_TLT_up__ext_vix_5dchg_le-10,1,203,177,26,177,0.12807881773399016,0.8719211822660099
IDPIX,1,GDX_up_XLK_down,1,501,501,0,358,0.0,0.7145708582834331
IDPIX,2,combo_QQQ_up__self_down,1,230,155,75,155,0.32608695652173914,0.6739130434782609
IDPIX,3,combo_SLV_big_up__self_down,3,388,253,135,190,0.3479381443298969,0.4896907216494845
IDPSX,1,GDX_up_down_down_SPY_XLK,1,404,404,0,331,0.0,0.8193069306930693
IDPSX,2,combo_XLE_up__ext_sect_rotation_le-0_5,1,332,259,73,252,0.21987951807228914,0.7590361445783133
IDPSX,3,combo_XLK_big_up__ext_yld_curve_proxy_up,1,235,228,7,228,0.029787234042553193,0.9702127659574468
INPIX,1,GLD_up_down_down_XLF_XLK,1,342,342,0,231,0.0,0.6754385964912281
INPIX,2,combo_TIP_up__ext_jnk_spread_up,2,532,499,33,499,0.06203007518796992,0.9379699248120301
INPIX,3,combo_ext_vix_5dchg_up__self_big_down,3,437,345,92,334,0.21052631578947367,0.7643020594965675
INPSX,1,combo_IWM_down__ext_usd_gold_ratio_le-1,1,206,206,0,60,0.0,0.2912621359223301
INPSX,2,GLD_up_down_down_QQQ_XLV,3,671,562,109,562,0.16244411326378538,0.8375558867362146
INPSX,3,FXY_up_up_up_XLU_XLV,1,527,490,37,490,0.07020872865275142,0.9297912713472486
LGPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,1,191,191,0,185,0.0,0.9685863874345549
LGPIX,2,GLD_down_up_up_JNK_TIP,1,200,200,0,153,0.0,0.765
LGPIX,3,EEM_down_down_up_FXY_TIP,1,205,152,53,152,0.25853658536585367,0.7414634146341463
LGPSX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,1,191,191,0,186,0.0,0.9738219895287958
LGPSX,2,EEM_down_up_up_TIP_XLV,1,201,201,0,191,0.0,0.9502487562189055
LGPSX,3,combo_QQQ_big_up__ext_credit_spread_down,1,133,118,15,118,0.11278195488721804,0.8872180451127819
LVPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,1,184,184,0,184,0.0,1.0
LVPSX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,1,168,168,0,168,0.0,1.0
MDPIX,1,GDX_up_down_down_SPY_XLF,1,393,393,0,39,0.0,0.09923664122137404
MDPIX,2,GDX_up_down_down_IWM_XLF,1,383,84,299,84,0.7806788511749347,0.2193211488250653
MDPIX,3,GDX_up_down_down_QQQ_XLF,1,295,19,276,15,0.9355932203389831,0.05084745762711865
MDPSX,1,GDX_up_down_down_IWM_XLF,1,387,387,0,86,0.0,0.2222222222222222
MDPSX,2,GDX_up_down_down_SPY_XLF,1,379,88,291,71,0.7678100263852242,0.18733509234828497
MDPSX,3,GDX_up_down_down_XLC_XLF,1,160,17,143,17,0.89375,0.10625
MGPIX,1,GDX_up_down_down_XLF_XLK,1,400,400,0,381,0.0,0.9525
MGPIX,2,GLD_down_up_up_LQD_XLC,1,124,121,3,105,0.024193548387096774,0.8467741935483871
MGPIX,3,combo_XLU_big_up__ext_credit_spread_down,1,128,94,34,94,0.265625,0.734375
MGPSX,1,GDX_up_down_down_XLF_XLK,1,400,400,0,381,0.0,0.9525
MGPSX,2,GLD_down_up_up_LQD_XLC,1,124,121,3,105,0.024193548387096774,0.8467741935483871
MGPSX,3,combo_XLU_big_up__ext_credit_spread_down,1,128,94,34,94,0.265625,0.734375
MLPIX,1,GDX_up_down_down_SPY_XLF,1,216,216,0,120,0.0,0.5555555555555556
MLPIX,2,GDX_up_down_down_UUP_XLK,1,208,129,79,118,0.3798076923076923,0.5673076923076923
MLPIX,3,combo_XLV_down__ext_usd_gold_ratio_le-1,1,124,65,59,65,0.47580645161290325,0.5241935483870968
MLPSX,1,GDX_up_down_down_SPY_XLF,1,219,219,0,50,0.0,0.228310502283105
MLPSX,2,GDX_up_down_down_UUP_XLK,1,173,93,80,91,0.4624277456647399,0.5260115606936416
MLPSX,3,GDX_up_down_down_XLF_XLV,1,200,58,142,58,0.71,0.29
OEPIX,1,combo_XLU_big_down__ext_vix_close_up,3,519,497,22,346,0.04238921001926782,0.6666666666666666
OEPIX,2,XLE_up_XLU_down,2,781,568,213,568,0.2727272727272727,0.7272727272727273
OEPIX,3,GLD_down_up_up_SPY_XLC,2,278,278,0,212,0.0,0.762589928057554
OEPSX,1,combo_XLU_big_down__ext_vix_20dvol_up,3,532,510,22,352,0.041353383458646614,0.6616541353383458
OEPSX,2,XLE_up_XLU_down,2,780,560,220,560,0.28205128205128205,0.717948717948718
OEPSX,3,GLD_down_up_up_SPY_XLC,2,278,278,0,212,0.0,0.762589928057554
OTPIX,1,FXY_up_up_down_GDX_QQQ,1,508,508,0,338,0.0,0.6653543307086615
OTPIX,2,EEM_down_up_up_TIP_XLV,1,218,172,46,163,0.21100917431192662,0.7477064220183486
OTPIX,3,combo_QQQ_big_down__ext_usd_gold_ratio_down,2,254,104,150,104,0.5905511811023622,0.4094488188976378
OTPSX,1,combo_IWM_down__ext_usd_gold_ratio_le-1,1,300,300,0,267,0.0,0.89
OTPSX,2,EEM_down_up_up_TIP_XLV,1,216,191,25,181,0.11574074074074074,0.8379629629629629
OTPSX,3,combo_QQQ_big_up__ext_jnk_spread_down,1,157,138,19,138,0.12101910828025478,0.8789808917197452
PHPIX,1,FXY_up_up_down_GDX_QQQ,1,468,468,0,332,0.0,0.7094017094017094
PHPIX,2,combo_SLV_big_up__self_down,2,389,253,136,253,0.3496143958868895,0.6503856041131105
PHPIX,3,combo_GDX_big_down__self_up,2,207,207,0,207,0.0,1.0
