size,etfs,covered_funds,funds
3,GOVZ|MBB|VCLT,8,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UCPSX|URPSX
3,GOVZ|MBB|XLC,8,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|URPSX|UWPSX
3,GOVZ|MBB|XLY,8,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UCPIX|URPSX
3,GOVZ|VCLT|XLC,8,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UCPSX|UWPSX
3,GOVZ|VCLT|XLY,8,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UCPIX|UCPSX
3,GOVZ|XLC|XLY,8,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UCPIX|UWPSX
3,SIL|UDN|XLC,8,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX|UXPIX
1,XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,AGG|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,BIL|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,BND|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,CEW|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,COPX|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,DBC|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,EDV|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,EUO|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,FLRN|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,FXA|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,FXB|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
2,FXC|XLC,7,AFBIX|AFBSX|FYAIX|FYASX|SRPIX|SRPSX|UWPSX
