ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,tokens
UUPIX,ultra_long,main,XLF_big_down,1,0.416897010926362,763,0.562254259501966,0.4315904459616912,44,0.5681818181818182,{'XLF'}
UUPSX,inverse,main,XLF_big_down,1,0.3702936083939105,761,0.5611038107752957,0.4268275719651906,44,0.5681818181818182,{'XLF'}
UOPIX,ultra_long,main,GLD_bin_0.5_1,1,0.3482326856431846,373,0.613941018766756,0.5870516460860729,61,0.6229508196721312,{'GLD'}
LGPSX,inverse,main,XLK_bin_lt-2,1,0.2444639168350358,271,0.5830258302583026,0.4275894898214412,41,0.6097560975609756,{'XLK'}
LGPIX,long,main,XLK_bin_lt-2,1,0.2487588390704625,271,0.5830258302583026,0.4321539253388065,41,0.6097560975609756,{'XLK'}
UDPSX,inverse,main,XLF_big_down,1,0.2539347519544596,811,0.5647348951911221,0.3499945955382739,44,0.6363636363636364,{'XLF'}
UUPIX,ultra_long,main,SLV_bin_-0.5_0,1,0.2141238010614891,569,0.5606326889279437,0.7268425529838819,36,0.5833333333333334,{'SLV'}
UUPSX,inverse,main,SLV_bin_-0.5_0,1,0.2119540031567546,573,0.5619546247818499,0.7235504013431108,36,0.5833333333333334,{'SLV'}
ENPIX,long,sparse,SPY_bin_-1_-0.5,1,0.3915540613066697,183,0.6174863387978142,0.6544093975461401,33,0.7272727272727273,{'SPY'}
ENPSX,inverse,sparse,SPY_bin_-1_-0.5,1,0.3776195688046478,178,0.6179775280898876,0.6455844040065545,33,0.7272727272727273,{'SPY'}
LGPSX,inverse,sparse,XLV_big_down,1,0.2379882969724648,593,0.5750421585160203,0.555595800563112,51,0.6274509803921569,{'XLV'}
UDPIX,ultra_long,sparse,XLV_big_down,1,0.3647317956224875,595,0.5529411764705883,0.765858434837354,51,0.5686274509803921,{'XLV'}
UDPIX,ultra_long,sparse,XLF_big_down,1,0.2691206834175083,860,0.5662790697674419,0.3558747656480256,44,0.6363636363636364,{'XLF'}
UDPSX,inverse,sparse,XLV_big_down,1,0.3617694254109393,593,0.5531197301854974,0.7625998202125447,51,0.5686274509803921,{'XLV'}
UJPIX,ultra_long,sparse,IWM_bin_-1_-0.5,1,0.5758692293572448,172,0.5813953488372093,0.5766317016519247,57,0.631578947368421,{'IWM'}
UJPIX,ultra_long,sparse,XLK_bin_-1_-0.5,1,0.3523288563735074,537,0.553072625698324,1.059520438919609,35,0.6857142857142857,{'XLK'}
UJPIX,ultra_long,sparse,XLE_bin_-2_-1,1,0.3889237541686254,130,0.5923076923076923,1.0248029708536293,52,0.7115384615384616,{'XLE'}
UJPSX,inverse,sparse,XLK_bin_-1_-0.5,1,0.3515459101872527,542,0.551660516605166,1.0577631342304576,35,0.6857142857142857,{'XLK'}
UJPSX,inverse,sparse,IWM_bin_-1_-0.5,1,0.6331747277152138,131,0.5877862595419847,0.5750577086649948,57,0.631578947368421,{'IWM'}
UNPIX,ultra_long,sparse,XLV_big_down,1,0.3566542526964678,397,0.5667506297229219,0.7610342366474947,51,0.6078431372549019,{'XLV'}
UOPIX,ultra_long,sparse,XLV_bin_-2_-1,1,0.4598985329663603,251,0.5537848605577689,1.1887610936519846,42,0.5714285714285714,{'XLV'}
UUPIX,ultra_long,sparse,SPY_big_down,1,0.4685234235308566,534,0.552434456928839,0.9439101770668664,46,0.5652173913043478,{'SPY'}
UUPSX,inverse,sparse,SPY_big_down,1,0.4634352745263497,534,0.5543071161048689,0.9399705831739934,46,0.5652173913043478,{'SPY'}
UJPIX,ultra_long,optimization_scan,XLC_big_down,1,0.2767718486518785,234,0.5512820512820513,1.134937669998036,46,0.6521739130434783,{'XLC'}
UJPSX,inverse,optimization_scan,XLC_big_down,1,0.273734839539497,234,0.5512820512820513,1.1309832687275263,46,0.6521739130434783,{'XLC'}
UAPIX,ultra_long,optimization_scan,XLC_big_down,1,0.3570002386105441,234,0.5769230769230769,0.9940363492807944,46,0.6304347826086957,{'XLC'}
UAPSX,inverse,optimization_scan,XLC_big_down,1,0.347592552346924,234,0.5726495726495726,0.9890223892403726,46,0.6304347826086957,{'XLC'}
