ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit
BIPIX,3,True,0.11946333080703503,5029,0.5343010538874527,0.2759759856929453,393,0.549618320610687,0.375360282596814,1004,0.5886454183266933,0.5770950146490305,96,0.625
BIPSX,3,True,0.13690636029146813,5024,0.5410031847133758,0.31052157823515075,393,0.5648854961832062,0.4477195254855375,659,0.5811836115326252,0.8853198887808641,68,0.6617647058823529
BITIX,3,True,0.11633159194645785,678,0.5206489675516224,0.18317439339857378,352,0.5369318181818182,0.9179599851777059,179,0.5977653631284916,0.7293781152536406,124,0.6129032258064516
BKPIX,3,True,0.13344111227311925,4771,0.5344791448333682,0.148659433922945,390,0.5512820512820513,0.5236222176995081,407,0.5700245700245701,0.7339130988659729,69,0.6376811594202898
BKPSX,3,True,0.14035117204504943,4693,0.5369699552525037,0.11486707488711441,387,0.5478036175710594,0.5311898290722491,492,0.5650406504065041,0.5721953259346871,81,0.6172839506172839
BLPIX,1,True,0.1298052657055466,2707,0.5629848540820096,0.12874617681060446,326,0.5736196319018405,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPSX,3,True,0.13417527169543833,2408,0.5593853820598007,0.11437849027410228,323,0.5603715170278638,0.2398363088485719,455,0.6,0.2403595538209711,170,0.6
BMPIX,3,True,0.11789059674754698,4239,0.5430526067468743,0.15172845797252682,387,0.5529715762273901,0.35122424638948024,638,0.5658307210031348,0.663501483136836,70,0.6142857142857143
BMPSX,3,True,0.10989102229109447,4070,0.5400491400491401,0.1195309896897012,383,0.5404699738903395,0.35501285749018047,654,0.5581039755351682,0.46261013543529605,90,0.5777777777777777
BTCFX,3,True,0.29175983663102417,959,0.5245046923879041,0.08460654562089394,385,0.5064935064935064,0.7300046952704796,240,0.5708333333333333,0.6562787411450612,83,0.5421686746987951
CNPIX,3,True,0.11217895510945022,3220,0.5425465838509317,0.1312435590511974,349,0.5415472779369628,0.28829669836279276,726,0.5853994490358126,0.284649977343819,89,0.5842696629213483
CNPSX,3,True,0.10699639128325975,3024,0.5426587301587301,0.12169073443819159,332,0.5421686746987951,0.2731574065604255,679,0.5758468335787923,0.43076316750121346,59,0.559322033898305
CYPIX,3,True,0.09082673013756373,4064,0.5482283464566929,0.07046198344485617,386,0.5284974093264249,0.3363038795536987,751,0.6151797603195739,0.6541617692049891,85,0.6705882352941176
CYPSX,3,True,0.08742163953086263,3972,0.5501007049345418,0.06772385487392181,382,0.5287958115183246,0.45665672393464624,214,0.5934579439252337,0.6560846199132149,49,0.6326530612244898
ENPIX,3,True,0.1331117061526317,4649,0.5452785545278555,0.24445569893855423,389,0.5861182519280206,0.4039044944143924,1200,0.5608333333333333,0.6068856495921054,144,0.6458333333333334
