ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
BIPIX,3,True,0.11946333080703503,5029,0.5343010538874527,0.2759759856929453,393,0.549618320610687,0.3313121616381156,1459,0.5819054146675805,0.570233725206416,143,0.6223776223776224,200,40
BIPSX,3,True,0.13690636029146813,5024,0.5410031847133758,0.31052157823515075,393,0.5648854961832062,0.339062064161837,1534,0.5612777053455019,0.6435920757713921,168,0.6130952380952381,200,40
BITIX,3,True,0.11633159194645785,678,0.5206489675516224,0.18317439339857378,352,0.5369318181818182,0.2165376258978248,382,0.5235602094240838,0.3444224570120678,213,0.5446009389671361,200,40
BKPIX,3,True,0.13344111227311925,4771,0.5344791448333682,0.148659433922945,390,0.5512820512820513,0.333492813064741,1224,0.5743464052287581,0.568150878509848,145,0.6275862068965518,200,40
BKPSX,3,True,0.14035117204504943,4693,0.5369699552525037,0.11486707488711441,387,0.5478036175710594,0.3189215959570925,1312,0.5800304878048781,0.40703116143064555,154,0.6168831168831169,200,40
BLPIX,1,True,0.1298052657055466,2707,0.5629848540820096,0.12874617681060446,326,0.5736196319018405,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6,120,30
BLPSX,3,True,0.13417527169543833,2408,0.5593853820598007,0.11437849027410228,323,0.5603715170278638,0.25808560990027124,877,0.5917901938426454,0.3483792328265907,152,0.6710526315789473,120,30
BMPIX,3,True,0.11789059674754698,4239,0.5430526067468743,0.15172845797252682,387,0.5529715762273901,0.3466404065717103,1001,0.6283716283716284,0.6044932526242687,97,0.6185567010309279,200,40
BMPSX,3,True,0.10989102229109447,4070,0.5400491400491401,0.1195309896897012,383,0.5404699738903395,0.3268417952689171,1051,0.582302568981922,0.4483210369250931,121,0.6033057851239669,200,40
BTCFX,3,True,0.29175983663102417,959,0.5245046923879041,0.08460654562089394,385,0.5064935064935064,0.518632045100705,406,0.5443349753694581,0.4420208135092467,156,0.5448717948717948,200,40
CNPIX,3,True,0.11217895510945022,3220,0.5425465838509317,0.1312435590511974,349,0.5415472779369628,0.37731478398180823,464,0.603448275862069,0.42974894793153795,92,0.6413043478260869,160,35
CNPSX,3,True,0.10699639128325975,3024,0.5426587301587301,0.12169073443819159,332,0.5421686746987951,0.29887029942207716,771,0.5706874189364461,0.333971600163904,106,0.5660377358490566,200,40
CYPIX,3,True,0.09082673013756373,4064,0.5482283464566929,0.07046198344485617,386,0.5284974093264249,0.32691776666590894,944,0.6027542372881356,0.47066134511624996,177,0.5988700564971752,200,40
CYPSX,3,True,0.08742163953086263,3972,0.5501007049345418,0.06772385487392181,382,0.5287958115183246,0.31846028503180684,982,0.6130346232179226,0.4978490498146405,130,0.6307692307692307,200,40
