full_min_trades,frozen_min_trades,signals,covered_funds,uncovered_non_money,uncovered_list,median_full_avg_abs,median_full_hit,median_full_trades,median_frozen_avg_abs,median_frozen_hit,median_frozen_trades
50,10,2884,94,33,AFBIX|AFBSX|BRPIX|BRPSX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPSX|UIPIX|UKPIX|UKPSX|URPSX|USPIX|UWPIX|UWPSX|UXPIX,0.4216100335689333,0.5889059206744587,120,0.47100615463801737,0.618421052631579,59
50,15,2866,93,34,AFBIX|AFBSX|BRPIX|BRPSX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SRPIX|SRPSX|UCPIX|UCPSX|UFPSX|UIPIX|UKPIX|UKPSX|URPSX|USPIX|UWPIX|UWPSX|UXPIX,0.42067837659488816,0.5876288659793815,123,0.46547820728502703,0.6111111111111112,67
50,20,2840,88,39,AFBIX|AFBSX|BRPIX|BRPSX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SPPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UIPIX|UIPSX|UKPIX|UKPSX|URPSX|USPIX|UVPIX|UWPIX|UWPSX|UXPIX|UXPSX,0.42243907090168875,0.5879320800485143,130,0.4502223687594531,0.6158771929824561,72
50,30,2797,84,43,AFBIX|AFBSX|BRPIX|BRPSX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SPPIX|SPPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UHPIX|UHPSX|UIPIX|UIPSX|UKPIX|UKPSX|URPSX|USPIX|UVPIX|UVPSX|UWPIX|UWPSX|UXPIX|UXPSX,0.4110979542361384,0.5874652266404844,165,0.43696460341605337,0.610072853975293,72
80,10,2762,86,41,AFBIX|AFBSX|BRPIX|BRPSX|ETHFX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SOPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UHPSX|UIPIX|UKPIX|UKPSX|URPIX|URPSX|USPIX|USPSX|UWPIX|UWPSX|UXPIX|UXPSX,0.4090520560831802,0.5876288659793815,166,0.5326386847860041,0.6234756097560976,72
80,15,2750,86,41,AFBIX|AFBSX|BRPIX|BRPSX|ETHFX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SOPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UHPSX|UIPIX|UKPIX|UKPSX|URPIX|URPSX|USPIX|USPSX|UWPIX|UWPSX|UXPIX|UXPSX,0.4090520560831802,0.5862054776482981,170,0.530638299090042,0.6190476190476191,72
80,20,2728,83,44,AFBIX|AFBSX|BRPIX|BRPSX|ETHFX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SOPSX|SPPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UHPSX|UIPIX|UIPSX|UKPIX|UKPSX|URPIX|URPSX|USPIX|USPSX|UVPIX|UWPIX|UWPSX|UXPIX|UXPSX,0.4107473030786223,0.5863453815261044,227,0.48304220679361104,0.6190476190476191,73
80,30,2695,80,47,AFBIX|AFBSX|BRPIX|BRPSX|ETHFX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SOPSX|SPPIX|SPPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UHPIX|UHPSX|UIPIX|UIPSX|UKPIX|UKPSX|URPIX|URPSX|USPIX|USPSX|UVPIX|UVPSX|UWPIX|UWPSX|UXPIX|UXPSX,0.4090520560831802,0.5862054776482981,250,0.4502223687594531,0.6133333333333333,75
100,10,2695,82,45,AFBIX|AFBSX|BRPIX|BRPSX|ETHFX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|MGPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SOPSX|SPPIX|SPPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UHPIX|UHPSX|UIPIX|UKPIX|UKPSX|URPIX|URPSX|USPIX|USPSX|UWPIX|UWPSX|UXPIX|UXPSX,0.40517950285216986,0.5869871237527429,216,0.5444424418724341,0.625,72
100,15,2686,82,45,AFBIX|AFBSX|BRPIX|BRPSX|ETHFX|FDPIX|FDPSX|FYAIX|FYASX|GVPIX|GVPSX|MGPSX|RDPIX|RDPSX|RRPIX|RRPSX|RTPIX|RTPSX|SHPIX|SHPSX|SNPIX|SNPSX|SOPIX|SOPSX|SPPIX|SPPSX|SRPIX|SRPSX|UCPIX|UCPSX|UFPIX|UFPSX|UHPIX|UHPSX|UIPIX|UKPIX|UKPSX|URPIX|URPSX|USPIX|USPSX|UWPIX|UWPSX|UXPIX|UXPSX,0.40517950285216986,0.5862054776482981,216,0.5358305494970372,0.6234756097560976,72
