condition,horizon,eligible_funds,pass_signals
EEM_up_up_up_FXY_GDX,1,127,4
EEM_up_up_up_FXY_GDX,2,127,0
EEM_up_up_up_FXY_GDX,3,127,0
EEM_down_down_down_FXY_GDX,1,128,0
EEM_down_down_down_FXY_GDX,2,128,0
EEM_down_down_down_FXY_GDX,3,128,0
EEM_up_up_down_FXY_GDX,1,0,0
EEM_up_up_down_FXY_GDX,2,0,0
EEM_up_up_down_FXY_GDX,3,0,0
EEM_up_down_up_FXY_GDX,1,126,0
EEM_up_down_up_FXY_GDX,2,126,0
EEM_up_down_up_FXY_GDX,3,126,0
EEM_down_up_up_FXY_GDX,1,126,49
EEM_down_up_up_FXY_GDX,2,126,11
EEM_down_up_up_FXY_GDX,3,126,19
EEM_down_down_up_FXY_GDX,1,126,2
EEM_down_down_up_FXY_GDX,2,126,8
EEM_down_down_up_FXY_GDX,3,126,8
EEM_down_up_down_FXY_GDX,1,0,0
EEM_down_up_down_FXY_GDX,2,0,0
EEM_down_up_down_FXY_GDX,3,0,0
EEM_up_down_down_FXY_GDX,1,126,0
EEM_up_down_down_FXY_GDX,2,126,0
EEM_up_down_down_FXY_GDX,3,126,0
EEM_up_up_up_FXY_GLD,1,127,5
EEM_up_up_up_FXY_GLD,2,127,0
EEM_up_up_up_FXY_GLD,3,127,0
EEM_down_down_down_FXY_GLD,1,127,0
EEM_down_down_down_FXY_GLD,2,127,2
EEM_down_down_down_FXY_GLD,3,127,0
EEM_up_up_down_FXY_GLD,1,0,0
EEM_up_up_down_FXY_GLD,2,0,0
EEM_up_up_down_FXY_GLD,3,0,0
EEM_up_down_up_FXY_GLD,1,126,0
EEM_up_down_up_FXY_GLD,2,126,0
EEM_up_down_up_FXY_GLD,3,126,0
EEM_down_up_up_FXY_GLD,1,126,17
EEM_down_up_up_FXY_GLD,2,126,10
EEM_down_up_up_FXY_GLD,3,126,7
EEM_down_down_up_FXY_GLD,1,126,0
EEM_down_down_up_FXY_GLD,2,126,0
EEM_down_down_up_FXY_GLD,3,126,0
EEM_down_up_down_FXY_GLD,1,0,0
EEM_down_up_down_FXY_GLD,2,0,0
EEM_down_up_down_FXY_GLD,3,0,0
EEM_up_down_down_FXY_GLD,1,126,3
EEM_up_down_down_FXY_GLD,2,126,5
EEM_up_down_down_FXY_GLD,3,126,2
EEM_up_up_up_FXY_HYG,1,127,4
EEM_up_up_up_FXY_HYG,2,127,0
EEM_up_up_up_FXY_HYG,3,127,0
EEM_down_down_down_FXY_HYG,1,128,0
EEM_down_down_down_FXY_HYG,2,128,1
EEM_down_down_down_FXY_HYG,3,128,3
EEM_up_up_down_FXY_HYG,1,0,0
EEM_up_up_down_FXY_HYG,2,0,0
EEM_up_up_down_FXY_HYG,3,0,0
EEM_up_down_up_FXY_HYG,1,126,0
EEM_up_down_up_FXY_HYG,2,126,0
EEM_up_down_up_FXY_HYG,3,126,0
EEM_down_up_up_FXY_HYG,1,0,0
EEM_down_up_up_FXY_HYG,2,0,0
EEM_down_up_up_FXY_HYG,3,0,0
EEM_down_down_up_FXY_HYG,1,126,0
EEM_down_down_up_FXY_HYG,2,126,1
EEM_down_down_up_FXY_HYG,3,126,0
EEM_down_up_down_FXY_HYG,1,126,0
EEM_down_up_down_FXY_HYG,2,126,4
EEM_down_up_down_FXY_HYG,3,126,4
EEM_up_down_down_FXY_HYG,1,126,0
