list,ticker,fund_name,fund_theme,condition,value
full_std_max,UHPIX,Ultra Short China ProFund Investor Class,中国,EEM_down_TIP_down_UUP_up,5.035381504057929
full_std_max,UHPIX,Ultra Short China ProFund Investor Class,中国,HYG_up_SLV_up_XLC_up,4.82456909870814
full_std_max,PMPIX,Precious Metals Ultra Sector Profund Investor,贵金属,combo_ext_sect_rotation_up__self_big_down,4.637091102138066
full_std_max,PMPSX,Precious Metals Ultra Sector Profund Service,贵金属,combo_ext_sect_rotation_up__self_big_down,4.627522928715568
full_std_max,UGPSX,Ultra China ProFund Service Class,中国,IWM_down_UUP_down_XLK_down,4.512614212028385
full_std_max,UBPIX,UltraLatin America ProFund - Investor Cl,拉美,combo_QQQ_big_down__ext_vix_chg_up,4.438111591313709
full_std_max,UBPSX,UltraLatin America ProFund - Service Cl,拉美,combo_QQQ_big_down__ext_vix_chg_up,4.437484894369449
full_std_max,BITIX,Short Bitcoin ProFund - Investor Class,比特币,EEM_up_JNK_up_SPY_up,4.367727900401828
full_std_max,BITIX,Short Bitcoin ProFund - Investor Class,比特币,combo_XLC_up__self_down,4.229264865484878
full_std_max,UUPIX,UltraEmerging Markets ProFund Investor Class,新兴市场,SPY_down_XLK_down_XLV_down,4.119989592120389
ann_vol_max,UHPIX,Ultra Short China ProFund Investor Class,中国,EEM_down_TIP_down_UUP_up,79.93420329642994
ann_vol_max,UHPIX,Ultra Short China ProFund Investor Class,中国,HYG_up_SLV_up_XLC_up,76.58766010937264
ann_vol_max,PMPIX,Precious Metals Ultra Sector Profund Investor,贵金属,combo_ext_sect_rotation_up__self_big_down,73.61153917804641
ann_vol_max,PMPSX,Precious Metals Ultra Sector Profund Service,贵金属,combo_ext_sect_rotation_up__self_big_down,73.459649133784
ann_vol_max,UGPSX,Ultra China ProFund Service Class,中国,IWM_down_UUP_down_XLK_down,71.63552980681683
ann_vol_max,UBPIX,UltraLatin America ProFund - Investor Cl,拉美,combo_QQQ_big_down__ext_vix_chg_up,70.45283736821521
ann_vol_max,UBPSX,UltraLatin America ProFund - Service Cl,拉美,combo_QQQ_big_down__ext_vix_chg_up,70.44288886264373
ann_vol_max,BITIX,Short Bitcoin ProFund - Investor Class,比特币,EEM_up_JNK_up_SPY_up,69.33553091316918
ann_vol_max,BITIX,Short Bitcoin ProFund - Investor Class,比特币,combo_XLC_up__self_down,67.13749837617615
