ticker,condition,condition_text,scan_token,horizon,direction,rho_avg,rho_hit,flag,category,avg_mono,n_valid_thresholds,avg_min,avg_max,avg_last,hit_min,hit_max,hit_last,trades_min,trades_max,trades_last
BIPIX,FXY_up_GDX_up_QQQ_down,FXY>0 且 GDX>0 且 QQQ<0，买基金第二天,FXY_up,1,up,-1.0,-1.0,平均回报、命中率,触发阈值太少,False,2,0.4562398661728977,0.4612268565972708,0.4562398661728977,0.5882352941176471,0.625,0.5882352941176471,153.0,512.0,153.0
BIPSX,combo_XLC_down__ext_sect_rotation_down,XLC<0 且 板块轮动<0，买基金后2日平均回报,XLC_down,2,down,-0.9158547461567236,-0.7281472773733655,平均回报、命中率,末端反转,False,4,0.0070431382248879,0.2904411534633591,0.0070431382248879,0.54,0.5895522388059702,0.54,50.0,460.0,50.0
BITIX,combo_XLC_up__self_down,XLC>0 且 该基金当日回报<0，买基金第二天,XLC_up,1,up,-0.4277683025633824,-0.8717618549617837,命中率,触发阈值太少,False,3,0.3864225279410645,0.8053177038229067,0.3864225279410645,0.5161290322580645,0.5780590717299579,0.5161290322580645,31.0,237.0,31.0
BKPIX,GDX_up_IWM_down_XLK_down,GDX>0 且 IWM<0 且 XLK<0，买基金第二天,GDX_up,1,up,-0.8507935866162318,-0.7376075769741138,平均回报、命中率,末端反转,False,5,-0.1018084522541721,0.5754781376047928,-0.1018084522541721,0.4444444444444444,0.572992700729927,0.4444444444444444,9.0,274.0,9.0
BKPIX,GDX_up_IWM_down_XLK_down,GDX>0 且 IWM<0 且 XLK<0，买基金第二天,IWM_down,1,down,-0.7075402350064126,-0.1629750867753716,平均回报,忽上忽下,False,4,0.2736269055760785,0.6255232507127653,0.4040020135285733,0.5555555555555556,0.6458333333333334,0.5555555555555556,18.0,254.0,18.0
BKPIX,GDX_up_IWM_down_XLK_down,GDX>0 且 IWM<0 且 XLK<0，买基金第二天,XLK_down,1,down,-0.5376557942189412,-0.0097638863318287,平均回报,末端反转,False,4,-0.2006875408215283,1.050232683593724,-0.2006875408215283,0.5517241379310345,0.7241379310344828,0.5517241379310345,29.0,255.0,29.0
BKPSX,GDX_up_QQQ_down_SLV_up,GDX>0 且 QQQ<0 且 SLV>0，买基金后2日平均回报,GDX_up,2,up,-0.6628782105344578,-0.4678748825966115,平均回报,整体反向单调,False,5,0.1880392277384646,0.4944273362700609,0.3366466247138222,0.5588235294117647,0.6127167630057804,0.5979381443298969,97.0,346.0,97.0
BLPIX,combo_XLV_big_down__self_down,XLV<=-1% 且 该基金当日回报<0，买基金第二天,self_down,1,down,0.8268664709947937,-0.9603053029923784,命中率,忽上忽下,False,4,0.2546471899604459,0.3538221172067632,0.3252699288489135,0.5396825396825397,0.5617977528089888,0.5396825396825397,126.0,534.0,126.0
BLPSX,combo_XLV_big_down__self_down,XLV<=-1% 且 该基金当日回报<0，买基金第二天,self_down,1,down,0.875252603375965,-0.9181005535742168,命中率,忽上忽下,False,4,0.2477121283529546,0.3337689801698357,0.3170308230319157,0.5166666666666667,0.5547169811320755,0.5166666666666667,120.0,530.0,120.0
BMPIX,GDX_up_JNK_down_XLF_down,GDX>0 且 JNK<0 且 XLF<0，买基金第二天,GDX_up,1,up,-0.7955900614971436,-0.7231027168542815,平均回报、命中率,末端反转,False,5,0.0466086616159042,0.6775629598813112,0.0466086616159042,0.5510204081632653,0.5868544600938967,0.5510204081632653,98.0,213.0,98.0
