ticker,fund_name,fund_theme,condition,horizon,full_avg,full_hit,full_trades,test_avg,test_hit,full_tstat,full_std,full_min,test_std,poor_train,high_std,poor_mono,direction_conflict,btc_weak_link,threshold_suboptimal,category,reason
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,FXY_up_GDX_up_QQQ_down,1,0.4573282810504677,0.6237623762376238,505,0.6829356270873249,0.6341463414634146,4.202399680991713,2.4455491359750594,-10.0486753212005,3.2365659475700603,0,0,0,0,0,0,acceptable,各项指标可接受
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,combo_SLV_big_up__self_down,2,0.234990288440671,0.5920177383592018,451,0.6007621631487078,0.6610169491525424,3.0119615972070646,1.656871222807783,-6.86191970358424,1.6380780173811824,0,0,1,0,0,0,acceptable,各项指标可接受
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,combo_XLK_down__ext_credit_spread_up,1,0.422008397452931,0.5543071161048689,267,0.7843646962822427,0.6216216216216216,2.66034345513247,2.592023980813231,-10.0486753212005,3.0485947156809705,0,0,0,0,0,0,acceptable,各项指标可接受
BIPSX,Biotechnology Ultra Sector Pro Fund， Service,生物科技,combo_QQQ_down__self_big_down,1,0.4421863291133512,0.5812807881773399,609,0.938141324288988,0.6785714285714286,3.8884241275891713,2.80634027213917,-9.136115960429567,3.088971888600387,0,0,1,0,0,0,acceptable,各项指标可接受
BIPSX,Biotechnology Ultra Sector Pro Fund， Service,生物科技,FXY_up_XLE_down_XLU_up,1,0.2943223260132523,0.5644768856447688,411,0.8289254388235482,0.6585365853658537,2.801714825506867,2.1297086251086306,-6.02372196612627,2.773784691543113,0,0,0,0,0,0,acceptable,各项指标可接受
BIPSX,Biotechnology Ultra Sector Pro Fund， Service,生物科技,combo_XLC_down__ext_sect_rotation_down,2,0.2895405262996194,0.5723684210526315,456,0.3344989717361715,0.6195652173913043,3.228374921123391,1.9151721420011667,-5.740787149489305,1.931069672392637,0,0,0,0,0,0,acceptable,各项指标可接受
BITIX,Short Bitcoin ProFund - Investor Class,比特币,combo_XLC_up__self_down,1,0.5652131150683664,0.5793991416309013,233,0.6143462253007252,0.5983606557377049,2.0399771674132774,4.229264865484878,-9.80001240507899,2.3198601191914663,0,1,0,0,1,0,excusable,无比特币参考ETF，条件只能依赖代理变量
BITIX,Short Bitcoin ProFund - Investor Class,比特币,EEM_up_JNK_up_SPY_up,1,0.3123233762271711,0.5589519650655022,229,0.4502139767723654,0.5774647887323944,1.082098155974619,4.367727900401828,-10.20763593594499,2.4179877433185606,0,1,0,1,1,0,need_improve,反向基金与风险偏好条件方向冲突
BITIX,Short Bitcoin ProFund - Investor Class,比特币,EEM_up_GLD_up_SLV_up,2,0.3458758808470543,0.55,200,0.3718165010741807,0.5901639344262295,1.623133867690244,3.013567588776306,-6.829291440432329,1.721559251294072,1,0,0,1,1,0,need_improve,反向基金与风险偏好条件方向冲突
BKPIX,Banks UltraSector ProFund， Investor Class,银行金融,GDX_up_IWM_down_XLK_down,1,0.5662008095350111,0.569811320754717,265,0.8560050125795187,0.6666666666666666,2.677788283775519,3.4420500887364174,-10.38931738286373,2.518807371051894,0,0,0,0,0,0,acceptable,各项指标可接受
BKPIX,Banks UltraSector ProFund， Investor Class,银行金融,EEM_up_GDX_down_GLD_down,2,0.3045235847877592,0.5857461024498887,449,0.3385329530196199,0.6666666666666666,3.258398683011806,1.9803405601997637,-9.34011371921401,1.316817666676278,0,0,0,0,0,0,acceptable,各项指标可接受
BKPIX,Banks UltraSector ProFund， Investor Class,银行金融,combo_GLD_down__ext_vix_5dchg_ge10,1,0.3622272275789358,0.5821256038647343,414,0.5320900382800795,0.575,2.632505204790815,2.7997033948977603,-23.102290648470568,2.3439034098820484,0,0,0,0,0,0,acceptable,各项指标可接受
BKPSX,Banks UltraSector ProFund， Service Class,银行金融,GDX_up_QQQ_down_SLV_up,2,0.484710671209508,0.6074498567335244,349,0.4787983270796592,0.6349206349206349,3.856489539273076,2.348027272127685,-14.21135240280024,1.6198846907712574,0,0,0,0,0,0,acceptable,各项指标可接受
BKPSX,Banks UltraSector ProFund， Service Class,银行金融,EEM_up_GDX_down_GLD_down,2,0.3020188097197474,0.579064587973274,449,0.3357058510477679,0.6666666666666666,3.2275810625174897,1.9828049914724413,-9.292337858465723,1.3155826845553151,0,0,0,0,0,0,acceptable,各项指标可接受
BKPSX,Banks UltraSector ProFund， Service Class,银行金融,combo_GLD_down__ext_vix_5dchg_ge10,1,0.3580871401273103,0.5821256038647343,414,0.5288885321712489,0.575,2.602589417589106,2.7995178155763223,-23.09680100248673,2.344883862112231,0,0,0,0,0,0,acceptable,各项指标可接受
BLPIX,Bull ProFund Investor Class,大盘多头,combo_XLV_big_down__self_down,1,0.2470324215760701,0.570957095709571,606,0.6112842817025174,0.6,3.3823953821983186,1.7979015010838724,-7.628746481205489,1.8323331058267536,0,0,1,0,0,0,acceptable,各项指标可接受
BLPSX,Bull ProFund Service,大盘多头,combo_XLV_big_down__self_down,1,0.2445402017105498,0.5679214402618658,611,0.6552476085146761,0.6176470588235294,3.373557571807837,1.7917719982498996,-7.62522872827081,1.8374815448187416,0,0,1,0,0,0,acceptable,各项指标可接受
BMPIX,Materials UltraSector ProFund - Investor Class,原材料,GDX_up_XLF_down_XLK_down,1,0.48871846330273,0.5764331210191083,314,1.0282701486408097,0.6938775510204082,3.576250452700987,2.42156228940695,-6.71987451104194,2.5237209713529483,0,0,0,0,0,0,acceptable,各项指标可接受
