theme,funds,within_pairs,within_mean_jaccard,within_median_jaccard,across_mean_jaccard
中国,4,6,0.03968253968253968,0.0,0.09091979269830977
中盘,10,45,0.29876543209876544,0.25,0.09091979269830977
互联网,2,1,0.23076923076923078,0.23076923076923078,0.09091979269830977
价值,2,1,1.0,1.0,0.09091979269830977
公用事业,2,1,0.42857142857142855,0.42857142857142855,0.09091979269830977
利率机会,2,1,1.0,1.0,0.09091979269830977
医疗,2,1,1.0,1.0,0.09091979269830977
医药,2,1,0.2727272727272727,0.2727272727272727,0.09091979269830977
半导体,2,1,0.15384615384615385,0.15384615384615385,0.09091979269830977
原材料,2,1,0.8333333333333334,0.8333333333333334,0.09091979269830977
反向,3,3,0.15,0.2,0.09091979269830977
可选消费,2,1,0.18181818181818182,0.18181818181818182,0.09091979269830977
国际,3,3,0.0673076923076923,0.07692307692307693,0.09091979269830977
大盘,2,1,0.36363636363636365,0.36363636363636365,0.09091979269830977
大盘多头,4,6,0.3452380952380952,0.14285714285714285,0.09091979269830977
小盘,10,45,0.21661696328362995,0.18181818181818182,0.09091979269830977
工业,2,1,0.18181818181818182,0.18181818181818182,0.09091979269830977
必需消费,2,1,0.2,0.2,0.09091979269830977
成长,2,1,1.0,1.0,0.09091979269830977
房地产,2,1,0.36363636363636365,0.36363636363636365,0.09091979269830977
拉美,4,6,0.3333333333333333,0.0,0.09091979269830977
新兴市场,4,6,0.16666666666666666,0.0,0.09091979269830977
日本,4,6,0.1851851851851852,0.0,0.09091979269830977
欧洲,2,1,1.0,1.0,0.09091979269830977
比特币,2,1,0.0,0.0,0.09091979269830977
生物科技,2,1,0.16666666666666666,0.16666666666666666,0.09091979269830977
科技,2,1,1.0,1.0,0.09091979269830977
纳指100,4,6,0.07857142857142857,0.0,0.09091979269830977
能源,6,15,0.1451851851851852,0.0,0.09091979269830977
贵金属,4,6,0.3333333333333333,0.0,0.09091979269830977
通信,2,1,1.0,1.0,0.09091979269830977
金融,2,1,0.7142857142857143,0.7142857142857143,0.09091979269830977
银行金融,2,1,0.5555555555555556,0.5555555555555556,0.09091979269830977
