ticker,type,detail
BIPIX,负向分桶方向相反,rho=-0.69，最浅桶均值为0.264%，最深桶均值为0.085%
BIPSX,负向分桶方向相反,rho=-0.77，最浅桶均值为0.291%，最深桶均值为0.005%
BITIX,连跌方向相反,rho=-0.88，1日连跌均值0.174%，最长连跌均值-0.292%
BITIX,连涨方向相反,rho=0.54，1日连涨均值-0.330%，最长连涨均值-0.241%
BKPIX,负向分桶方向相反,rho=-0.74，最浅桶均值为0.342%，最深桶均值为0.014%
BKPSX,负向分桶方向相反,rho=-0.72，最浅桶均值为0.377%，最深桶均值为-0.017%
BLPIX,负向分桶方向相反,rho=-0.74，最浅桶均值为0.444%，最深桶均值为0.006%
BLPSX,负向分桶方向相反,rho=-0.77，最浅桶均值为0.426%，最深桶均值为0.003%
BTCFX,负向分桶方向相反,rho=-0.65，最浅桶均值为0.483%，最深桶均值为-0.317%
BTCFX,正向分桶方向相反,rho=0.58，最浅桶均值为-0.305%，最深桶均值为-0.051%
BTCFX,连跌方向相反,rho=-0.95，1日连跌均值0.233%，最长连跌均值-0.781%
BTCFX,连涨方向相反,rho=0.76，1日连涨均值-0.084%，最长连涨均值0.177%
CYPIX,负向分桶方向相反,rho=-0.75，最浅桶均值为0.290%，最深桶均值为0.031%
CYPSX,负向分桶方向相反,rho=-0.71，最浅桶均值为0.296%，最深桶均值为0.035%
ENPSX,负向分桶方向相反,rho=-0.72，最浅桶均值为0.228%，最深桶均值为0.030%
ENPSX,连跌方向相反,rho=-0.52，1日连跌均值0.131%，最长连跌均值0.064%
FNPIX,负向分桶方向相反,rho=-0.70，最浅桶均值为0.738%，最深桶均值为-0.083%
FNPSX,负向分桶方向相反,rho=-0.67，最浅桶均值为0.740%，最深桶均值为-0.077%
GVPSX,负向分桶方向相反,rho=-0.70，最浅桶均值为0.377%，最深桶均值为0.034%
LGPIX,负向分桶方向相反,rho=-0.89，最浅桶均值为0.430%，最深桶均值为0.049%
LGPSX,负向分桶方向相反,rho=-0.88，最浅桶均值为0.441%，最深桶均值为0.048%
LVPIX,负向分桶方向相反,rho=-0.72，最浅桶均值为0.314%，最深桶均值为0.035%
LVPSX,负向分桶方向相反,rho=-0.71，最浅桶均值为0.308%，最深桶均值为0.033%
MDPSX,负向分桶方向相反,rho=-0.54，最浅桶均值为0.583%，最深桶均值为0.023%
MGPIX,负向分桶方向相反,rho=-0.60，最浅桶均值为0.289%，最深桶均值为0.038%
MGPSX,负向分桶方向相反,rho=-0.59，最浅桶均值为0.240%，最深桶均值为0.020%
MLPIX,负向分桶方向相反,rho=-0.53，最浅桶均值为0.546%，最深桶均值为0.018%
MLPSX,负向分桶方向相反,rho=-0.53，最浅桶均值为0.450%，最深桶均值为-0.005%
OTPIX,负向分桶方向相反,rho=-0.83，最浅桶均值为0.604%，最深桶均值为-0.008%
OTPIX,连涨方向相反,rho=0.94，1日连涨均值-0.010%，最长连涨均值0.059%
OTPSX,连涨方向相反,rho=0.86，1日连涨均值-0.016%，最长连涨均值0.082%
PHPIX,负向分桶方向相反,rho=-0.52，最浅桶均值为0.480%，最深桶均值为-0.038%
PHPSX,负向分桶方向相反,rho=-0.51，最浅桶均值为0.405%，最深桶均值为-0.039%
PMPIX,负向分桶方向相反,rho=-0.53，最浅桶均值为0.179%，最深桶均值为0.083%
PMPSX,负向分桶方向相反,rho=-0.65，最浅桶均值为0.184%，最深桶均值为0.047%
REPIX,负向分桶方向相反,rho=-0.54，最浅桶均值为0.847%，最深桶均值为0.040%
REPSX,负向分桶方向相反,rho=-0.54，最浅桶均值为0.825%，最深桶均值为0.074%
RRPIX,负向分桶方向相反,rho=-0.64，最浅桶均值为0.027%，最深桶均值为-0.032%
SGPIX,负向分桶方向相反,rho=-0.73，最浅桶均值为0.447%，最深桶均值为0.014%
SGPSX,负向分桶方向相反,rho=-0.74，最浅桶均值为0.420%，最深桶均值为0.005%
SMPIX,负向分桶方向相反,rho=-0.55，最浅桶均值为0.330%，最深桶均值为-0.079%
SMPSX,负向分桶方向相反,rho=-0.52，最浅桶均值为0.306%，最深桶均值为0.010%
SNPIX,连涨方向相反,rho=0.91，1日连涨均值-0.098%，最长连涨均值0.007%
SVPIX,负向分桶方向相反,rho=-0.53，最浅桶均值为0.553%，最深桶均值为0.003%
TEPIX,负向分桶方向相反,rho=-0.54，最浅桶均值为0.370%，最深桶均值为-0.017%
TEPIX,连涨方向相反,rho=0.88，1日连涨均值0.018%，最长连涨均值0.177%
TEPSX,负向分桶方向相反,rho=-0.56，最浅桶均值为0.471%，最深桶均值为-0.018%
TEPSX,连涨方向相反,rho=0.90，1日连涨均值-0.003%，最长连涨均值0.159%
UAPIX,负向分桶方向相反,rho=-0.87，最浅桶均值为0.425%，最深桶均值为-0.000%
UAPSX,负向分桶方向相反,rho=-0.93，最浅桶均值为0.393%，最深桶均值为-0.056%
UBPIX,负向分桶方向相反,rho=-0.50，最浅桶均值为0.268%，最深桶均值为-0.336%
UCPIX,负向分桶方向相反,rho=-0.54，最浅桶均值为0.039%，最深桶均值为0.003%
UCPSX,负向分桶方向相反,rho=-0.67，最浅桶均值为0.106%，最深桶均值为0.017%
UDPIX,负向分桶方向相反,rho=-0.77，最浅桶均值为0.572%，最深桶均值为0.051%
UDPIX,连涨方向相反,rho=0.64，1日连涨均值0.008%，最长连涨均值0.063%
UDPSX,负向分桶方向相反,rho=-0.78，最浅桶均值为0.563%，最深桶均值为0.041%
UDPSX,连涨方向相反,rho=0.56，1日连涨均值0.002%，最长连涨均值0.070%
UEPIX,负向分桶方向相反,rho=-0.73，最浅桶均值为0.617%，最深桶均值为-0.003%
UEPIX,连涨方向相反,rho=0.84，1日连涨均值-0.005%，最长连涨均值0.063%
UEPSX,负向分桶方向相反,rho=-0.70，最浅桶均值为0.602%，最深桶均值为0.018%
UEPSX,连涨方向相反,rho=0.52，1日连涨均值-0.016%，最长连涨均值0.041%
UGPIX,负向分桶方向相反,rho=-0.54，最浅桶均值为0.094%，最深桶均值为-0.285%
UHPSX,负向分桶方向相反,rho=-0.54，最浅桶均值为-0.057%，最深桶均值为-0.160%
UJPIX,负向分桶方向相反,rho=-0.76，最浅桶均值为0.536%，最深桶均值为-0.048%
UJPIX,连涨方向相反,rho=0.93，1日连涨均值-0.038%，最长连涨均值0.147%
UJPSX,负向分桶方向相反,rho=-0.86，最浅桶均值为0.449%，最深桶均值为-0.009%
UJPSX,连涨方向相反,rho=0.94，1日连涨均值-0.029%，最长连涨均值0.138%
UKPIX,负向分桶方向相反,rho=-0.68，最浅桶均值为0.237%，最深桶均值为-0.018%
UKPIX,连跌方向相反,rho=-0.99，1日连跌均值0.035%，最长连跌均值-0.180%
UKPSX,负向分桶方向相反,rho=-0.58，最浅桶均值为0.234%，最深桶均值为-0.046%
UKPSX,连跌方向相反,rho=-0.98，1日连跌均值0.011%，最长连跌均值-0.214%
ULPIX,负向分桶方向相反,rho=-0.79，最浅桶均值为0.397%，最深桶均值为-0.066%
ULPSX,负向分桶方向相反,rho=-0.87，最浅桶均值为0.535%，最深桶均值为-0.038%
UNPIX,负向分桶方向相反,rho=-0.69，最浅桶均值为0.318%，最深桶均值为-0.153%
UNPSX,负向分桶方向相反,rho=-0.55，最浅桶均值为0.321%，最深桶均值为-0.167%
UOPSX,负向分桶方向相反,rho=-0.56，最浅桶均值为0.581%，最深桶均值为-0.116%
USPSX,负向分桶方向相反,rho=-0.63，最浅桶均值为0.347%，最深桶均值为0.010%
USPSX,连跌方向相反,rho=-0.86，1日连跌均值-0.016%，最长连跌均值-0.130%
UTPIX,负向分桶方向相反,rho=-0.60，最浅桶均值为0.435%，最深桶均值为-0.008%
UWPSX,负向分桶方向相反,rho=-0.75，最浅桶均值为0.357%，最深桶均值为-0.076%
UXPSX,负向分桶方向相反,rho=-0.65，最浅桶均值为0.278%，最深桶均值为0.151%
