ticker,strategy_no,condition,scan_token,horizon,scan_kind,delivered_threshold,threshold,full_avg,full_trades,full_hit,full_std,test_avg,test_trades,test_hit,test_std
BIPIX,2,combo_SLV_big_up__self_down,SLV_big_up,2,threshold,1.0,0.5,0.1879514326463574,709,0.5655853314527504,1.640523509988216,0.6828703861617994,77,0.6623376623376623,1.7122391421020233
BIPIX,2,combo_SLV_big_up__self_down,SLV_big_up,2,threshold,1.0,1.0,0.23499028844067105,451,0.5920177383592018,1.656871222807783,0.6007621631487078,59,0.6610169491525424,1.6380780173811824
BIPIX,2,combo_SLV_big_up__self_down,SLV_big_up,2,threshold,1.0,1.5,0.30843724603779277,280,0.5964285714285714,1.7006562669071184,0.7566640166050611,40,0.725,1.5724314832064425
BIPIX,2,combo_SLV_big_up__self_down,SLV_big_up,2,threshold,1.0,2.0,0.26592314181237475,148,0.581081081081081,1.872024463305979,0.6218396140537569,32,0.6875,1.6260092874396554
BIPIX,2,combo_SLV_big_up__self_down,SLV_big_up,2,threshold,1.0,2.5,0.3539234309020911,77,0.5324675324675324,1.60038184862273,0.616930893713649,24,0.625,1.7899070530578252
BIPIX,2,combo_SLV_big_up__self_down,SLV_big_up,2,threshold,1.0,3.0,0.3887693736455621,25,0.52,1.8472747534959781,0.5605123770358753,18,0.5555555555555556,2.046804686764396
BIPIX,2,combo_SLV_big_up__self_down,self_down,2,threshold,0.0,0.5,0.2822381220133788,304,0.5953947368421053,1.794204494227214,0.7563045178075679,46,0.6956521739130435,1.7021719957312489
BIPIX,2,combo_SLV_big_up__self_down,self_down,2,threshold,0.0,1.0,0.34906367823489737,200,0.595,1.841831476563237,0.6617479145949868,38,0.6578947368421053,1.7667578383579217
BIPIX,2,combo_SLV_big_up__self_down,self_down,2,threshold,0.0,1.5,0.5784349485024026,117,0.6239316239316239,1.6430388734284955,0.9198213291814483,30,0.7,1.655999621562636
BIPIX,2,combo_SLV_big_up__self_down,self_down,2,threshold,0.0,2.0,0.6002938548096961,63,0.6031746031746031,1.5940775516252292,0.8879760975660276,25,0.72,1.5346308412591139
BIPIX,3,combo_XLK_down__ext_credit_spread_up,XLK_down,1,threshold,0.0,0.5,-0.2131762193832478,46,0.45652173913043476,2.0689705336403867,0.10067207629243664,12,0.5,2.9393348785558335
BIPIX,3,combo_XLK_down__ext_credit_spread_up,XLK_down,1,threshold,0.0,1.0,-0.24556883383817182,31,0.41935483870967744,2.475004845379806,0.17162613009696753,20,0.55,2.717717383482867
BIPIX,3,combo_XLK_down__ext_credit_spread_up,XLK_down,1,threshold,0.0,1.5,1.4537945008028867,37,0.6486486486486487,3.163564001953378,1.3102670698678447,29,0.6206896551724138,3.3754860921561605
BIPIX,3,combo_XLK_down__ext_credit_spread_up,XLK_down,1,threshold,0.0,2.0,,0,,,,0,,
BIPIX,3,combo_XLK_down__ext_credit_spread_up,ext_credit_spread_up,1,threshold,0.0,0.5,0.5437996912381178,146,0.5753424657534246,2.665029147723356,1.1267782781492433,30,0.6,3.593405588187815
BIPIX,3,combo_XLK_down__ext_credit_spread_up,ext_credit_spread_up,1,threshold,0.0,1.0,0.9404962124301778,70,0.6714285714285714,3.2821327740089186,3.343084534742342,10,0.8,3.3604613502025265
BIPIX,3,combo_XLK_down__ext_credit_spread_up,ext_credit_spread_up,1,threshold,0.0,1.5,,0,,,,0,,
BIPIX,3,combo_XLK_down__ext_credit_spread_up,ext_credit_spread_up,1,threshold,0.0,2.0,,0,,,,0,,
BIPSX,1,combo_QQQ_down__self_big_down,QQQ_down,1,threshold,0.0,0.5,0.46270679993916913,506,0.5869565217391305,2.9152940175702895,0.9005501054888005,42,0.6666666666666666,3.1952440393509125
BIPSX,1,combo_QQQ_down__self_big_down,QQQ_down,1,threshold,0.0,1.0,0.528354094985,399,0.5889724310776943,2.8187392434584284,0.8068757443052648,33,0.6060606060606061,3.486946888747445
BIPSX,1,combo_QQQ_down__self_big_down,QQQ_down,1,threshold,0.0,1.5,0.5320310117786196,294,0.5952380952380952,2.880562834030345,0.8376466525295886,23,0.6521739130434783,3.808910102817817
BIPSX,1,combo_QQQ_down__self_big_down,QQQ_down,1,threshold,0.0,2.0,0.3349344616921627,171,0.5614035087719298,2.6806788465085387,0.5878664080836099,10,0.7,3.797042072285869
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,0.5,0.24937299301338894,1037,0.5573770491803278,2.433722291116651,0.6229138659741579,98,0.5918367346938775,3.2858499311196914
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,1.0,0.221137169231179,697,0.5566714490674318,2.5629759802362577,0.5898922235726394,81,0.6049382716049383,3.2418502951920223
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,1.5,0.34805514709959917,756,0.5661375661375662,2.733414894872828,0.5092398607775513,68,0.5882352941176471,3.325733309558663
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,2.0,0.44218632911335126,609,0.5812807881773399,2.80634027213917,0.9381413242889881,56,0.6785714285714286,3.088971888600387
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,2.5,0.3376005403740877,359,0.5654596100278552,2.730387279629775,0.8301442066921656,41,0.6097560975609756,3.484780956236988
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,3.0,0.24014321150867418,283,0.5406360424028268,2.825347803922706,0.6940779318885741,32,0.5625,3.5361683686495557
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,3.5,0.361998441943991,174,0.5747126436781609,2.935132029220108,0.7186077935047975,23,0.5652173913043478,3.944057951403928
BIPSX,1,combo_QQQ_down__self_big_down,self_big_down,1,threshold,2.0,4.0,0.36822931096056943,80,0.5875,3.1165709653929756,0.4332334500933329,17,0.47058823529411764,4.523541604545212
BIPSX,3,combo_XLC_down__ext_sect_rotation_down,XLC_down,2,threshold,0.0,0.5,0.2391018805216047,268,0.5895522388059702,1.6212101338195373,0.357923516318366,58,0.6551724137931034,2.146851578201931
BIPSX,3,combo_XLC_down__ext_sect_rotation_down,XLC_down,2,threshold,0.0,1.0,0.20840629668396413,136,0.5735294117647058,1.9041480014874859,0.17273821815828175,28,0.6428571428571429,2.7080579943969947
BIPSX,3,combo_XLC_down__ext_sect_rotation_down,XLC_down,2,threshold,0.0,1.5,0.007043138224887913,50,0.54,2.0066777060937246,-0.38578372665112937,16,0.5625,2.985034664103714
BIPSX,3,combo_XLC_down__ext_sect_rotation_down,XLC_down,2,threshold,0.0,2.0,,0,,,,0,,
