ticker,condition,scan_token,horizon,direction,spearman_like_rho,monotone
BIPIX,combo_SLV_big_up__self_down,SLV_big_up,2,up,0.9383311968524115,False
BIPSX,combo_QQQ_down__self_big_down,self_big_down,1,down,0.2501184831770989,False
BLPIX,combo_XLV_big_down__self_down,XLV_big_down,1,down,0.5860871253595273,False
BLPSX,combo_XLV_big_down__self_down,XLV_big_down,1,down,0.3625047925637006,False
CYPIX,combo_XLK_big_down__self_big_down,XLK_big_down,1,down,-0.6180114950946984,False
CYPIX,combo_XLK_big_down__self_big_down,self_big_down,1,down,-0.14415802484591667,False
GVPSX,combo_TLT_down__self_3down,self_3down,1,down,0.9928716979974159,True
HCPIX,combo_SLV_big_up__ext_sect_rotation_le-0_5,SLV_big_up,2,up,-0.0564741073543054,False
HCPSX,combo_SLV_big_up__ext_sect_rotation_le-0_5,SLV_big_up,2,up,-0.12207740696620306,False
INPIX,combo_XLK_big_up__ext_vix_5dchg_down,XLK_big_up,1,up,0.9005592021103213,False
OEPIX,combo_XLU_big_down__ext_vix_close_up,XLU_big_down,3,down,0.7298824898451707,False
OEPSX,combo_XLU_big_down__ext_vix_20dvol_up,XLU_big_down,3,down,0.7315599738097199,False
OTPIX,combo_XLF_big_down__self_down,XLF_big_down,1,down,0.9610500016107392,True
PHPIX,combo_GLD_big_up__self_down,GLD_big_up,3,up,0.9881207527754268,False
PMPIX,combo_ext_sect_rotation_up__self_big_down,self_big_down,1,down,0.2823711799330416,False
PMPSX,combo_ext_sect_rotation_up__self_big_down,self_big_down,1,down,0.3384329569978572,False
RRPIX,combo_XLV_big_down__ext_sect_rotation_up,XLV_big_down,1,down,0.9380136031262256,True
RRPSX,combo_XLV_big_down__ext_sect_rotation_up,XLV_big_down,1,down,1.0,True
UAPIX,self_big_down,self_big_down,3,down,0.9779565218364932,True
UAPSX,combo_SPY_down__self_big_down,self_big_down,3,down,0.9691276057733245,True
UBPIX,combo_QQQ_big_down__ext_vix_chg_up,QQQ_big_down,1,down,-0.7946580057806992,False
UBPSX,combo_QQQ_big_down__ext_vix_chg_up,QQQ_big_down,1,down,-0.7971896287767701,False
UDPIX,combo_XLV_big_down__self_down,XLV_big_down,1,down,0.8413172122111747,True
UDPSX,combo_QQQ_big_down__ext_vix_5dchg_up,QQQ_big_down,1,down,-0.8950748056965624,False
UDPSX,combo_XLV_big_down__self_down,XLV_big_down,1,down,0.8483719956357881,True
UGPSX,combo_XLU_big_up__ext_vix_chg_down,XLU_big_up,2,up,0.9792625316139132,False
UIPIX,combo_XLC_big_up__ext_usd_gold_ratio_down,XLC_big_up,2,up,-0.5219140232155848,False
ULPIX,combo_QQQ_big_down__ext_vix_5dchg_up,QQQ_big_down,1,down,-0.8519525269562807,False
ULPIX,combo_XLF_big_down__self_down,XLF_big_down,1,down,0.9667706113458154,True
ULPSX,combo_XLF_big_down__self_down,XLF_big_down,1,down,0.9730086343846533,True
UNPSX,combo_IWM_down__self_big_down,self_big_down,1,down,-0.29888413913373935,False
UOPIX,combo_ext_vix_chg_up__self_big_down,self_big_down,1,down,0.858465296337393,False
UOPSX,combo_ext_vix_chg_up__self_big_down,self_big_down,1,down,0.9124666405707393,False
