ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
BIPIX,3,True,0.11946333080703503,5029,0.5343010538874527,0.2759759856929453,393,0.549618320610687,0.38645781144635327,1005,0.608955223880597,0.6302991700911028,148,0.6621621621621622,200,40
BIPSX,3,True,0.13690636029146813,5024,0.5410031847133758,0.31052157823515075,393,0.5648854961832062,0.383501900446609,1241,0.5745366639806607,0.6639986650443002,144,0.6319444444444444,200,40
BITIX,3,True,0.11633159194645785,678,0.5206489675516224,0.18317439339857378,352,0.5369318181818182,0.22463926993948966,364,0.5384615384615384,0.31500087917421027,200,0.55,200,40
BKPIX,3,True,0.13344111227311925,4771,0.5344791448333682,0.148659433922945,390,0.5512820512820513,0.3947931441182031,1037,0.5814850530376084,0.6213307502397897,141,0.6382978723404256,200,40
BKPSX,3,True,0.14035117204504943,4693,0.5369699552525037,0.11486707488711441,387,0.5478036175710594,0.37987141056901114,1128,0.5877659574468085,0.44132928742553246,150,0.6266666666666667,200,40
BLPIX,1,True,0.1298052657055466,2707,0.5629848540820096,0.12874617681060446,326,0.5736196319018405,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6,120,30
BLPSX,1,True,0.13417527169543833,2408,0.5593853820598007,0.11437849027410228,323,0.5603715170278638,0.24454020171054983,611,0.5679214402618658,0.6552476085146761,34,0.6176470588235294,120,30
BMPIX,3,True,0.11789059674754698,4239,0.5430526067468743,0.15172845797252682,387,0.5529715762273901,0.4707107415564045,506,0.5869565217391305,0.5477876656581375,78,0.6025641025641025,200,40
BMPSX,3,True,0.10989102229109447,4070,0.5400491400491401,0.1195309896897012,383,0.5404699738903395,0.5027473543256454,449,0.5812917594654788,0.5446804829807509,88,0.6022727272727273,200,40
BTCFX,3,True,0.29175983663102417,959,0.5245046923879041,0.08460654562089394,385,0.5064935064935064,0.518632045100705,406,0.5443349753694581,0.4420208135092467,156,0.5448717948717948,200,40
CNPIX,3,True,0.11217895510945022,3220,0.5425465838509317,0.1312435590511974,349,0.5415472779369628,0.37885704108898566,461,0.6030368763557483,0.42974894793153795,92,0.6413043478260869,160,35
CNPSX,1,True,0.10699639128325975,3024,0.5426587301587301,0.12169073443819159,332,0.5421686746987951,0.29938468928051826,509,0.5834970530451866,0.42298689296338243,41,0.5609756097560976,120,30
CYPIX,3,True,0.09082673013756373,4064,0.5482283464566929,0.07046198344485617,386,0.5284974093264249,0.3606748256980441,848,0.6002358490566038,0.4499546781181327,101,0.6336633663366337,200,40
CYPSX,3,True,0.08742163953086263,3972,0.5501007049345418,0.06772385487392181,382,0.5287958115183246,0.24381431757691502,664,0.6009036144578314,0.429004688713224,122,0.6147540983606558,200,40
ENPIX,3,True,0.1331117061526317,4649,0.5452785545278555,0.24445569893855423,389,0.5861182519280206,0.3595324850943742,1122,0.5730837789661319,0.49604488875212177,166,0.6626506024096386,200,40
ENPSX,3,True,0.13331537496275994,4595,0.5438520130576714,0.2579508652868155,389,0.5886889460154242,0.34129359849895347,1130,0.5725663716814159,0.4546204938659317,152,0.6381578947368421,200,40
FNPIX,3,True,0.11738631656773048,4481,0.538942200401696,0.09887706302940048,391,0.5549872122762148,0.40005453535195196,807,0.59727385377943,0.3378685183011992,162,0.6049382716049383,200,40
FNPSX,3,True,0.09305485023117584,4356,0.5367309458218549,0.0901183762226931,391,0.5549872122762148,0.4025381044228095,796,0.6042713567839196,0.3330560277266523,128,0.6171875,200,40
GVPSX,1,True,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286,120,30
HCPIX,3,True,0.10996459667901161,3630,0.5435261707988981,0.12071783310612647,360,0.5333333333333333,0.3643279917260831,745,0.6134228187919463,0.4099236092582649,121,0.6033057851239669,120,30
HCPSX,3,True,0.10608584598608882,3530,0.5382436260623229,0.11724356870503888,358,0.5279329608938548,0.3638038900030468,736,0.6127717391304348,0.40532817700991963,121,0.6033057851239669,120,30
IDPIX,3,True,0.10177212002493702,4396,0.5391264786169245,0.14841166591298344,393,0.549618320610687,0.3454699123857734,839,0.6090584028605482,0.5269421089321691,149,0.6375838926174496,200,40
IDPSX,3,True,0.10379993348836172,4351,0.5421742128246381,0.12389201685832905,393,0.5419847328244275,0.24174721762296944,656,0.5960365853658537,0.48661970436276597,90,0.6666666666666666,200,40
INPIX,3,True,0.10932424932958691,5006,0.5517379145025969,0.06724022929859325,392,0.5382653061224489,0.3903577863188947,890,0.601123595505618,0.5355472532651543,133,0.5864661654135338,200,40
