ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,density_full,density_frozen
BIPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.45732828105046774,505,0.6237623762376238,0.6829356270873249,41,0.6341463414634146,200,40
BIPIX,2,condition_expansion,combo_QQQ_down__self_big_down,2,0.28802273498293574,624,0.5817307692307693,0.6348342531005061,56,0.6785714285714286,200,40
BIPIX,3,triple_scan,FXY_up_up_up_XLU_XLV,1,0.290730316359223,558,0.5555555555555556,0.4963829313581903,77,0.5974025974025974,200,40
BIPSX,1,condition_expansion,combo_QQQ_down__self_big_down,1,0.44218632911335126,609,0.5812807881773399,0.9381413242889881,56,0.6785714285714286,200,40
BIPSX,2,triple_scan,FXY_up_up_up_XLU_XLV,1,0.287810604621903,558,0.5555555555555556,0.4942367537369906,77,0.5974025974025974,200,40
BIPSX,3,condition_expansion,combo_SLV_big_down__ext_sect_rotation_up,1,0.25710123025223425,483,0.5507246376811594,0.6465624084716267,44,0.5909090909090909,200,40
BITIX,1,condition_expansion,combo_XLC_up__self_down,1,0.5652131150683664,233,0.5793991416309013,0.6143462253007252,122,0.5983606557377049,200,40
BITIX,2,triple_scan,EEM_up_up_up_JNK_SPY,1,0.3298947103091881,226,0.5619469026548672,0.48175925234194394,139,0.5827338129496403,200,40
BITIX,3,pair_scan,GLD_up_IWM_up,2,0.218739020134776,229,0.5720524017467249,0.33517592108964916,132,0.6212121212121212,200,40
BKPIX,1,triple_scan,GDX_up_down_down_IWM_XLK,1,0.5662008095350111,265,0.569811320754717,0.8560050125795187,54,0.6666666666666666,200,40
BKPIX,2,triple_scan,GDX_down_down_up_GLD_XLF,2,0.25287793574478035,558,0.5716845878136201,0.4332759968088294,67,0.6268656716417911,200,40
BKPIX,3,condition_expansion,combo_XLU_down__ext_vix_5dchg_ge10,2,0.2961728988109585,500,0.574,0.5147956056124877,43,0.6046511627906976,200,40
BKPSX,1,triple_scan,GDX_up_down_up_QQQ_SLV,2,0.48471067120950806,349,0.6074498567335244,0.4787983270796592,63,0.6349206349206349,200,40
BKPSX,2,triple_scan,GDX_down_down_up_GLD_XLF,2,0.2512479235861933,558,0.5663082437275986,0.4294069728867992,67,0.6268656716417911,200,40
BKPSX,3,condition_expansion,combo_XLU_down__ext_vix_5dchg_ge10,2,0.2935998718274499,500,0.574,0.510053572719448,43,0.6046511627906976,200,40
BLPIX,1,condition_expansion,combo_XLV_big_down__self_down,1,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6,120,30
