ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
BIPIX,3,True,0.11946333080703503,5029,0.5343010538874527,0.2759759856929453,393,0.549618320610687,0.20956065050159894,2499,0.5666266506602641,0.5021385846481757,175,0.6114285714285714,200,40
BIPSX,3,True,0.13690636029146813,5024,0.5410031847133758,0.31052157823515075,393,0.5648854961832062,0.21758661253369255,2461,0.5660300690776108,0.3788689873139927,198,0.5909090909090909,200,40
BITIX,3,True,0.11633159194645785,678,0.5206489675516224,0.18317439339857378,352,0.5369318181818182,0.24047990112833822,407,0.547911547911548,0.31647422058968305,221,0.5656108597285068,200,40
BKPIX,3,True,0.13344111227311925,4771,0.5344791448333682,0.148659433922945,390,0.5512820512820513,0.24145326536578887,2057,0.5580943121050073,0.4236545966912381,184,0.6195652173913043,200,40
BKPSX,3,True,0.14035117204504943,4693,0.5369699552525037,0.11486707488711441,387,0.5478036175710594,0.2361367194378446,2035,0.5651105651105651,0.37074578038202444,147,0.6122448979591837,200,40
BLPIX,1,True,0.1298052657055466,2707,0.5629848540820096,0.12874617681060446,326,0.5736196319018405,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6,120,30
BLPSX,1,True,0.13417527169543833,2408,0.5593853820598007,0.11437849027410228,323,0.5603715170278638,0.24454020171054983,611,0.5679214402618658,0.6552476085146761,34,0.6176470588235294,120,30
BMPIX,3,True,0.11789059674754698,4239,0.5430526067468743,0.15172845797252682,387,0.5529715762273901,0.2288726377238817,1694,0.5667060212514758,0.3841174898566834,137,0.6204379562043796,200,40
BMPSX,3,True,0.10989102229109447,4070,0.5400491400491401,0.1195309896897012,383,0.5404699738903395,0.21923878300723793,1671,0.5601436265709157,0.3214628900123759,147,0.5918367346938775,200,40
BTCFX,3,True,0.29175983663102417,959,0.5245046923879041,0.08460654562089394,385,0.5064935064935064,0.49101008774488236,421,0.5534441805225653,0.3902677772474152,162,0.5308641975308642,200,40
CNPIX,1,True,0.11217895510945022,3220,0.5425465838509317,0.1312435590511974,349,0.5415472779369628,0.5433056963237041,177,0.6384180790960452,0.30620791650245044,48,0.6666666666666666,120,30
CNPSX,1,True,0.10699639128325975,3024,0.5426587301587301,0.12169073443819159,332,0.5421686746987951,0.29938468928051826,509,0.5834970530451866,0.42298689296338243,41,0.5609756097560976,120,30
CYPIX,3,True,0.09082673013756373,4064,0.5482283464566929,0.07046198344485617,386,0.5284974093264249,0.2012214765963769,1692,0.5921985815602837,0.39571971424902924,185,0.6162162162162163,160,35
CYPSX,1,True,0.08742163953086263,3972,0.5501007049345418,0.06772385487392181,382,0.5287958115183246,0.8142654682439411,125,0.64,0.950352193435835,30,0.7,120,30
ENPIX,3,True,0.1331117061526317,4649,0.5452785545278555,0.24445569893855423,389,0.5861182519280206,0.21326911225713127,1765,0.5609065155807366,0.6428054670737493,182,0.6813186813186813,200,40
ENPSX,3,True,0.13331537496275994,4595,0.5438520130576714,0.2579508652868155,389,0.5886889460154242,0.20334422839676047,1764,0.5668934240362812,0.6451540022277437,182,0.6978021978021978,200,40
FNPIX,3,True,0.11738631656773048,4481,0.538942200401696,0.09887706302940048,391,0.5549872122762148,0.2528967475575538,1485,0.5831649831649832,0.3924875198206862,134,0.6791044776119403,200,40
FNPSX,3,True,0.09305485023117584,4356,0.5367309458218549,0.0901183762226931,391,0.5549872122762148,0.2711424165000092,1409,0.5663591199432222,0.4241047255038235,156,0.6410256410256411,200,40
GVPSX,1,True,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286,120,30
HCPIX,1,True,0.10996459667901161,3630,0.5435261707988981,0.12071783310612647,360,0.5333333333333333,0.3626694194731027,494,0.6133603238866396,0.5303230192260707,41,0.5609756097560976,120,30
HCPSX,3,True,0.10608584598608882,3530,0.5382436260623229,0.11724356870503888,358,0.5279329608938548,0.22409221778619254,1395,0.5741935483870968,0.26427764170447526,178,0.5730337078651685,200,40
IDPIX,3,True,0.10177212002493702,4396,0.5391264786169245,0.14841166591298344,393,0.549618320610687,0.2463399045841868,1515,0.592079207920792,0.37078584156748534,151,0.6026490066225165,200,40
IDPSX,3,True,0.10379993348836172,4351,0.5421742128246381,0.12389201685832905,393,0.5419847328244275,0.22358584628046607,1664,0.5919471153846154,0.46463336231727237,128,0.65625,120,30
INPIX,3,True,0.10932424932958691,5006,0.5517379145025969,0.06724022929859325,392,0.5382653061224489,0.21644161995518246,2292,0.5855148342059336,0.37231028803747684,170,0.6058823529411764,200,40
INPSX,3,True,0.11632361091860478,4914,0.5494505494505495,0.06925869633675569,392,0.5306122448979592,0.2321734207780645,2047,0.5828041035661944,0.3852285014120307,157,0.5987261146496815,200,40
LGPIX,1,True,0.09862575968857831,3382,0.562093435836783,0.11870559200340985,378,0.5767195767195767,0.43304150421272863,191,0.6596858638743456,0.44739605827701506,48,0.625,120,30
LGPSX,1,True,0.08992903978169345,3279,0.5574870387313205,0.09293815743232293,355,0.5690140845070423,0.42871399658942483,191,0.6596858638743456,0.4415697976069033,48,0.625,120,30
LVPIX,1,True,0.10988292036844913,1669,0.5578190533253445,0.10923890963913081,262,0.6068702290076335,0.45123116620288906,184,0.6413043478260869,0.4070751967785502,48,0.6875,120,30
LVPSX,1,True,0.12464288132739018,1549,0.5590703679793415,0.11957158113385677,235,0.6085106382978723,0.44528940522029814,168,0.6428571428571429,0.40172266784321037,48,0.6875,120,30
MDPIX,3,True,0.1402902100598918,2054,0.5520934761441091,0.10412489182612707,282,0.5354609929078015,0.21124586215107466,910,0.589010989010989,0.38865684951438706,104,0.625,200,40
MDPSX,1,True,0.13477105344358087,2024,0.5528656126482213,0.11993050610080977,260,0.5307692307692308,0.2805766926817632,387,0.5891472868217055,0.5764150046266961,57,0.6666666666666666,120,30
MGPIX,1,True,0.11937699859946237,2216,0.5645306859205776,0.1410532873582307,307,0.5504885993485342,0.27589538516662093,400,0.64,0.7139340254663638,49,0.7551020408163265,120,30
